‾	vizë lart, vizë përmbi
▵	trekëndësh i zbrazët i vogël me drejtim lart
▷	trekëndësh i zbrazët i me drejtim djathtas
▸	trekëndësh i mbushur i vogël me drejtim djathtas
▹	trekëndësh i mbushur i zbrazët me drejtim djathtas
►	tregues i mbushur me drejtim djathtas
▻	tregues i zbrazët me drejtim djathtas
▼	i mbushur, me drejtim poshtë, trekëndësh, trekëndësh i mbushur, me drejtim poshtë
▽	tregues i mbushur me drejtim poshtë
▾	trekëndësh i mbushur i vogël me drejtim poshtë
▿	trekëndësh i zbrazët i vogël me drejtim poshtë
◁	trekëndësh i zbrazët me drejtim majtas
◂	trekëndësh i mbushur i vogël me drejtim majtas
◃	trekëndësh i zbrazët i vogël me drejtim majtas
◄	tregues i mbushur me drejtim majtas
◅	tregues i zbrazët me drejtim majtas
◆	romb i mbushur
◇	romb i zbrazët
◈	romb i zbrazët me romb të mbushur
◉	lagje, rrathë të mbushur bashkëqendrorë, rreth i zbrazët me rreth të mbushur, rreth me pikë, sy peshku
◊	diamant, romb
○	rreth, rreth bosh, unazë
◌	rreth i pikëzuar
◍	rreth me mbushje vertikale
◎	dopjorreth, rrathë bashkëqendrorë, shënjestër
●	rreth, rreth i mbushur
◐	rreth gjysmë i mbushur majtas
◑	rreth gjysmë i mbushur djathtas
◒	rreth gjysmë i mbushur poshtë
◓	rreth gjysmë i mbushur lart
◔	rreth me sektor të mbushur djathtas lart
◕	rreth i mbushur përveç sektorit majtas lart
◖	gjysmërreth i mbushur i majtë
◗	gjysmërreth i mbushur i djathtë
◘	pikë e anasjellë
◙	katror i mbushur me rreth të zbrazët
◜	hark sektori majtas lart
◝	hark sektori djathtas lart
◞	hark sektori djathtas poshtë
◟	hark sektori majtas poshtë
◠	gjysmëhark lart
◡	gjysmëhark poshtë
◢	trekëndësh i mbushur djathtas poshtë
◣	trekëndësh i mbushur majtas poshtë
◤	trekëndësh i mbushur majtas lart
◥	trekëndësh i mbushur djathtas lart
◦	pikë e zbrazët
◯	rreth, rreth i madh bosh, unazë
◳	katror i zbrazët me sektor djathtas lart
◷	rreth i zbrazët me sektor djathtas lart
◿	trekëndësh djathtas poshtë
♪	e tetë, muzikë, nota e tetë, notë
⨧	plus dy subskript
⨯	kryq vektorial produkti
⨼	produkt i brendshëm
⩣	nënviza logjike ose dyshe
⩽	më pak ose baras i pjerrët
⪍	më pak ose përafërsisht
⪚	matematikë, më shumë ose baras me dy rreshta, pabarazi
⪺	tejkalon ose përafërsisht
♭	bemol, muzikë, notë
♯	diez, diezis, muzikë, notë
😀	buzëqesh, fytyrë, fytyrë e zgërdheshur, i gëzuar, qesh, zgërdheshje, zgërdhihem
😃	buzëqeshje, e gëzuar, e hapur, e mrekullueshme, fytyrë, fytyrë e qeshur me gojën e hapur, gojë
😄	buzëqeshje, e hapur, fytyrë, fytyrë e qeshur me gojën e hapur dhe sy të qeshur, fytyrë me gojë të hapur dhe sy të qeshur, gojë, sy
😁	fytyrë e zgërdheshur me sy të qeshur, sy, zgërdheshje, zgërdhihem
😆	buzëqeshje, fytyrë, fytyrë e qeshur me gojën e hapur dhe sy të mbyllur fort, fytyrë e qeshur me sy të mbyllur fort, gojë, haha, i gëzuar, i kënaqur, qesh
😅	djersë, e ftohtë, e hapur, fytyrë e qeshur me djersë të ftohta, fytyrë e qeshur me gojën e hapur dhe djersë të ftohta
🤣	dysheme, fytyrë, gazmore, haha, i gëzuar, lot, qesh, rrokullisje, rrokullisje në dysheme nga e qeshura
😂	fytyrë, fytyrë me lot gëzimi, gëzim, haha, i gëzuar, lot, për të qeshur, qesh
🙂	buzëqesh, buzëqeshje, fytyrë, fytyrë pak e qeshur
🙃	buzëqesh, fytyrë, fytyrë përmbys, përmbys
🫠	fytyrë që shkrin, haha, nxehtë, nxehtësi, sarkastik, sarkazëm, shkrihem, shkrirje, shpërbërje
😉	flirt, fytyrë, fytyrë që shkel syrin, seksi, shkel syrin
😊	buzëqeshje, fytyrë, fytyrë e qeshur me sy të qeshur, skuqem, sy
😇	aureolë, bibël, buzëqeshje, e pafajshme, engjëll, fantazi, fytyrë e qeshur me aureolë, i bekuar, përrallë
🥰	adhurim, dashuri, fytyrë e qeshur me 3 zemra, në dashuri, romancë, tërheqje, zemra
😍	buzëqeshje, dashuri, fytyrë e qeshur me sytë në formë zemre, puthje, romancë, sy, zemër
🤩	fytyrë e magjepsur, i emocionuar, qeshje, sy, yll, zgërdheshje
😘	fytyrë, fytyrë që jep një puthje, mëngjes, puth, puthje, romancë, romantik, zemër
😗	dashuri, flirt, fytyrë, fytyrë që puth, puth, puthje, takim
☺️	buzëqesh, buzëqeshje, e gëzuar, e qetë, e çlodhur, fytyrë, fytyrë e qeshur
😚	fytyrë, fytyrë që puth me sytë e mbyllur, puth, puthje, sy, takim, të mbyllur
😙	dashuri, flirt, fytyrë që puth me sy të qeshur, natë, puthje, sy, sy të mbyllur, takim
🥲	buzëqesh, buzëqeshje, dhimbje, duke qeshur, frikë, fytyrë e qeshur me lot, gëzim, i prekur, mirënjohës
😋	buzëqeshje, e shijshme, fytyrë, fytyrë duke shijuar ushqime të shijshme, shijoj, ushqim
😛	bukur, fytyrë, fytyrë me gjuhën jashtë, gjuhë, i mrekullueshëm
😜	e çmendur, e çuditshme, epike, fytyrë, fytyrë me gjuhën jashtë dhe syrin e shkelur, gjuhë, qesharake, shaka, shkel syrin
🤪	fytyrë e "çmendur", fytyrë e çmendur, i madh, i vogël, sy, sy të çmendur
😝	fytyrë me gjuhën jashtë dhe sytë të mbyllur, gjuhë, i tmerrshëm, shije, ytyrë me gjuhën jashtë dhe sytë të mbyllur
🤑	fytyrë, fytyrë me gjuhë si para, gojë, para
🤗	duar, fytyrë, fytyrë që përqafon, përqafim, përqafoj
🤭	fytyrë, fytyrë me dorën mbi gojë, habi, mos, nënqeshje, sekret, tronditje, uups!
🫢	frikë, fytyrë me sy të hapur dhe dorën mbi gojë, habi, hap gojën, i qetë, mahnitje, mosbesim, surprizë, tronditje, çudi
🫣	fsheh, fshehje, fytyrë me sy përgjues, habitje, i trembur, i turpshëm, ngulje sysh, përgjim, përgjoj, vë në siklet
🤫	fytyrë, fytyrë që bën "shtttt!", hesht, heshtje, pusho, qetësi, shtt, shtttt!, shët
🤔	duke u menduar, fytyrë, fytyrë që mendohet, mendim
🫡	fytyrë përshëndetëse, paç fat, po, po zonjë, po zotëri, përshëndes, përshëndetje, respekt, trupa
🤐	fytyrë, fytyrë me gojën e kyçur, gojë, kyç, zinxhir
🤨	fytyrë, fytyrë me vetull të ngritur, habi, hmm, mosbesim, mosbesues, skeptik, vetull e ngritur
😐️	fytyrë, fytyrë neutrale, fytyrë pa shprehje, neutral, neutrale, pa lëvizje, pa shprehje
😑	fytyrë, fytyrë pa shprehje, i mërzitur, nuk shprehet, pa shprehje
😶	e heshtur, e qetë, fytyrë, fytyrë pa gojë, gojë, heshtje, pa fjalë, pa shprehje
🫥	dëshpërim, fshehje, fytyrë me vijë të pikëzuar, i fshehur, i padukshëm, introvert, si të duash, si të thuash
😶‍🌫	fytyrë në mjegull, fytyrë në re, i hutuar, kokë në re
😏	e vetëkënaqur, flirt, fytyrë, fytyrë e vetëkënaqur, shaka
😒	e mërzitur, e pakënaqur, e çuditshme, fytyrë, fytyrë e pakënaqur, uf, xheloz
🙄	fytyrë, fytyrë me sytë që rrotullohen, rrotullim, rrotullim sysh, sy, uf
😬	asgjë, buzëqesh, dentist, e ngërdheshur, fytyrë, fytyrë e ngërdheshur
😮‍💨	e rraskapitur, fishkëllimë, fytyrë me shfryrje, lehtësim, psherëtimë, rënkim, shfryrje
🤥	fytyrë, fytyrë mashtrimi, gënjeshtar, gënjeshtër, mashtrim, pinok
🫨	dridhem, fytyrë që tundet, lëkund, o zot, panik, surprizë, trondit, trullos, tërmet, ua
🙂‍↔	jo, kokë që tundet horizontalisht, tundje
🙂‍↕	kokë që tundet vertikalisht, po, shenjë pohimi
😌	e lehtësuar, e qetë, fytyrë, fytyrë e lehtësuar, paqe
😔	e menduar, e tmerrshme, fytyrë, fytyrë e menduar, i brengosur, i humbur, i mërzitur, i vdekur
😪	duke qarë, fle, fytyrë, fytyrë e përgjumur, gjumë, i lodhur, i mërzitur
🤤	fytyrë, fytyrë jargëse, jargë
😴	dremitje, fle, fytyrë në gjumë, hap gojën për gjumë, i lodhur, natën e mirë, orari i gjumit, zzz
🫩	fytyrë, fytyrë me qeska poshtë syve, qeska, sy, të lodhur, të përgjumur, vonë
😷	dentist, dermatolog, doktor, ftohtë, fytyrë, fytyrë me maskë mjekësore, i sëmurë, maskë, mikrob, të ftohur
🤒	e sëmurë, fytyrë, fytyrë me termometër, i sëmurë, termometër
🤕	fashë, fytyrë, fytyrë me fashë në kokë, lëndim, lëndoj
🤢	fytyrë, fytyrë neverie, neveri, të përziera, të vjella
🤮	fytyrë që vjell, i sëmurë, sëmurë, vjellje
🤧	fytyrë, fytyrë me teshtitje, i sëmurë, shëndet, teshtitje
🥵	djersë, ethe, fytyrë, fytyrëkuq, i djersitur, i skuqur, me temperaturë, temperaturë
🥶	akull, blu, ftohtë, fytyrë, fytyrë e ngrirë, fytyrëblu, i acartë, i ftohtë, i ngrirë
🥴	e dehur, e mjegulluar, fytyrë, fytyrë e mjegulluar, gojë e valëzuar, i toksikuar, xurxull
😵	e lodhur, e sëmurë, e trullosur, fytyrë, fytyrë e trullosur
😵‍💫	fytyrë me sy spiralë, hipnotizuar, i hutuar, marramendje, shqetësim, spirale, ua
🤯	i tronditur, kokë që shpërthen, nuk ka mundësi, shpërthim
🤠	fytyrë, fytyrë me kapele lopari, kapele, lopar, lopare
🥳	bori, ditëlindje, festoj, festë, fytyrë festive, gëzuar ditëlindjen, i emocionuar, kapelë, mbrëmje festive, urra
🥸	fshehtas, fytyrë, fytyrë e maskuar, hundë, maskim, mustaqe, person, spiun, syze, vetulla
😎	diell, fitore, fytyrë, fytyrë e qeshur me syze dielli, i mrekullueshëm, i ndritshëm, i çlodhur, plazh, syze dielli
🤓	ekspert, fytyrë peshkopi, i metë, i paaftë, i talentuar, i zgjuar, inteligjent, peshkop, syze, tuhaf
🧐	elegant, fytyrë, fytyrë me monokël, hundë të bllokuara, i pasur, klas, monokël
😕	e hutuar, e pasigurt, fytyrë, fytyrë e hutuar, i mërzitur, nuk e di
🫤	dyshim, dyshues, fytyrë me gojë diagonale, hutim, i pasigurt, si të duash, si të thuash, skeptik, zhgënjim
😟	e shqetësuar, fytyrë, fytyrë e shqetësuar, i habitur, nervoz
🙁	e mërzitur, e vrenjtur, fytyrë, fytyrë pak e vrenjtur
☹️	e mërzitur, e vrenjtur, fytyrë, fytyrë e vrenjtur
😮	e hapur, e pabesueshme, fytyrë, fytyrë me gojën e hapur, gojë, harrova, simpati
😯	e habitur, e heshtur, e çuditur, epik, fytyrë, fytyrë e heshtur
😲	e tronditur, e çuditur, fytyrë, fytyrë e çuditur, kosto, plotësisht
😳	e habitur, e skuqur, faj, fytyrë, fytyrë e skuqur, i turpëruar, mosbesim, ushtrim, çmenduri
🥺	fytyrë qaramane, i mërzitur, lutem, lutje, mëshirë, qaramane
🥹	admirim, fytyrë që mezi mban lotët, i trishtuar, i turpëruar, lot gëzimi, mirënjohës, mëri, trishtim, të lutem
😦	e hapur, e vrenjtur, fytyrë, fytyrë e vrenjtur me gojë të hapur, gojë, habi, i frikësuar
😧	fytyrë, fytyrë në ankth, harrova, i frikësuar, i habitur, i mërzitur, në ankth, ua
😨	faj, frikë, fytyrë, fytyrë e frikësuar, i frikshëm, i frikësuar, në ankth
😰	blu, djersë, e hapur, ftohtë, fytyrë me gojën e hapur dhe djersë të ftohta, gojë, i frikësuar
😥	e lehtësuar, e ndërlikuar, e zhgënjyer, fytyrë, fytyrë e zhgënjyer por e lehtësuar, në ankth, uf
😢	e mërzitur, e tmerrshme, fytyrë, fytyrë që qan, kam mall, lot, qaj
😭	dënesë, fytyrë, fytyrë që qan me zë, i mërzitur, lot
😱	epik, frikë, fytyrë duke ulëritur nga frika, i frikshëm, i frikësuar, mbllaçit, ulërimë, ytyrë duke ulëritur nga frika
😖	e mërzitur, e ngatërruar, e shqetësuar, e turbulluar, e zemëruar, fytyrë, fytyrë e turbulluar
😣	dhimbje koke, fytyrë, fytyrë këmbëngulëse, këmbëngulëse, përqendrim
😞	dështim, e tmerrshme, e zhgënjyer, faj, fytyrë, fytyrë e zhgënjyer, humbje
😓	dhimbje koke, djersë, ftohtë, fytyrë, fytyrë me djersë të ftohta, i mërzitur, nervoz
😩	e lodhur, e rraskapitur, fytyrë, fytyrë e rraskapitur
😫	e lodhur, e mërzitur, fytyrë, fytyrë e lodhur, kosto, teshtij
🥱	dremit, e lodhur, e mërzitur, e përgjumur, fytyrë, fytyrë e mërzitur, fytyrë e përgjumur, gogësij, natën e mirë, si të duash
😤	avull, fitoi, fytyrë, fytyrë me tym nga hunda, i pakënaqur, i zemëruar, triumf, zemërim
😡	e inatosur, e kuqe, e zemëruar, fytyrë, fytyrë me buzë të varura, zemërim
😠	e inatosur, e zemëruar, fajësoj, fytyrë, fytyrë e zemëruar, zemërim
🤬	censurë, fyerje, fytyrë me simbole në gojë, i zemëruar, mallkim, sharje
😈	brirë, buzëqeshje, fantazi, fytyrë, fytyrë e qeshur me brirë, i keq, përrallë
👿	demon, djall, dreq, fantazi, fytyrë, fytyrë e zemëruar me brirë, përrallë
💀	fytyrë, kafkë, përbindësh, përrallë, trup, vdekje, vdekur
