‾	surlignéation, trait suscrit, vinculé
😤	fumée, triomphe, victoire, visage, visage avec fumée sortant des narines, énervé
😡	boudeur, furieux, rouge, visage, énervé
😠	en colère, furieux, visage, visage en colère
🤬	bipé, blasphème, censuré, sacre, visage, visage avec des symboles dans la bouche
👿	cornes, diable, diablotin, démon, en colère, visage, visage en colère avec des cornes
💀	crâne, fantastique, monstre, mort, visage
💩	caca, crotte, marde, merde, tas de crotte, visage
👹	créature, fantastique, monstre, ogre, visage
👺	créature, fantastique, gobelin, monstre, visage
👻	Halloween, blague, bouh, créature, effrayant, fantastique, fantôme, hanter, monstre, peur
👽️	alien, créature, extraterrestre, fantastique, ovni, visage
👾	alien, créature, extraterrestre, monstre, monstre de l’espace, ovni, visage
🤖	monstre, robot, visage
😺	bouche, chat, chat qui sourit, ouverte, sourire, visage
😸	chat, chat qui sourit avec des yeux rieurs, sourire, visage, yeux rieurs
😹	chat, chat qui pleure de joie, joie, larmes, sourire, visage
😻	amoureux, chat, chat souriant aux yeux en cœurs, sourire, visage, yeux en forme de cœurs
😼	chat, chat avec sourire en coin, en coin, ironique, sourire, visage
😽	baiser, bec, bisou, chat, chat qui fait un bisou, visage
🙀	chat, chat fatigué, inquiet, surpris, visage, étonné
😿	chat, chat qui pleure, larmes, pleure, triste, visage
😾	chat, chat qui boude, colère, furieux, visage
🙈	aveugle, rien de mal, singe, singe ne rien voir, visage, yeux couverts
🙉	oreilles couvertes, rien de mal, singe, singe ne rien entendre, sourd, visage
🙊	bouche couverte, muet, rien de mal, singe, singe ne rien dire, visage
💌	amour, cœur, lettre, lettre d’amour
💘	cupidon, cœur, cœur et flèche, flèche
💝	cœur, cœur avec ruban, ruban, saint valentin, st valentin
💖	cœur, enthousiaste, étincelant
💗	cœur, grandissant, nerveux, pouls, pulsations
💓	battant, battement, cœur, pulsations
💕	amour, deux cœurs
💟	cœur, décoration, décoration avec cœur
❣️	cœur, cœur point d’exclamation, exclamation, point
💔	brisé, cœur
❤‍🔥	amour, cœur en feu, désir, feu, passion
❤‍🩹	cœur avec bandages, en convalescence, réconforter, récupérer, soigner
❤️	cœur, rouge
🩷	aimer, amour, cœur, mignon, rose
🧡	cœur, orange
💛	cœur, jaune
💚	cœur, vert
💙	bleu, cœur
💜	cœur, violet
🤎	brun, cœur, cœur brun
🩶	ardoise, argenté, cœur, gris
💯	cent, cent points, marque, score
💢	bande dessinée, colère, furieux, symbole, symbole de colère
💥	bande dessinée, collision, explosion
💫	bande dessinée, tournis, étourdissement
💦	bande dessinée, goutte, gouttes de sueur, sueur, éclaboussure
💨	bande dessinée, décamper, filer, fuir, se sauver, s’enfuir
💬	bande dessinée, bulle, bulle de parole, dialogue, parole
👁‍🗨	bulle, parole, témoin, œil, œil dans une bulle de parole
🗨️	bande dessinée, bulle, bulle de parole à gauche, dialogue, parole, à gauche
🗯️	bande dessinée, bulle, bulle de colère à droite, dialogue, parole, à droite
💭	bande dessinée, bulle, bulle de pensée, pensée
💤	dormir, endormi, ronfler, zzz
👋	coucou, main, signe, signe de la main
👋🏻	coucou, main, peau claire, signe, signe de la main, signe de la main : peau claire
👋🏼	coucou, main, peau modérément claire, signe, signe de la main, signe de la main : peau modérément claire
👋🏽	coucou, main, peau légèrement mate, signe, signe de la main, signe de la main : peau légèrement mate
👋🏾	coucou, main, peau modérément foncée, signe, signe de la main, signe de la main : peau modérément foncée
👋🏿	coucou, main, peau foncée, signe, signe de la main, signe de la main : peau foncée
🤚	dos de main, dos de main levée, levée, main
🤚🏻	dos de main, dos de main levée, dos de main levée : peau claire, levée, main, peau claire
🤚🏼	dos de main, dos de main levée, dos de main levée : peau modérément claire, levée, main, peau modérément claire
