‾	መስመር ላይ
🧑🏽‍🤝‍🧑🏽	መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-4, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-4, ጥንዶች
🧑🏽‍🤝‍🧑🏾	መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-4 እና የቆዳ ዓይነት-5, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-4, የቆዳ ዓይነት-5, ጥንዶች
🧑🏽‍🤝‍🧑🏿	መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-4 እና የቆዳ ዓይነት-6, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-4, የቆዳ ዓይነት-6, ጥንዶች
🧑🏾‍🤝‍🧑🏻	መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-5 እና የቆዳ ዓይነት-1-2, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-5, ጥንዶች
🧑🏾‍🤝‍🧑🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-5 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-5, ጥንዶች
🧑🏾‍🤝‍🧑🏽	መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-5 እና የቆዳ ዓይነት-4, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-4, የቆዳ ዓይነት-5, ጥንዶች
🧑🏾‍🤝‍🧑🏾	መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-5, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-5, ጥንዶች
🧑🏾‍🤝‍🧑🏿	መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-5 እና የቆዳ ዓይነት-6, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-5, የቆዳ ዓይነት-6, ጥንዶች
🧑🏿‍🤝‍🧑🏻	መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-6 እና የቆዳ ዓይነት-1-2, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-6, ጥንዶች
🧑🏿‍🤝‍🧑🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-6 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-6, ጥንዶች
🧑🏿‍🤝‍🧑🏽	መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-6 እና የቆዳ ዓይነት-4, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-4, የቆዳ ዓይነት-6, ጥንዶች
🧑🏿‍🤝‍🧑🏾	መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-6 እና የቆዳ ዓይነት-5, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-5, የቆዳ ዓይነት-6, ጥንዶች
🧑🏿‍🤝‍🧑🏿	መያዝ, ሰው, ሰዎች እጅ ለእጅ ተያይዘው, ሰዎች እጅ ለእጅ ተያይዘው: የቆዳ ዓይነት-6, ባልና ሚስት, እጅ, እጅ ለእጅ መያያዝ, የቆዳ ዓይነት-6, ጥንዶች
👭	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች
👭🏻	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2
👩🏻‍🤝‍👩🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-1-2 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የቆዳ ዓይነት-1-2
👩🏻‍🤝‍👩🏽	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-1-2 እና የቆዳ ዓይነት-4, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-4
👩🏻‍🤝‍👩🏾	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-1-2 እና የቆዳ ዓይነት-5, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-5
👩🏻‍🤝‍👩🏿	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-1-2 እና የቆዳ ዓይነት-6, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-6
👩🏼‍🤝‍👩🏻	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም እና የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2
👭🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👩🏼‍🤝‍👩🏽	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም እና የቆዳ ዓይነት-4, የቆዳ ዓይነት-4
👩🏼‍🤝‍👩🏾	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም እና የቆዳ ዓይነት-5, የቆዳ ዓይነት-5
👩🏼‍🤝‍👩🏿	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም እና የቆዳ ዓይነት-6, የቆዳ ዓይነት-6
👩🏽‍🤝‍👩🏻	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-4 እና የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-4
👩🏽‍🤝‍👩🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-4 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የቆዳ ዓይነት-4
👭🏽	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4
👩🏽‍🤝‍👩🏾	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-4 እና የቆዳ ዓይነት-5, የቆዳ ዓይነት-4, የቆዳ ዓይነት-5
👩🏽‍🤝‍👩🏿	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-4 እና የቆዳ ዓይነት-6, የቆዳ ዓይነት-4, የቆዳ ዓይነት-6
👩🏾‍🤝‍👩🏻	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-5 እና የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-5
👩🏾‍🤝‍👩🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-5 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የቆዳ ዓይነት-5
👩🏾‍🤝‍👩🏽	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-5 እና የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, የቆዳ ዓይነት-5
👭🏾	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5
👩🏾‍🤝‍👩🏿	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-5 እና የቆዳ ዓይነት-6, የቆዳ ዓይነት-5, የቆዳ ዓይነት-6
👩🏿‍🤝‍👩🏻	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-6 እና የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-6
👩🏿‍🤝‍👩🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-6 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የቆዳ ዓይነት-6
👩🏿‍🤝‍👩🏽	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-6 እና የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, የቆዳ ዓይነት-6
👩🏿‍🤝‍👩🏾	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-6 እና የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, የቆዳ ዓይነት-6
👭🏿	መያዝ, ሴት, እጅ, እጅ ለእጅ የተያያዙ ሴቶች, እጅ ለእጅ የተያያዙ ሴቶች: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6
👫	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, ወንድ, ወንድ እና ሴት, ጥንዶች
👫🏻	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-1-2, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-1-2, ጥንዶች
👩🏻‍🤝‍👨🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-1-2 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-1-2, ጥንዶች
👩🏻‍🤝‍👨🏽	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-1-2 እና የቆዳ ዓይነት-4, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-4, ጥንዶች
👩🏻‍🤝‍👨🏾	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-1-2 እና የቆዳ ዓይነት-5, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-5, ጥንዶች
👩🏻‍🤝‍👨🏿	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-1-2 እና የቆዳ ዓይነት-6, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-6, ጥንዶች
👩🏼‍🤝‍👨🏻	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም እና የቆዳ ዓይነት-1-2, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-1-2, ጥንዶች
👫🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ወንድ, ወንድ እና ሴት, ጥንዶች
👩🏼‍🤝‍👨🏽	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም እና የቆዳ ዓይነት-4, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-4, ጥንዶች
👩🏼‍🤝‍👨🏾	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም እና የቆዳ ዓይነት-5, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-5, ጥንዶች
👩🏼‍🤝‍👨🏿	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም እና የቆዳ ዓይነት-6, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-6, ጥንዶች
👩🏽‍🤝‍👨🏻	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-4 እና የቆዳ ዓይነት-1-2, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-4, ጥንዶች
👩🏽‍🤝‍👨🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-4 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-4, ጥንዶች
👫🏽	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-4, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-4, ጥንዶች
👩🏽‍🤝‍👨🏾	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-4 እና የቆዳ ዓይነት-5, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-4, የቆዳ ዓይነት-5, ጥንዶች
👩🏽‍🤝‍👨🏿	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-4 እና የቆዳ ዓይነት-6, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-4, የቆዳ ዓይነት-6, ጥንዶች
👩🏾‍🤝‍👨🏻	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-5 እና የቆዳ ዓይነት-1-2, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-5, ጥንዶች
👩🏾‍🤝‍👨🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-5 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-5, ጥንዶች
👩🏾‍🤝‍👨🏽	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-5 እና የቆዳ ዓይነት-4, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-4, የቆዳ ዓይነት-5, ጥንዶች
👫🏾	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-5, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-5, ጥንዶች
👩🏾‍🤝‍👨🏿	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-5 እና የቆዳ ዓይነት-6, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-5, የቆዳ ዓይነት-6, ጥንዶች
👩🏿‍🤝‍👨🏻	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-6 እና የቆዳ ዓይነት-1-2, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-6, ጥንዶች
👩🏿‍🤝‍👨🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-6 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-6, ጥንዶች
👩🏿‍🤝‍👨🏽	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-6 እና የቆዳ ዓይነት-4, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-4, የቆዳ ዓይነት-6, ጥንዶች
👩🏿‍🤝‍👨🏾	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-6 እና የቆዳ ዓይነት-5, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-5, የቆዳ ዓይነት-6, ጥንዶች
👫🏿	ሴት, እጅ, እጅ ለእጅ, እጅ ለእጅ የተያያዙ ወንድ እና ሴት, እጅ ለእጅ የተያያዙ ወንድ እና ሴት: የቆዳ ዓይነት-6, ወንድ, ወንድ እና ሴት, የቆዳ ዓይነት-6, ጥንዶች
👬	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, ዞድያክ, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👬🏻	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-1-2, ዞድያክ, የቆዳ ዓይነት-1-2, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏻‍🤝‍👨🏼	ሆሮስኮፕ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-1-2 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ዞድያክ, የቆዳ ዓይነት-1-2, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏻‍🤝‍👨🏽	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-1-2 እና የቆዳ ዓይነት-4, ዞድያክ, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-4, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏻‍🤝‍👨🏾	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-1-2 እና የቆዳ ዓይነት-5, ዞድያክ, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-5, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏻‍🤝‍👨🏿	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-1-2 እና የቆዳ ዓይነት-6, ዞድያክ, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-6, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏼‍🤝‍👨🏻	ሆሮስኮፕ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም እና የቆዳ ዓይነት-1-2, ዞድያክ, የቆዳ ዓይነት-1-2, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👬🏼	ሆሮስኮፕ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ዞድያክ, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏼‍🤝‍👨🏽	ሆሮስኮፕ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም እና የቆዳ ዓይነት-4, ዞድያክ, የቆዳ ዓይነት-4, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏼‍🤝‍👨🏾	ሆሮስኮፕ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም እና የቆዳ ዓይነት-5, ዞድያክ, የቆዳ ዓይነት-5, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏼‍🤝‍👨🏿	ሆሮስኮፕ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም እና የቆዳ ዓይነት-6, ዞድያክ, የቆዳ ዓይነት-6, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏽‍🤝‍👨🏻	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-4 እና የቆዳ ዓይነት-1-2, ዞድያክ, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-4, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏽‍🤝‍👨🏼	ሆሮስኮፕ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-4 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ዞድያክ, የቆዳ ዓይነት-4, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
