‾	መስመር ላይ
▻	ባዶ ወደ ቀኝ የሚያመለክተው አመልካች
▼	ሶስት ማእዘን, ቀስት, ወደ ታች, የተሞላ, የተሞላ ወደታች የሚጠቁም ሶስት ማእዘን
▽	ባዶ ወደ ታች የሚያመለክተው ሶስት ማዕዘን
▾	የሞላ ወደ ታች የሚያመለክተው ትንሽ ሶስት ማዕዘን
▿	ባዶ ወደ ታች የሚያመለክተው ትንሽ ሶስት ማዕዘን
◁	ባዶ ወደ ግራ የሚያመለክተው ሶስት ማዕዘን
◂	የሞላ ወደ ግራ የሚያመለክተው ትንሽ ሶስት ማዕዘን
◃	ባዶ ወደ ግራ የሚያመለክተው ትንሽ ሶስት ማዕዘን
◄	የሞላ ወደ ግራ የሚያመለክተው ማመልከቻ
◅	የባዶ ወደ ግራ የሚያመለክተው ማመልከቻ
◆	የሞላ ዳይመንድ
◇	ባዶ ዳይመንድ
◈	የሞላ ዳይመንድ የሞላ ዳይመንድ የያዘ
◉	ባዶ ክብ የሞላ ክብ የያዘ
◊	ሉል ቅርጽ, ሮምበስ, አልማዝ
○	ቀለበት, ባዶ ክብ, ክብ
◌	ክብ ነጥብ
◍	ክብ ከአቀባዊ ሙላት ጋር
◎	ጋራም ብርታዊ ክቦች
●	ክብ, የተሞላ ክብ
◐	ግራ ግማሽ የተሞላ ክብ
◑	ቀኝ ግማሽ የተሞላ ክብ
◒	የታችኛው ግማሽ የተሞላ ክብ
◓	የላይኛው ግማሽ የተሞላ ክብ
◔	የላይኛው ቀኝ አራት መአዘን የተሞላ ክብ
◕	የላይኛው ግራ አራት መአዘን የተሞላ ግን ሁሉም ክብ
◖	ግራ ግማሽ የሞላ ክብ
◗	ቀኝ ግማሽ የሞላ ክብ
◘	የወፍራም ነጥብ ተቃራኒ
◙	ባዶ ክብ ይያዘ የተሞላ አራት መአዘን
◜	የላይኛው ግራ አራት ማዕዘን ክብ ቅሥት
◝	የላይኛው ቀኝ አራት ማዕዘን ክብ ቅሥት
◞	የታችኛው ቀኝ አራት ማዕዘን ክብ ቅሥት
◟	የታችኛው ግራ አራት ማዕዘን ክብ ቅሥት
◠	የላይኛው ግማሽ ክበ
◡	የታችኛው ግማሽ ክበ
◢	የሞላ የታችኛው ቀኝ ሶስት ማዕዘን
◣	የሞላ የታችኛው ግራ ሶስት ማዕዘን
◤	የሞላ የላይኛው ግራ ሶስት ማዕዘን
◥	የሞላ የላይኛው ቀኝ ሶስት ማዕዘን
◦	ባዶ ወፍራም ነጥብ
◯	ቀለበት, ትልቅ ባዶ ክብ, ክብ
◳	ባዶ አራት መአዘን ከላይኛው ቀኝ ማዕዘን ጋር
◷	ባዶ ክብ ከላይኛው ቀኝ ማዕዘን ጋር
◿	ዝቅተኛ የቀኝ ሶስት ማእዘን
♪	ስምንተኛ ኖታ
⨧	መደመር ግርጌ አደር ሁለት
⨯	የቬክተር ክሮስ ብዜት
⨼	ውስጣዊ ብዜት
⩣	ሎጂካዊ ወይም ድርብ ሰረዝ
⩽	ከ እኩል ያነሰ
⪍	ከ እኩል ተመሳሳይ በላይ ያንሳል
⪚	ሁለት መስመር እኩል ከ ይበልጣል
⪺	ከላይ ሰክሲድስ እኩል አይደለም ማለት ይቻላል
♭	ፍላት
♯	ሻርፕ
😀	ሳቅ, ደስተኛ, ደስታ, ፈገግ ያለ ፊት, ፈገግታ, ፊት
😃	ሣቅ, ሳቅ, አሪፍ, አፉ የተከፈተ ሣቂታ ፊት, አፍ, ክፍት, ፈገግታ, ፊት
😄	ሣቅ, አስቂኝ, አይን ጨፍኖ መሳቅ, አፍ, አፍ ከፍቶ መሳቅ, ከተከፈተ አፍ ጋር ሣቂታ ፊት እና ሣቂታ ዓይኖች, ክፍት, ዓይን, ፈገግታ
😁	መልካም, ሣቂታ ዓይኖች ያሉት ፊት, ሣቅ, ሳቂታ ፊት, ሳቅ, ዓይን, ደስተኛ, ጥርስ, ፈገግታ, ፊት
😆	ሃሃሃ, መሳቅ, ሣቅ, አፍ, ከተከፈተ አፍ ጋር ሣቂታ ፊት እና የተጨፈኑ ዓይኖች, ክፍት, ደስተኛ, ፊት
😅	ላብ, ሣቅ, ቀዝቃዛ, አፍ ከፍቶ መሳቅ, እስኪያልብ መሳቅ, ከተከፈተ አፍ ጋር ሣቂታ ፊት እና ቀዝቃዛ ላብ, ክፍት
🤣	ሃሃ, መሬት, መሬት መንከባለል, መሳቅ, መሽከርከር, ሳቅ, በሳቅ መሬት ላይ መሽከርከር, አስቂኝ, እንባ እስኪወርድ መሳቅ, ያስቃል, ፊት
😂	ሐሤት, በሳቅ ማንባት, እንባ, ከባድ ሣቅ, የሐሤት እንባ ያሉት ፊት, ፊት
🙂	ሣቅ, በትንሹ ሣቂታ ፊት, ፊት
🙃	ሳቅ, የተገለበጠ, የተገለበጠ ፊት, ፊት
🫠	ሃሃ, መሟሟት, መቅለጥ, መጥፋት, ሙቀት, ማፈር, ስላቅ, በሳቅ, እየቀለጠ ያለ ፊት, ወበቅ, ፀሐይ, ፈሳሽ, ፊት
😉	ልብ ሰባሪ, መጀናጀን, መጥቀስ, ማሾፍ, ተንሸራታች, ተወዳጅ, የሚጣቀስ ፊት, ጠቀሳ, ጠበሳ, ፊት
😊	ሣቂታ ዓይኖች ያሉት ሣቂታ ፊት, ሣቅ, ዓይን, ዕፍረት, ፊት
😇	ላዩ ላይ ክብ ያለበት ሣቂታ ፊት, መልዓክ, መንፈሳዊ, መንፈስ, ምናባዊ, ቅዱስ, ታማኝ, ንጹህ, አክሊል, የዋህ, ፊት
🥰	ልብ, ልቦች, መውደድ, ማፍቀር, በፍቅር መያዝ, አፈቀረ, እወድሃለሁ, እወድሻለሁ, ከፍ ያለ ክብር ሰጠ, ወደደ, የሚስቁ ልቦች, የሚስቅ ፊት ከ 3 ልብ ጋር, የፍቅር ግንኙነት, ፈገግ ያለ ፊት በ3 ልቦች ጋር, ፈገግታ, ፊት, ፍቅር
😍	ሣቅ, ዓይን, የልብ ቅርጽ ያላቸው ዓይኖች ያሉት ሣቂታ ፊት, ፊት, ፍቅር
🤩	መጓጓት, በኮከብ የተሞላ, ኮከብ, ዋው, ዓይኖች, የተዋንያን አድናቂ, ጉጉት, ፈገግታ, ፊት
😘	ልብ, መሳም, የሚስም ፊት, ፊት
😗	መሳም, እየሳመ ያለ ፊት, ፊት
☺️	ሣቂታ ፊት, ሣቅ, የተነደፈ, የተዝናና, ፊት
😚	መሳም, አይን ጨፍኖ መሳም, ዓይን, የሚስም ፊት ከተዘጉ ዓይኖች ጋር, የተዘጋ, ፊት
😙	መሳም, ሣቅ, ዓይን, የሚስም ፊት, የሚስም ፊት ከሣቂታ ዓይኖች ጋር, ፊት
🥲	ስሜት መነካት, ስቃይ, አመስጋኝ, እንባ, ከእንባ ጋር የሚስቅ ፊት, ኩሩ, የደስታ እንባ, ደስተኛ, ደስታ, ፈገግታ, ፊት
😋	ሣቅ, በጣፋጭ ምግብ የጎመጀ ፊት, አስጎምጂ, ጣፋጭ, ፊት
😛	ምላሱን ያወጣ ፊት, ምላስ, ቆንጆ, አሪፍ, ግሩም, ጣፋጭ, ፊት, ፓርቲ
😜	ማላገጥ, ምላሱን ያወጣ እና ዓይኑ የሚጣቀስ ፊት, ምላስ, ምላስ ማውጣት, ቀልድ, አስቂኝ, አዝናኝ, ዓይን, ያበደ, ጠቀሳ, ጥቅሻ, ፊት
🤪	ትልቅ, ትንሽ, እብድ, እብድ ፊት, ዓይን, ዓይኖች, የእብድ ዓይኖች
😝	ምላሱን ያወጣ እና ዓይኑን የጨፈነ ፊት, ምላስ, ምንም ይሁን, በፈጣሪ ስም, አሰቃቂ, አስቀያሚ, ዓይን, የምትኖረው አንድ ጊዜ ብቻ ነው, የምትኖሪው አንድ ጊዜ ብቻ ነው, ጣዕም
🤑	አፉ ላይ ገንዘብ ያለበት ፊት, አፍ, ገንዘብ, ፊት
🤗	መተቃቀፍ, ማቀፍ, አላውቅም, አያገባኝም, እያቀፈ ያለ ፊት, እጆች, ፊት
🤭	መሳቅ, መደነቅ, ምስጢር, በሳቅ መንከትከት, እጁን አፉ ላይ ያደረገ ፊት, እጁን ከንፈሩ ላይ ያደረገ ፊት, ውይ, ድንገተኛ ግንዛቤ, ድንጋጤ
🫢	መሸማቀቅ, መደነቅ, መደንገጥ, መፍራት, ትንፋሽ መያዝ, አለማመን, እኔ አላምንም, ከፈጠጡ ዓይኖች እና አፍ ላይ እጅ የጫነ ፊት, ድንጋጤ, ጸጥታ, ፈራ
🫣	መሸማቀቅ, መደበቅ, መፍራት, ማየት, ማጮለቅ, ማፈር, ማፍጠጥ, ተደብቆ ማየት, አይናፋር, አጮልቆ ማየት, የሚያጮልቅ አይን ያለበት ፊት, የተማረከ, ፊት
🤫	እሽሽሽ, ዝም በል, ዝም በይ, የጸጥታ ፊት, ጸጥታ
🤔	ሃሳቢ ፊት, ላስብበት, ማሰላሰል, ማሰብ, ማጤን, በገረም, አሳቢ ፊት, ፊት
🫡	መልካም ዕድል, ሰላምታ, ሰላምታ የሚሰጥ ፊት, ታዛዥ ነኝ, አክብሮት, አዎ, አዎ እመቤት, እሺ, እሺ ጌታዬ, ወታደራዊ ሰላምታ, ወታደሮች, ፀሐያማ, ፊት
🤐	ባለዚፕ አፍ ፊት, አለመናገር, አልናገርም, አፍ, ዚፕ, ዝምታ, የተዘጋ, ፊት
🤨	ምን, ቅንድብ የተነሳ ፊት, በትንሹ መደነቅ, ተጠራጣሪ, አለመስማማት, አለመተማመን, አለማመን, አስገራሚ, ኢሞጂ, እምም, ጥርጣሬ
😐️	ስሜት አልባ, ኮስተር ያለ, ገለልተኛ, ገለልተኛ ፊት, ፊት
😑	ምንም ስሜት የሌለው ፊት, ስሜት አልባ, ስሜት የለሽ, ስሜት የማይገልጽ, ፊት
😶	አፍ, አፍ አልባ, አፍ የሌለው ፊት, ዝም ያለ, ጸጥታ, ፊት
🫥	መደበቅ, ምንም ይሁን ምን, አይናፋር, ኡፍፍ, እንደፈለክ, እንደፈለግሽ, ዙሪያውን ሰረዝ ያለው ፊት, የማይታይ, የተደበረ, የተደበቀ, የተጨነቀ, የጠፋ
😶‍🌫	ደመናማ ገጽ
😏	ምጸት, ሹፈት, ሽሙጥ, በምጸት ፈገግ የሚል ፊት, ፊት
😒	የሰለቸው, የተሰላቸ, የደበረው, ያልተደሰተ, ያልተገረመ, ያልተገረመ ፊት, ፊት
🙄	አዪ, ዓይኖች, የሚሽከረከሩ, የሚሽከረከሩ ዓይኖች ያሉት ፊት, ፊት
😬	ሐፍረት, ታሞ የተጨማደደ, ታሞ የተጨማደደ ፊት, የውሸት ሳቅ, የድንጋጤ ሳቅ, ፊት
