‾	горна црта
😇	ангел, бајка, библиски, благословен, дух, милост, насмеано лице со ореол, невиност, ореол, фантазија
🥰	заљубен, насмеано лице со 3 срциња, насмеано лице со срца, насмевка, насмевнати срца, обожава, романтика, симпатија, те сакам, љубов
😍	бакнежи, лице, насмеано лице со очи во облик на срца, насмеано лице со очи како срца, насмевка, очи во облик на срца, романтично, срца, хохо, чувства, љубов
🤩	возбуден, лице, лице здогледува славна личност, окезен, очи, очи како ѕвезди, потсмевнува, смеење, ѕвезда
😘	бакнеж, лице, лице што испраќа бакнеж, обожава, романтика, те сакам, флерт, хохо, цмок, љубов
😗	бакнеж, бакнежи, бакнување, лице, лице што бакнува, те сакам, флерт, хохо, цмок, љубов
☺️	лице, насмеано, насмеано лице, насмевка, релаксирано, се смее, среќно
😚	бакнеж, бакнежи, затворени, зацрвенето, лице, лице што бакнува со затворени очи, очи, состанок, флерт, хохо
😙	бакнеж, бакнува, затворени очи, лице, лице што бакнува со затворени очи, лице што бакнува со насмеани очи, насмевка, очи, флерт, љубов
🥲	благодарно, болка, гордост, лице, насмеано, насмеано лице со солза, радост, солза, среќно
😋	вкусно, гладно, лице што ужива во вкусна храна, ммм, насмевка, најадено, се смее, ужива во храната, храна, јаде
😛	забава, кул, лице, лице со исплазен јазик, слатко, феноменално, јазик
😜	епско, забавно, исплазен јазик, лице со исплазен јазик и намигнато око, луд, намигнување, откачен, смешно, чудак, шега
🤪	големо, луди очи, лудо лице, мало, око, очи
😝	вкус, како и да е, лице, лице со исплазен јазик и затворени очи, одвратно, око, омг, ужасно, јазик, јоло
🤑	лице, лице со пари во устата, лице со пари на устата, пари, платено, уста
🤗	гушкање, лице, лице што гушка, прегратка, раце
🤭	изненадување, кикотење, кикоти, лице со дланка преку устата, лице со рака преку уста, лице со рака преку устата, тајна, упс, шок
🫢	восхит, зачуденост, изненадено, исплашено, лице со отворени очи и рака на уста, неверица, посрамотено, шокирано
🫣	гледа, зашеметен, исплашено, лице со око што ѕирка, се крие, срамежливо, ѕирка
🤫	биди тивок, лице прави „шшш“, тивко, тишина, шшш
🤔	брада, лице, лице што размислува, мисли, размислува, се прашува, хмм
🫡	ОК, војнички, да, лице што отпоздравува, поздрав, почит, сончево, среќно!
🤐	лице со закопчана уста, лице со патент на устата, молчи, не кажува, патент, патент на уста, тајна, тивко, уста
🤨	благо изненадување, изненадување, лице со крената веѓа, недоверба, неодобрува, скептик, скептицизам, скептично, хмм
😐️	лице, лошо, мртво, не е смешно, не се смее, неутрално лице, неутралност, рамнодушно лице, рамнодушност
😑	без израз, без никаков израз, лице, лице без никаков израз, лошо, монотоно, мртво, незгодно, несреќно
😶	без зборови, замолкнато, лице без уста, молчи, тајна, тивко, тишина, уста, ќути
🫥	депресија, затскриено, интроверт, исчезнува, лице од испрекината линија, невидливо, сеедно, сокрива
😶‍🌫	глава во облаци, лице во магла, лице во облаци, отсутен со паметот
😏	веѓи, газда, итар, лице со подбивна насмевка, лице со полунасмевка, лукав, подбивно, самозадоволно, сомнително, флерт, шега
😒	..., досадно, здодевно, изнервирано, лице, незаинтересирано, незаинтересирано лице, несреќно, угх
🙄	ај добро, добро, како и да е, лице, лице што превртува очи, очи, превртува, сега ли најде, уф
😬	гримаса, лице, лице со гримаса, насмевка, незгодно, непријатно, ништо, се смее, стоматолог
😮‍💨	восклик, дим, дува, издишување, лице, лице издишува, олеснување, свиркање, стенкање, уморно, шепот
🤥	лажго, лаже, лажење, лице, пинокио
🫨	вибрирање, зашеметеност, земјотрес, изненадување, лице, лице што се тресе, паника, тресење, шок
