‾	горна црта
🫑	бабура, зелена, зеленчук, пипер, пиперка, храна
🥒	зеленчук, кисела краставичка, краставица, краставичка, храна
🥬	бургер, зелена салата, зелени листови, зелка, кељ, кинеска зелка, марула
🥦	брокола, броколи, дива зелка
🧄	зачинување, лук
🧅	зачинување, кромид
🥜	зеленчук, кикирика, кикирики, кикиритки, орев, храна
🫘	бубрег, грав, мало, мешунка, храна
🌰	бадем, костен, растение
🫚	зачин, здравје, корен, корен од ѓумбир, луто, пиво, ѓумбир
🫛	грав, грашок, едамам, зеленчук, зрнеста храна, мешунка, стебленце
🍄‍🟫	вегетаријански, габа, кафеава печурка, печурка, портобело-печурка, состојка за пица, спора, тартуф, храна, шитаке
🫜	градина, зеленчук, корен, коренест зеленчук, репа, цвекло
🍞	векна, жито, леб, пченица, ресторан, тост, храна, јаглехидрати
🥐	кифла, кроасан, француски, храна
🥖	багет, леб, француски, храна
🫓	арепа, гиро, гиро-пита, гордита, дурум, лаваш, леб, лепче, пита, храна
🥨	вртено, перек, свиено
🥯	багел, доручек, леб, намаз, пекара, пекарница, пециво, ѓеврек
🥞	десерт, палачинка, палачинки, храна
🧇	вафла, доручек, калап за вафли
🧀	кашкавал, парче кашкавал, парче сирење, сирење
🍖	коска, месо, месо со коска
🍗	гладен, живина, кокошка, копан, коска, мисирка, нога, пилешко
🥩	бифтек, исечено месо, кременадла, месо, парче, парче месо, свинско месо, стек, црвено месо, јагнешко месо
🥓	месо, сланина, храна
🍔	брза храна, бургер, гладен, ми се јаде, плескавица, сендвич, сендвич со плескавица, хамбургер, храна, јадам
🍟	брза храна, компир, помфрит, пржен, пржено, храна
🍕	гладен, кашкавал, кулен, парче, пица, пица со кулен, сирење, храна, јаде
🌭	виршла, колбас, сендвич со виршла, хот дог
🥪	леб, сендвич
🌮	мексиканска, тако, храна
🌯	бурито, врап, мексиканска, храна
🫔	замотана, мексиканска, памоња, тамале, храна
🥙	гиро, донер, фалафел, храна
🧆	леблебија, фалафел, ќофте
🥚	храна, јајце
🍳	готвење, појадок, пржење, ресторан, тавче, јајце, јајце на око
🥘	плитка, тава, тавче со храна, тепсија, храна
🍲	лонец, лонец со храна, супа, тенџере, тенџере со храна, храна, чорба
🫕	кашкавал, сирење, стопено, топен кашкавал, топено сирење, фонду, храна, чоколада, швајцарско
🥣	доручек, житарки, каша, каша со ориз, појадок, сад со лажица, чинија со лажица
🥗	зелена, зелена салата, салата, храна
🍿	пуканки, пченка, филм
🧈	млечен производ, путер
🧂	вкус, зачин, сол, соларник, солено
🥫	конзерва, конзервирана храна
🍱	бенто, кутија, храна, јапонска, јапонска храна за носење
🍘	бисквит, колаче, колаче од ориз, колачи од ориз, ориз, храна
🍙	ориз, топка, топка од ориз, топки од ориз, храна, јапонски
🍚	варен, варен ориз, ориз, храна
🍛	кари, ориз, ориз со кари, храна
🍜	длабока чинија, длабока чинија со жешка храна, нудли, пареа, рамен, стапчиња, супа, тестенини, храна, чинија
🍝	кечап, ресторан, сос, храна, шпагети, шпагети со кечап, шпагети со сос, ќофтиња
🍠	компир, печен, печен сладок компир, сладок, храна
🍢	морска храна, ражен, ресторан, стапче, храна, јапонски ражен
🍣	суши, храна
🍤	пржено, пржено ракче, ракче
🍥	колаче, печиво, ресторан, риба, спирала, спирална торта со риба, спирално колаче со риба, торта, храна
🥮	есен, месечев колач, месечева торта, месечево колаче, фестивал
🍡	данго, десерт, десерт на стапче, ражен, слатко, стапче, јапонски, јапонски десерт на стапче, јапонски слатки кнедли, јапонско
🥟	дамплинг, емпанада, кинеска штрудла, кнедла, пирошка
🥠	колаче на среќата, пророштво
🥡	испорака на храна, кинеска кутија за храна, кинеска храна, кинески стапчиња, кутија за храна за носење, нарачка на храна, стапчиња, стапчиња за јадење, храна за носење
🦀	рак, хороскоп
🦞	животно, клешти, морска храна, рак, црвен јастог, чорба, јастог
🦐	мали, мало, ракче, ракчиња, храна, школки
🦑	животно, лигња, мекотел, мекотели, храна
🦪	бисер, нуркање, острига, школка
🍦	десерт, корнет, крем, ресторан, сладолед, сладолед во корнет, сладолед на точење, слатко, точење, храна
🍧	десерт, лед, мраз, ресторан, сладолед од мраз, слатко
🍨	десерт, крем, лед, мраз, ресторан, сладолед, сладолед во чаша, слатко, топка сладолед, храна
🍩	десерт, крофна, слатко, храна
🍪	десерт, колаче, колаче со чоколадо, слатко, чоколадно колаче
🎂	десерт, печиво, прослава, роденден, роденденска, роденденска торта, слатко, среќен роденден, торта
🍰	десерт, овошна торта, парче, печиво, слатко, торта
🧁	десерт, мрвици, пекарница, слатки печива, тортичка, шеќер
🥧	месо, овошје, парче пита, печиво, пита, пита од тиква, пита со јаболка, тесто, фил
🍫	десерт, коцка чоколадо, ноќ на вештерките, по слаткото, слатко, чоколадо
🍬	бонбона, бонбонче, десерт, ноќ на вештерките, обвивка, по слаткото, ресторан, слатко
🍭	бонбона, десерт, лижавче, лижалче, ресторан, слаткарница, слатко, храна
🍮	десерт, крема, пудинг, слатко, фил
🍯	буре, грне, грне со мед, мед, мечка, слатко, тегла, тегла со мед, храна
🍼	бебе, бебиња, млеко, новороденче, пијалок, цуцла, шише, шише за бебе
🥛	млеко, пијалок, чаша, чаша млеко
☕️	кафе, кофеин, пареа, пијалак, топло, топол напиток, утро, филџан кафе, чај, шолја кафе
🫖	вари, напиток, пијалак, свари, храна, чај, чајник
🍵	напиток, пијалак, топло, чаша за чај без рачка, чај, шоља
🍶	алкохол, бар, ориз, пијалак, ресторан, саке, шише, шоља, јапонски
🍾	бар, отворање тапа, отворање шампањ, пијалак, плута, пукање тапа, шампањ, шише, шише со пукната плута, шише шампањ
🍷	алкохол, бар, вино, клуб, пиење, пијалак, пијачка, ресторан, чаша, чаша за вино
🍸️	алкохол, бар, клуб, коктел, мартини, пиење, пијалак, пијачки, чаша, чаша за коктел
🍹	алкохол, бар, забава, клуб, коктел, маи таи, пијалак, пијан, пијачка, тропски, тропски пијалак
🍺	алкохол, бар, кригла, кригла пиво, летно пиво, октоберфест, пиво, пиење, пијалак, пијачки, светло пиво
🍻	алкохол, бар, кригли, на здравје, наздравување, наздравување со кригли пиво, пиво, пиење, пијалак, пијалоци
🥂	здравица, на здравје, наздравува, наздравување, пијалок, прославува, прославување, чаша
🥃	алкохол, виски, жесток пијалак, жестоко, скоч, чаша, шот
🫗	беља, вода, истура, истурање течност, пијалак, празно, чаша
🥤	безалкохолен пијалак, вода, газиран пијалак, цеден сок, чаша со сламка, чаша со цевка, чаша со цевче
🧋	бисер, боба, меурче, млеко, тајван, храна, чај, чај со меурчиња, чај со топчиња
🧃	кутија, сладок, сок, сокче, сокче во тетрапак, сокче со цевче, тетрапак, цевче
🧉	мате, пијалак
🧊	коцка мраз, ладно, лед, мраз, санта лед
🥢	кинески стапчиња, стапчиња, стапчиња за јадење, хаши, јапонски стапчиња
🍽️	вечера, виљушка, виљушка и нож со чинија, готвење, нож, чинија, јаде
🍴	вечера, виљушка, виљушка и нож, вкусно, готвење, мљац, појадок, ресторан, ручек, храна
🥄	лажица, прибор, прибор за јадење, јаде
🔪	алатка, готвач, готвење, кујнски нож, нож, оружје
🫙	зимница, празно, сад, сос, тегла, туршија
🏺	алатка, амфора, бокал, водолија, готвење, оружје, пијалак, стомна, хороскоп, ќуп
🌍	Африка, Европа, африка, глобус, глобус на Европа и Африка, глобус што ги покажува Европа и Африка, европа, земја, свет
🌎️	Америка, америка, глобус, глобус на Америка, глобус со Јужна и Северна Америка, земја, свет
🌏	Австралија, Азија, австралија, азија, глобус, глобус на Азија и Австралија, глобус со Азија и Австралија, земја, свет
🌐	глобус, глобус со меридијани, глобус со меридијаните, земја, интернет, меридијани, свет, светска мрежа
🗺️	карта, карта на светот, мапа, мапа на светот, свет
🗾	Јапонија, карта, карта на Јапонија, мапа, мапа на Јапонија
🧭	компас, магнетно, навигација, насока, ориентирање
🏔️	ладно, планина, планина покриена со снег, планина со снег, планина со снежен врв, снег, студено
⛰️	планина
🌋	вулкан, ерупција, планина, природа
🗻	Фуџи, планина, планината Фуџи, планината фуџи, природа, фуџи
🏕️	кампување, шатор
🏖️	плажа, плажа со чадор, плажа со чадор за сонце, чадор, чадор за сонце
🏜️	пустина
🏝️	остров, пуст, пуст остров, пустина
🏞️	национален парк, парк
🏟️	стадион
🏛️	градба, класична, класична зграда
🏗️	градба, градежен објект, конструкција, кран
🧱	глина, малтер, тула, тули, цигла, цигли, ѕид
🪨	камен, карпа, тврдо, тешко, цврсто
🪵	граѓа, дрва, дрвена граѓа, дрво, огрев, трупец
🛖	дом, засолниште, колиба, куќа
🏘️	куќа, куќи
🏚️	дом, запоставена, куќа, напуштена, напуштена куќа
🏠️	градба, дом, едноставен дом, каде што е срцето, куќа, предградие
🏡	градба, градина, дом, едноставна куќа, каде што е срцето, куќа, куќа со градина, предградие
🏢	град, градба, деловна зграда, зграда, канцелариска зграда, канцеларија, работа
🏣	градба, пошта, јапонска, јапонска пошта
🏤	градба, европска, пошта
🏥	болница, градба, доктор, лекар, медицина
🏦	банка, градба
🏨	градба, хотел
🏩	градба, хотел, љубов, љубовен хотел
🏪	24, 24 часа, градба, маркет, минимаркет, нон-стоп, продавница
🏫	градба, училиште
🏬	градба, продавница, стоковна, стоковна куќа
🏭️	градба, фабрика
🏯	градба, замок, јапонски, јапонски замок
🏰	градба, европска, замок
💒	капела, романтика, свадба, се земаат, црква
🗼	Токио, кула, токио, токиската кула
🗽	слобода, статуа, статуата на слободата, њујорк
⛪️	благослов, благослови, градба, капела, крст, религија, христијанин, христијанска, христијанство, црква
🕌	Муслиман, ислам, муслиман, муслиманска, религија, џамија
🛕	хинду, хиндуски, хиндуски храм, храм
🕍	Евреин, евреин, религија, синагога, храм, јудаизам
⛩️	религија, храм, шинтоизам, шинтоистички храм
🕋	Муслиман, аџилак, ислам, муслиманска, религија, хаџ, ќаба
⛲️	фонтана
⛺️	кампување, шатор
🌁	време, магла, магливо
🌃	време, ноќ, ноќ со ѕвезди, ѕвезда, ѕвезди
🏙️	град, градба, градски пејзаж, пејзаж
🌄	време, изгрејсонце, изгрејсонце над планини, изгрејсонце над планините, планина, сонце, утро
🌅	време, изгрејсонце, природа, сонце, утро
🌆	вечер, град, градски пејзаж во приквечерина, зајдисонце, зграда, згради, пејзаж, приквечер, самрак, сонце
🌇	градба, зајдисонце, зграда, згради, самрак, сонце
🌉	вечер, време, мост, мост навечер, мост ноќе, ноќ
♨️	вода, жешка, жешки извори, жешко, извори, извори на топла вода, пареа, топла, топли извори, топло
🎠	вртелешка, забава, коњ, коњче од вртелешка, рингишпил
🛝	забавен парк, игра, игралиште, лизгалка за деца, лизгање
🎡	вртелешка, забавен парк, панорама, панорамско тркало, тркало
🎢	вагони, забавен парк, ролеркостер, тобоган
💈	бербер, нова фризура, столб, столб пред берберница, стрижење, фризура, шишање
🎪	циркус, циркуски шатор, шатор
🚂	воз, возило, возови, железница, кабина, локомотива, мотор, пареа, патување
🚃	вагон, воз, возило, електричен, железница, патување, трамвај, тролејбус
🚄	брз воз, брзина, воз, возило, железница
🚅	брз воз, брз воз со нос на куршум, брзина, воз, воз-куршум, возило, железница, куршум, патување
🚆	воз, возило, железница, пристигна, пруга
🚇️	возило, железница, метро, патување, подземна
🚈	воз, возило, едношинска железница, железница, лесна железница, пристигна
🚉	воз, возило, железница, железничка станица, станица
🚊	возило, трамвај, тролејбус
🚝	воз, возило, едношинска железница, железница
🚞	вагон, возило, железница, патување, планина, планинска железница
🚋	вагон, вагон на трамвај, возило, трамвај, тролејбус
🚌	автобус, возило, училиште, школо
🚍️	автобус, автобус што пристигнува, возило, коли, пристигнува
🚎	автобус, возило, трамвај, тролејбус
🚐	автобус, вози, возило, комбе, минибус
🚑️	амбуланта, возило, итна помош, итна служба, итно
🚒	возило, камион, пожар, пожарна, противпожарно, противпожарно возило
🚓	автомобил, возило, кола, патрола, полициски автомобил, полиција, цајкани
🚔️	автомобил, возило, кола, полициски автомобил што пристигнува, полиција, пристигнува
🚕	вози, возило, жолто такси, кола, такси
🚖	вика такси, викни такси, вози, возило, жолто такси, пристигнува, такси, такси што пристигнува
🚗	автомобил, вози, возило, кола
🚘️	автомобил, автомобил што доаѓа, автомобил што пристигнува, автомобили, вози, возило, доаѓа, кола, коли, пристигнува
🚙	возило, камп, кампинг возила, рекреација, спортско, теренец, теренски, теренски автомобил, теренско, џип
🛻	автомобил, камион, камионет, камионче, кола, пикап, превоз
🚚	вози, возило, испорака, камион, камион за испорака
🚛	автомобил, вози, возило, камион, приколка, шлепер
🚜	возило, трактор
🏎️	автомобил, кола, трка, тркачки автомобил, тркање, формула
🏍️	мотор, мотор за трки, трка, тркачки мотор, тркање
🛵	мотор, скутер
🦽	инвалидска количка, инвалидска количка на рачен погон, пристапност, рачна инвалидска количка
🦼	инвалидска количка, инвалидска количка на моторен погон, моторизирана инвалидска количка, моторизирана количка, пристапност
🛺	моторизирана рикша, рикша, тук тук
🚲️	велосипед, велосипедист, возење, вози велосипед, возило
🛴	скутер, тротинет
🛹	скејта, скејтборд, скејтер, скирол, тркала, штица
🛼	возење, ролери, ролшуи, спорт
🚏	автобус, автобуска, автобуска постојка, постојка, станица
🛣️	автопат, пат
🛤️	воз, железница, железничка пруга, пруга
🛢️	буре, буре за нафта, нафта
⛽️	бензин, бензинска пумпа, бензинска станица, гориво, пумпа, станица
🛞	автомобил, возило, врти, гума, круг, тркало
🚨	автомобил, аларм, брза помош, итна помош, полиција, ротирачко, светло, светло на полициски автомобил, сирена, тревога
🚥	раскрсница, светло, семафор, сигнализација, сообраќај, стоп светло, хоризонтален семафор
🚦	вертикален семафор, возеше, раскрсница, светло, сигнализација, сообраќај, стоп светло
🛑	знак, осумаголник, стоп
🚧	бариера, градба, градежни работи на патот, изградба, препрека, пречка, работа на пат
⚓️	алатка, брод, сидро
🛟	безбедност, гума за спасување, пливање, плови, појас, спасување
⛵️	брод, едреник, едри, море, плови, транспорт, јахта
🛶	брод, кану, кајак, чамец
🚤	брод, глисер, езеро, лето, луксуз, милионер, милијардер, патување
🛳️	брод, патник, патници, патнички, патнички брод, транспорт
⛴️	брод, патници, траект, транспорт, ферибот
🛥️	брод, мотор, моторен брод, моторен чамец, транспорт
🚢	брод, патнички, патување, транспорт
✈️	авион, воздух, лета, летање, патување, транспорт
🛩️	авион, воздух, мал авион, транспорт
🛫	авион, авион полетува, воздух, заминувања, заминување, заминување на авион, полетување, пријавување, транспорт, чекин
🛬	авион, воздух, пристигнување, се спушта, слетување, транспорт
🪂	падобран, параглајдер, параглајдерство, спуштање со падобран
💺	седиште, столица
🚁	воздух, возило, патување, транспорт, хеликоптер
🚟	висечка железница, виси, возило, железница
🚠	возило, гондола, жичарница, жичница, кабел, кабина, планина, планинска жичарница, ски лифт
🚡	вагон, воздушен, воздушен трамвај, возило, гондола, жичарница, жичница, кабел, трамвај
🛰️	вселена, објект, сателит
🚀	возило, вселена, лансира, лансирање, патување, ракета, ракети
🛸	НЛО, вонземјани, летечка чинија
🛎️	портир, рецепција, хотел, ѕвонче, ѕвонче на рецепција
🧳	багаж, багаж со тркалца, куфер, куфер со тркалца, пакување, патување, торба со тркалца, тркалца
⌛️	време, песок, песочен часовник, тајмер, часовник
⏳️	песок, песочен часовник, песочен часовник со песок што тече, превртен песочен часовник, тајмер, часови, часовник, чека
⌚️	време, рачен саат, рачен часовник, саат, часовник
⏰️	аларм, будилник, време, доцни, саат, часа, часовник, часовник со аларм, чека
⏱️	време, саат, стоперка, часовник, штоперица
⏲️	саат, тајмер, часовник
🕰️	време, часовник, часовник над каминот
🕛️	12, 12:00, дванаесет, дванаесет часот, пладне, полноќ, саат, час
🕧	12, 12:30, 30, време, дванаесет, дванаесет и пол, дванаесет и триесет, саат, триесет, час
🕐️	1, 1:00, време, еден, еден часот, саат, час
🕜	1, 1:30, 30, време, еден, еден и пол, еден и триесет, триесет, час
🕑️	2, 2:00, време, два, два часот, саат, час
🕝	2, 2:30, 30, два, два и пол, два и триесет, саат, триесет, час
🕒️	3, 3:00, саат, три, три часот, час
🕞	3, 30, 3:30, време, саат, три, три и пол, три и триесет, триесет, час
🕓️	4, 4:00, време, саат, час, четири, четири часот
🕟	30, 4, 4:30, време, триесет, час, часот, четири, четири и пол, четири и триесет
🕔️	5, 5:00, време, пет, пет часот, саат, час
🕠	30, 5, 5:30, време, пет, пет и пол, пет и триесет, саат, триесет, час
🕕️	6, 6:00, време, саат, час, шест, шест часот
🕡	30, 6, 6:30, време, саат, триесет, час, шест, шест и пол, шест и триесет
🕖️	7, 7:00, саат, седум, седум часот, час
🕢	30, 7:30, саат, седум, седум и пол, седум и триесет, триесет, час
🕗️	8, 8:00, време, осум, осум часот, саат, час
🕣	30, 8, 8:30, време, осум, осум и пол, осум и триесет, саат, триесет, час
🕘️	9, 9:00, девет, девет часот, саат, час
🕤	30, 9, 9:30, време, девет, девет и пол, девет и триесет, саат, триесет, час
🕙️	10, 10:00, десет, десет часот, саат, час
🕥	10, 10:30, 30, време, десет, десет и пол, десет и триесет, саат, триесет, час
🕚️	11, 11:00, време, единаесет, единаесет часот, саат, час
🕦	11:30, 30, време, единаесет, единаесет и пол, единаесет и триесет, саат, триесет, час
🌑	време, вселена, месечина, млада, млада месечина, нова месечина, темна
🌒	вселена, месечина, новина, прва фаза - новина, прва фаза на месечина, сни, соништа
🌓	време, вселена, месечина, прва, прва четвртина, прва четвртина на месечина, четвртина
🌔	вселена, месечина, осветлена, осветлување, последна фаза на осветлување, последна фаза на осветлување на месечина
🌕️	време, вселена, месечина, полна, полна месечина
🌖	вселена, затемнување, месечина, прва, прва фаза на затемнување, прва фаза на затемнување месечина
🌗	време, вселена, месечина, последна, последна четвртина, четвртина
🌘	вселена, затемнување, затемнување на месечината, месечина, полумесечина, последна, последна фаза на затемнета месечина, последна фаза на затемнување, последна фаза на затемнување на месечината
🌙	време, вселена, месечев срп, месечина, полумесечина, рамазан, срп
🌚	вселена, лице, лице на млада месечина, лице на нова месечина, месечина, млада, млада месечина со лице
🌛	вселена, лице, месечина, прва, прва четвртина на месечината со лице, четврт, четвртина
🌜️	вселена, лице, месечина, посл. четврт. на месечина со лице, последна, последна четвртина на месечината со лице, сни, соништа, четвртина
🌡️	време, температура, термометар
☀️	време, вселена, зраци, светло, сонце, сончево
🌝	ведро, вселена, лице, месечина, полна, полна месечина со лице
🌞	време, ден, жешко, зраци, плажа, сонце, сонце со лице, сончева светлина, сончево, топлина
🪐	планета со прстени, сатурн
⭐️	астрономија, средна бела ѕвезда, ѕвезда, ѕвезди
🌟	блеска, блескава ѕвезда, победа, свети, светка, светлечка ѕвезда, сјае, сјај, ѕвезда
🌠	вселена, ноќ, паѓа, ѕвезда, ѕвезда што паѓа
🌌	време, вселена, млечен пат, млечниот пат
☁️	време, облак
⛅️	време, облак, облачно, сонце, сонце зад облак
⛈️	време, грмотевица, гром, дожд, облак, облак со гром и дожд
🌤️	време, облак, сонце, сонце зад мал облак
🌥️	време, облак, сонце, сонце зад голем облак
🌦️	време, дожд, облак, сонце, сонце зад облак со дожд
🌧️	време, дожд, облак, облак со дожд
🌨️	време, ладно, облак, облак со снег, снег
🌩️	време, гром, облак, облак со гром
🌪️	ветер, виор, вител, време, облак, торнадо
🌫️	време, магла, облак
🌬️	ветер, ветер со лице, ветерно лице, време, дува, лице, лице на ветер, облак
🌀	ветер, време, врти, вртоглавица, тајфун, торнадо, циклон
🌈	бисексуалност, виножито, време, геј, дожд, квир, лгбт, лезбијка, природа, трансродово лице
🌂	време, дожд, затворен чадор, чадор
☂️	време, дожд, чадор
☔️	време, дожд, капка, капки, чадор, чадор со капки дожд
⛱️	време, дожд, сонце, чадор, чадор за сонце, чадор на земја
⚡️	висок напон, висока волтажа, волтажа, грмотевица, гром, електрицитет, електричен напон, опасност, струја, удар
❄️	време, ладно, снег, снегулка, студено
☃️	време, ладно, снег, снешко, студено
⛄️	време, ладно, снег, снешко, снешко без снег, студено
☄️	вселена, комета
🔥	алатка, гори, запалено, оган, пламен, пожар, топло
💧	вода, време, капка, ладно, пот, природа, солза, тажно
🌊	бран, вода, воден бран, време, океан, природа, сурфање, сурфер
🎃	вештерки, ноќ, ноќ на вештерките, прослава, тиква, фенер, фенер од тиква
🎄	Божиќ, божиќ, божиќна елка, божиќно дрво, година, дрво, нова, новогодишна елка, прослава, славење
🎆	бум, забава, небо, огномет, прослава
🎇	бум, жижица, огномет, прослава, прскалка, светка
🧨	динамит, експлозив, искра, оган, огномет, петарда, пука, пукање, светло
✨️	*, искра, искри, магија, светка, светки, ѕвезда
🎈	балон, прослава, прославува, роденден
🎉	браво, забава, конфети, прослава, прскалка со конфети, роденден, славење, супер, ура, честито
🎊	забава, конфети, прослава, прославување, топка со конфети, честито
🎋	Танабата, дрво, дрво на желбите, прослава, танабата, фестивал на ѕвездите, јапонска, јапонско дрво на желбите
🎍	бамбус, бор, прослава, растение, украс од бор, јапонска
🎎	Јапонски, кукла, прослава, фестивал, јапонска, јапонски, јапонски кукли
🎏	веење крапови, дрво, коинобори, крап, летало со крапови, прослава, јапонска, јапонски украс со крап, јапонски украс со крапови
🎐	ветер, ветерно ѕвонче, прослава, ѕвонче
🎑	месечина, прослава, прослава на месечината, церемонија, церемонија на гледање месечина, јапонска
🧧	добра среќа, пари, подарок, среќа, црвен плик
🎀	машна, машничка, панделка, подарок, прослава
🎁	божиќ, завиткан, завиткан подарок, изненадување, кутија, машна, панделка, подарок, прослава, роденден
🎗️	панделка, панделка за сеќавање, прослава, сеќавање
🎟️	билет, влез, влезни билети, влезница, влезници, карта, карти
🎫	билет, влез, влезница, карта, карти, карти за концерт, тикет
🎖️	воен, воен медал, медал, награда, прослава
🏆️	награда, победа, победи, спорт, трофеј, шампион, шампиони
🏅	златен, злато, медал, награда, победник, спорт, спортски медал
🥇	златен, злато, медал, медал за прво место, прв, прво, прво место
🥈	втор, второ, второ место, медал, медал за второ место, сребрен, сребро
🥉	бронза, медал, медал за трето место, трет, трето, трето место
⚽️	спорт, топка, фудбал, фудбалска топка
⚾️	бејзбол, спорт, топка, топка за бејзбол
🥎	мека топка, меко топче, пазува, ракавица, софтбол, спорт, спортови, топка, топче
🏀	баскет, кошарка, спорт, топка
🏐	игра, одбојка, топка
🏈	американски, спорт, супер боул, топка, топка за американски фудбал, фудбал
🏉	рагби, спорт, топка, топка за рагби, фудбал
🎾	рекет, спорт, тенис, тениско топче, топка
🥏	алтимејт фризби, диск, летечки диск, ултимејт фризби, фризби
🎳	игра, куглање, спорт, топка
🏏	игра, крикет, палка, топка
🏑	игра, палка, стап, топка, трева, хокеј, хокеј на трева
🏒	игра, мраз, пак, плочка, стап, хокеј, хокеј на мраз
🥍	гол, лакрос, спорт, спортови, стап, топка
🏓	игра, маса, палка, пинг понг, пинг-понг, рекет, тенис на маса, топка
🏸	бадминтон, игра, пердув топче, рекет, топка
🥊	бокс, боксерска ракавица, боксирање, ракавица, спорт, удар
🥋	боречки вештини, карате, таеквондо, униформа, униформа за боречки вештини, џудо
🥅	гол, мрежа, мрежа на гол
⛳️	голф, дупка, знаме во дупка, спорт
⛸️	лед, лизгалка, лизгање, лизгање на мраз, мраз, уметничко лизгање
🎣	забава, риба, рибарски стап, риболов, спорт, стап, трска
🤿	маска, маска за нуркање, нуркачка маска, нуркање, цевка за нуркање
🎽	маица, спортска маица, спортска маица на прерамки, трчање
🎿	скии, снег, спорт
🛷	санка, снег
🥌	игра, камен, камен за карлинг
🎯	во средина, директен погодок, директен удар, забава, игра, пикадо, погодок, стрелка, цел, центар
🪀	играчка, флуктуира, јојо
🪁	вивнување, змеј, летање, летечки змеј
🔫	алат, алатка, вода, воден пиштол, оружје, пиштол, пиштол на вода, рачен пиштол, револвер
🎱	8, билјард, игра, осумка, топка, црна топка за билјард, црната топка
🔮	алатка, бајка, иднина, кристална, кристална топка, претскажување, сказна, топка, фантазија
🪄	вештерка, волшебник, волшебно, волшебно стапче, магичен, магично стапче, магија, стапче, трик
🎮️	видеоигра, гејминг, гејмпад, забава, игра, контролер, плејстејшн, управувач, џојстик
🕹️	видеоигра, игра, рачка, џојстик
🎰	автомат, автомат за игри, игра, игра на среќа, казино, коцка, коцкање, слот, слот машина
🎲	забава, зар, игра, игра со коцки, коцка
🧩	вклопување, делче, загатка, клуч, логичка игра, сложувалка
🧸	играчка, кадифен, мече, мечка, плиш, плишано мече, плишено мече, полнета, полнето
🪅	Синко де Мајо, бонбони, забава, мексиканско, мексичко, пињада, пињата, прослава, слатки
🪩	диско, дискотопка, забава, огледало, светки, танцување, топка
🪆	бабушка, вгнездена, вгнездени кукли, кукла, кукли, матрошка, русија, руска кукла
♠️	игра, карта, карти, лист, лист во карти, пик, пик во карти
♥️	емоција, игра, карти, срце, срце во карти
♦️	дијамант, игра, каро, каро во карти, карти
♣️	детелина, игра, карти, треф, треф во карти
♟️	жртва, измама, шах, шаховски пион
🃏	игра, карти, џокер
🀄️	змеј, игра, мажонг, плочка со црвен змеј, црвено
🎴	игра, карти, карти за играње, цветни карти, цвеќе, јапонска
🎭️	актер, актерка, забава, изведувачка уметност, маска, сцена, сценски уметности, театар, уметност
🖼️	музеј, рамка, рамка со слика, слика, уметност
🎨	забава, музеј, палета, сликар, сликарска палета, сликарство, сликање, уметност, шарено
🧵	игла, конец, макара, шиење
🪡	везење, игла, игла за шиење, конец, кроење, медицински шевови, наденува, шевови, шие, шиење
🧶	волна, плетење, предиво, топка
🪢	виткање, врзување, гајтан, испреплетено, конец, плетка, сплетка, чвор, јаже, јазол
👓️	облека, очи, очила
🕶️	очи, очила, очила за сонце, сонце, темни
🥽	заварување, заштита за очи, заштита на очите, заштитни очила, нуркање, очила, пливање, скијање
🥼	бел мантил, доктор, експеримент, лабораториски мантил, мантил, научник, облека, јакна
🦺	безбедносен елек, безбедност, елек, итен случај, портокалов елек, рефлективен елек
👔	вработен, вратоврска, кошула, облека, сериозен
👕	блуза, кратки ракави, маица, маица со кратки ракави, облека, секојдневна, сина, шопинг
👖	облека, панталони, секојдневна, сино, фармерки, шопинг
🧣	врат, ладно, шал
🧤	дланка, рака, ракавици
🧥	брр, ветровка, ладно, облечи се, палто, стопли се, студи, јакна
