‾	linea in alto, linea sopra, sopralineatura
😁	denti, faccina, faccina che ride, faccina che sogghigna, faccina raggiante con occhi felici, molto felice, occhi felici, risata, sogghignare, sogghigno, sogghigno con occhi felici, sorriso
😆	ahahah, bocca aperta, faccina felice, faccina sorridente, felicissimo, lol, occhi chiusi, ridere, risata, sorridente, sorriso a bocca aperta con occhi chiusi
😅	emozionato, faccina, faccina con un gran sorriso e goccia di sudore, faccina sudata che ride, felice, goccia, nervoso, sollevato, sollievo, sorriso, sorriso con goccia di sudore, sorriso teso, stressato, sudore
🤣	ahah, crepapelle, divertente, esilarante, faccina che ride, faccina che si rotola, felice, felicissimo, lacrime, lacrime dal ridere, lmao, lol, molto felice, occhi chiusi, ridere, ridere a crepapelle, ridicolo, risata, rofl
😂	ahahaha, che ridere, contentissimo, contento, faccina, faccina che piange dal ridere, faccina con lacrime di gioia, felice, felicissimo, felicità, gioia, lacrima, lacrime di gioia, lol, piangere dal ridere, ridere, risata, rofl
🙂	contento, faccina, faccina che sorride, faccina con sorriso accennato, felice, mezzo sorriso, ok, sorrisetto, sorriso, sorriso a bocca chiusa, sorriso accennato, va bene
🙃	ah ah, ah ah ah, ahah, ahahah, arrabbiato, capovolto, faccina, faccina sottosopra, sarcastico, scombussolata, sottosopra, triste
🫠	afa, caldo, dissolversi, faccina che si scioglie, faccina che si squaglia, liquefarsi, liquido, sciogliendo, sciogliersi, sciolto, sparire, squagliando, squagliarsi
😉	capirsi, faccina, faccina che fa l’occhiolino, fare l’occhiolino, flirtare, intesa, occhio, occhiolino, sexy, strizzare l’occhio
😊	arrossire, bocca, faccina, faccina con occhi sorridenti, felice, felicità, imbarazzato, occhi, occhi sorridenti, sorriso, timido
😇	angelo, angioletto, aureola, faccina, faccina con aureola, faccina con sorriso, faccina con sorriso e aureola, faccina sorridente con aureola, innocente, santarellino, santo, sorriso, sorriso con aureola, spirito
🥰	amore, cotta, cuoricini, faccina, faccina con cuoricini, innamoramento, sorriso, ti amo
😍	amore, cuore, faccina, faccina con sorriso e occhi a cuore, innamorato, occhi, occhi a cuore, romantico, sorriso, sorriso con occhi a cuore
🤩	colpo di fulmine, emozionante, emozionato, faccia sorridente, faccina, faccina con le stelle, felice, figata, figo, occhi, occhi a stella, stelle, stelline, wow
😘	amore, bacetti, baci, bacini, bacio, buona notte, cuore, faccina, faccina che dà i baci, faccina che manda baci, faccina che manda un bacio, faccina con baci, faccina con bacio, innamorato, mandare baci, mi manchi, smack, ti amo, ti voglio bene
😗	appuntamento, bacio, bocca, buona notte, faccina che bacia, faccina che manda bacio, flirt, sbaciucchiare
