‾	винкулум, горна черта
◞	кръгла дъга в долен десен квадрант
◟	кръгла дъга в долен ляв квадрант
◠	горна полуокръжност
◡	долна полуокръжност
◢	запълнен триъгълник с прав ъгъл долу вдясно
◣	запълнен триъгълник с прав ъгъл долу вляво
◤	запълнен триъгълник с прав ъгъл горе вляво
◥	запълнен триъгълник с прав ъгъл горе вдясно
◦	празен водещ символ
◯	голям незапълнен кръг, кръг, празен кръг
◳	празен квадрат с горен десен квадрант
◷	празна окръжност с горен десен квадрант
◿	триъгълник с прав ъгъл долу вдясно
♪	музика, нота, осмина, осмина нота
⨧	плюс с две в долен индекс
⨯	векторно произведение
⨼	вътрешно произведение
⩣	логическо или с двойна долна черта
⩽	знак за по-малко с наклонена черта за равно
⪍	знак за по-малко над подобно равно
⪚	математика, неравенство, равно с две черти над знак за по-голямо
⪺	следва над знак за не е почти равно
♭	бемол, музика, нота
♯	диез, музика, нота
😀	Широко усмихнато лице, весел, зъби, лице, смях, ухилване, широка усмивка, широко усмихнато лице, щастлив
😃	Широко усмихнато лице с големи очи, зъби, лице, отворен, отворена уста, страхотно, усмивка, усмихнато лице с отворена уста, уста, широко усмихнато лице с големи очи, щастлив
😄	Широко усмихнато лице с усмихнати очи, лице, отворен, смях, усмивка, уста, широко усмихнато лице с усмихнати очи, щастлив
😁	Сияещо лице с усмихващи се очи, зъби, лице, око, усмивка, ухилване, щастлив
😆	лице, смях, удовлетворен, усмивка, усмихнато лице с отворена уста и затворени очи, уста, хаха, широко усмихнато лице с присвити очи, широко усмихнато лице със стиснати очи, щастлив
😅	Широко усмихнато лице с пот на челото, лице, нервен, отворен, пот, развълнуван, стрес, студена пот, усмивка, широко усмихнато лице с пот на челото
🤣	Заливащо се от смях лице, забава, забавно, заливане, заливащо се от смях лице, лице, радост, смешно, смях, сълзи от смях, умирам от смях, хаха, хехе
😂	Лице със сълзи от радост, весело, забавно, лице, лице със сълзи от радост, радост, смешно, смях, сълза, умирам от смях, хаха, хехе, щастлив
🙂	Леко усмихнато лице, леко усмихнато лице, лице, усмивка
🙃	Обърнато наобратно лице, лице, наобратно, обърнато наобратно лице, усмивка, хехе
🫠	изчезвам, разтварям се, сарказъм, течен, топя се, топящо се лице, хаха
😉	Намигащо лице, лице, намигащо лице, намигване, палав, секси, флирт
😊	Усмихнато лице с усмихнати очи, доволен, изчервяване, лице, око, усмивка, усмихнато лице с усмихнати очи
😇	Усмихнато лице с ореол, ангел, библия, лице, невинен, невинно, ореол, приказка, усмихнато лице с ореол, фантазия, щастлив
🥰	влюбен, лице, любов, обичам те, обожание, романтика, сърце, усмивка, усмихнато лице с 3 сърца, усмихнато лице със сърца
😍	143, Усмихнато лице с очи във форма на сърце, лице, любов, обичам те, око, романтика, сърце, усмивка, усмихнато лице с очи във форма на сърце, целувки
🤩	въодушевен, дълбоко запленен, звезда, лице, лице със звезди вместо очи, очи, развълнуван, широко усмихнат
😘	Лице, Лице, пращащо въздушна целувка, въздушна целувка, липсваш ми, лице, лице с въздушна целувка, обичам те, пращащо въздушна целувка, романтика, сърце, флирт, целувка
😗	143, Целуващо лице, лице, обичам те, смучка, среща, флирт, целуващо лице, целувка
☺️	Усмихнато лице, лице, отпуснат, спокоен, усмивка, усмихнато лице, щастлив
😚	143, Целуващо лице със затворени очи, затворен, изчервен, лице, обичам те, око, флирт, целуващо лице със затворени очи, целувка
😙	Целуващо лице с усмихнати очи, затворени очи, лице, любов, око, усмивка, флирт, целуващо лице с усмихнати очи, целувка
🥲	благодарност, гордост, облекчение, разчувстване, сълза, усмивка, усмихнато лице със сълза
😋	Лице, наслаждаващо се на вкусна храна, вкусен, лице, наслаждавам се, наслаждаващо се на вкусна храна, облизвам се, усмивка, храна
😛	Плезещо се лице, език, лице, лице с изплезен език, отин, парти, плезещо се лице
😜	Намигащо и плезещо се лице, език, забавен, лице, намигащо и плезещо се лице, намигване, парти, шантав, шега, шеговит
🤪	Налудничаво лице, големи, малки, налудничаво лице, око, очи
😝	Лице с изплезен език и стиснати очи, вкус, език, както и да е, лице, лице с изплезен език и стиснати очи, омг, ужасен, ужасно
🤑	Лице с пари в устата, лице, лице с пари в устата, пари, уста
🤗	Прегръщащо лице, лице, прегръдка, прегръщам, прегръщащо лице, ръце
🤭	Лице с ръка пред устата, издаване, изненада, кикотя се, лице с ръка пред устата, опа!, тайна, шок
🫢	безверие, изненада, лице с широко отворени очи и ръка пред устата, неудобство, страхопочитание, удивление, уплаха, шокиран
🫣	вторачвам се, засрамен, изплашен, лице, лице, надничащо зад ръцете си, надничам, надничащо зад ръцете си, скрит, смаян
🤫	Лице, Лице, което прави „шт!“, замълчи, знак за „шт!“, което прави „шт!“, лице за „шт!“, тихо, шт
🤔	Замислено лице, замислен, замислено лице, лице, учуден, хммм, чудя се
🫡	да, козирувам, козируващо лице, ок, поздрав, слънчево, уважение, успех
🤐	Лице с уста с цип, лице, лице с уста с цип, не издавам, тайна, тихо, уста, цип
🤨	Лице с повдигната вежда, изненада, какво, лице с повдигната вежда, недоверие, скептично, хмм
😐️	Неутрално лице, безизразен, лице, не впечатлен, не е смешно, не щастлив, непроницаем, неутрален, неутрално лице, ревнив
😑	Безизразно лице, безизразен, безизразно лице, лице, не впечатлен, не щастлив, омг, ревнив
😶	Лице без уста, без звук, лице, лице без уста, нямам думи, тайна, тих, тихо, тишина, уста
🫥	депресиран, изчезвам, интровертен, крия се, лице с пунктир, невидим
😶‍🌫	лице в мъгла, лице в облаци, мечтател, разсеян
😏	Подсмихващо се лице, вежди, лице, подозрителен, подсмихване, подсмихващо се лице, усмивка, флирт
😒	Недоволно лице, все тая, лице, недоволен, недоволно лице, неудовлетворен, нещастен, отегчен
🙄	Лице с извъртени нагоре очи, въртя очи, извъртам, както и да е, лице, лице с извъртени нагоре очи, очи, сянка
😬	Лице с гримаса, гримаса, зъби, зъболекар, лице, лице с гримаса, неловко, усмивка
😮‍💨	въздъхвам, дим, издишвам, издишващо лице, изтощен, охкам, пъшкам, усмивка, шепна
🤥	лице, лъжа, лъжещо лице, пинокио
🫨	вибрирам, земетресение, изненада, лице, лудост, паника, треперещо, треперещо лице, треперя, шок
🙂‍↔	глава, глава, която прави хоризонтални движения, движение за несъгласие, която прави хоризонтални движения
