‾	винкулум, горна черта
🫜	градина, зеленчук, корен, кореноплоден зеленчук, ряпа, цвекло
🍞	въглехидрати, жито, пшеница, пълнозърнест, ресторант, самун, филия хляб, хляб, храна
🥐	закуска, кроасан, френски, френско, хляб, храна
🥖	багета, багети, френско, хляб, храна
🫓	арепа, лаваш, наан, пита, плосък хляб, храна
🥨	брецел, геврек, преплетено
🥯	геврек, закуска, закуска от тесто, пекарна
🥞	закуска, палачинка, палачинки, храна
🧇	гофрета, закуска, форма за гофрети
🧀	резен сирене, сирене
🍖	кост, месо, месо с кост
🍗	бутче, кост, пиле, пилешко, пилешко бутче, пуешко
🥩	агнешки котлет, котлет, месо, парче месо, свински котлет, стек
🥓	бекон, закуска, месо, храна
🍔	бургер, гладен, сандвич, хамбургер, храна
🍟	картофи, пържени, пържени картофи, храна
🍕	гладен, парче, пеперони, пица, резен, сирене, храна
🌭	кренвирш, наденица, хотдог
🥪	сандвич, хляб
🌮	мексикански, мексиканско, тако
🌯	бурито, мексикански, сандвич
🫔	мексиканска храна, навити питки, тамалес
🥙	гирос, кебап, пълнен, пълнена питка, фалафел, храна
🧆	кюфте, нахут, фалафел
🥚	закуска, храна, яйце
🍳	готвене, закуска, пържене, ресторант, тиган, храна, яйце
🥘	касерол, паеля, пайеля, плитка, плитка тава с храна, тава, тава с храна, храна
🍲	варено, купа, купа с храна, супа, тенджера, тенджера с храна, яхния
🫕	разтопяване, сирене, съд, фондю, храна, швейцарско, шоколад
🥣	азиатска оризова каша, закуска, зърнена закуска, купа с лъжица
🥗	зелена, зелена салата, салата, храна
🍿	кино, пуканки, филм
🧈	масло, млечни продукти
🧂	вкус, подправка, сол, солено, солница
🥫	консерва, консервирана храна
🍱	бенто, кутия, кутия за бенто, храна
🍘	Оризов крекер, крекер, ориз, оризов крекер, храна
🍙	ориз, топка, топка ориз, храна, японски
🍚	ориз, сготвен, сготвен ориз, храна
🍛	къри, къри и ориз, ориз, ориз с къри
🍜	изпускащ пара, изпускаща пара купа, клечки, купа, нудълс, пара, рамен, супа
🍝	кюфтета, паста, ресторант, спагети, храна
🍠	картоф, печен, печен сладък картоф, сладък
🍢	кебап, морска храна, оден, ресторант, храна, шиш
🍣	суши, храна
🍤	пържена, пържена скарида, скарида, темпура, храна
🍥	камабоко, камабоко със спирален орнамент, ресторант, риба, рибен кейк, спирала, храна
🥮	Фестивал на есента, есен, китайски сладкиш, лунен кейк, лунен кекс, фестивал
🍡	данго, десерт, пръчка, сладък, шиш, японски
🥟	гьоза, емпанада, китайски тестени топчета, кнедли, пелмен, тестено топче
🥠	бисквита с късметче, предсказание
🥡	доставка на храна, кутия за стриди, кутия за храна за вкъщи, пръчици за хранене, хартиена кутия за храна
🦀	зодиак, зодиакален знак, зодия, рак
🦞	морска храна, омар, червен рак, щипки
🦐	скарида, храна, черупкови
🦑	животно, калмар, мекотело, храна
🦪	гмуркане, мида, перла, стрида
🍦	десерт, крем, крем сладолед, лед, ресторант, сладолед, сладък, храна
🍧	десерт, лед, леден десерт, ресторант, сладък, храна
🍨	десерт, крем, лед, ресторант, сладолед, сладък
🍩	десерт, закуска, поничка, сладко, сладък, храна
🍪	бисквитка, десерт, курабийка, сладко, сладък
🎂	десерт, празненство, празнуване, рожден ден, сладкиш, торта, торта за рожден ден
🍰	десерт, парче, сладкиш, сладкишче, сладък, торта, шорткейк
🧁	захар, кексче, къпкейк, лакомство, пекарна, сладкарница, сладкиш
🥧	пай, парче пай, плодов, пълнеж, тестени, тестено, ябълков пай
🍫	блокче, десерт, сладко, сладък, хелоуин, шоколад, шоколадово блокче
🍬	бонбон, десерт, ресторант, сладък, хелоуин
🍭	близалка, десерт, ресторант, сладкиш, сладък, уили уонка
🍮	десерт, крем, пудинг, сладък, яйчен крем
🍯	гърне, гърне с мед, мед, мечка, мечо пух, сладък, храна
🍼	Бебешка бутилка, бебе, бебешка бутилка, бутилка, мляко, напитка, новородено, раждане
🥛	мляко, напитка, чаша, чаша мляко
☕️	горещ, горещо, димящ, кафе, кофеин, напитка, сутрин, топла напитка, топъл, чай
🫖	канче, пия, храна, чай, чайник
🍵	напитка, пия, чаена чаша без дръжка, чай, чаша
🍶	бар, бутилка, напитка, ресторант, саке, чаша
🍾	бар, бутилка, бутилка с изхвърчаща тапа, питие, тапа
🍷	алкохол, винена чаша, вино, напитка, питие, ресторант, чаша
🍸️	алкохол, бар, клуб, коктейл, коктейлна чаша, мартини, напитка, питие, чаша
🍹	алкохол, бар, клуб, май тай, напитка, парти, питие, тропическа напитка, тропическо
🍺	алкохол, бар, бира, германия, ейл, октоберфест, питие, халба, халба бира
🍻	алкохол, бар, бира, звънтящи халби за бира, наздраве, удрящи се халби бира, халба
🥂	звън, звънтящи чаши, наздраве, напитка, празнуване, стъкло
🥃	алкохол, ниска, ниска чаша, скоч, уиски, чаша, шот
🫗	вода, изливаща се течност, инцидент, пия, празен, разливам, чаша
🥤	безалкохолно, вода, сода, сок, чаша със сламка
🧋	балончета, мляко, перлен чай, перли, тайван, храна, чай
🧃	кутия за напитки, кутия за сок, напитка, сладък, сламка, сок
🧉	мате, напитка, пия
🧊	айсберг, кубче лед, лед, ледено парче, студено
🥢	пръчици за хранене, хаши
🍽️	вечеря, вилица, готвене, нож, нож и вилица с чиния, чиния
🍴	вечеря, вилица, вкусно, гладен, готвене, закуска, нож, нож и вилица, обяд, прибори, ресторант, хранене
🥄	лъжица, прибори, хранене
🔪	готвене, инструмент, кухненски нож, нож, оръжие
🫙	буркан, контейнер, подправка, празен, сос, съд
🏺	амфора, водолей, готвене, зодиак, зодия Водолей, кана, оръжие, питие, съд
🌍	африка, глобус, глобус с Европа и Африка, европа, земята
🌎️	глобус, глобус със Северна и Южна Америка, земята, северна америка, южна америка
🌏	австралия, азия, глобус, глобус с Азия и Австралия, земята
🌐	глобус, глобус с меридиани, земята, интернет, меридиани, световната мрежа, свят
🗺️	карта, карта на света, свят
🗾	Япония, карта, карта на Япония, япония
🧭	компас, магнит, навигация, ориентиране
🏔️	заскрежен планински връх, планина, покрита със сняг планина, сняг, студ, студен
⛰️	планина
🌋	време, вулкан, изригване, планина, природа
🗻	връх Фуджи, планина, фуджи
🏕️	къмпинг
🏖️	плаж, плаж с чадър, чадър
🏜️	пустиня
🏝️	необитаем, необитаем остров, остров
🏞️	национален парк, парк
🏟️	спорт, стадион
🏛️	класическа, класическа сграда, сграда
🏗️	кран, сграда, строеж
🧱	глина, зидам, стена, тухла, тухли, хоросан
🪨	каменен блок, камък, масивен, скала, тежък
🪵	дънер, дърва, дървен материал, дървесина, пън
🛖	дом, колиба, кръгла къща, къща, подслон, юрта
🏘️	къща, къщи, сграда
🏚️	запусната, запусната къща, къща, сграда, съборетина
🏠️	дом, къща, предградие, провинция, сграда
🏡	градина, дом, къща, къща с градина, предградие, провинция, ранчо, сграда
🏢	офис сграда, офисна сграда, работа, сграда
🏣	поща, сграда, японска поща, японски
🏤	европейски, поща, сграда
🏥	болница, лекар, медицина, сграда
🏦	банка, сграда
🏨	сграда, хотел
🏩	любов, любовен хотел, сграда, хотел
🏪	24, денонощен, магазин, сграда, смесен магазин
🏫	сграда, училище
🏬	магазин, сграда, универсален, универсален магазин
🏭️	сграда, фабрика
🏯	дворец, замък, сграда, японски, японски замък
🏰	дворец, европейски, замък, сграда
💒	романтика, сватба, църква
🗼	Кулата в Токио, кула, токио
🗽	Статуята на свободата, ню йорк, свобода, статуя
⛪️	кръст, религия, сграда, християнство, църква
🕌	джамия, ислям, мюсюлманин, религия
🛕	индуизъм, индуистки храм, храм
🕍	евреин, религия, синагога, храм, юдаизъм
⛩️	религия, храм, шинто, шинтоистки храм
🕋	ислям, кааба, мюсюлманин, религия
⛲️	фонтан, шадраван
⛺️	къмпинг, палатка
🌁	време, мъгла, мъгливо
🌃	време, звезда, звездна нощ, нощ
🏙️	град, градски изглед, сграда, сгради
🌄	изгрев, изгрев над планини, планина, слънце, сутрин, утрин
🌅	време, изгрев, слънце, сутрин, утро
🌆	вечер, град, градски изглед по здрач, залез, здрач, сгради, слънце
🌇	време, залез, здрач, сграда, слънце
🌉	време, мост, мост през нощта, нощ
♨️	горещ, горещ извор, извор, пара
🎠	въртележка, забавление, кон, кон от въртележка
🛝	детска пързалка, игра, парк за забавления, площадка, пързалка
🎡	виенско, виенско колело, колело, лунапарк, увеселителен парк
🎢	влакче, влакче в увеселителен парк, лунапарк, увеселителен парк
💈	бръснар, знак, знак на бръснар, подстригване
🎪	цирк, циркова шатра, шапито, шатра
🚂	влак, железница, локомотив, парен, превозно средство
🚃	вагон, влак, електрически, железница, трамвай, тролейбус
🚄	високоскоростен влак, влак, влак стрела, железница, шинкансен
🚅	високоскоростен влак стрела, влак, влак стрела, железница, пътуване, скорост, шинкансен
🚆	влак, железница, превозно средство, пуф-паф
🚇️	метро, превозно средство, пътуване
🚈	железница, лека железница, превозно средство
🚉	влак, гара, железница, превозно средство
🚊	превозно средство, трамвай, тролейбус
🚝	монорелсова железница, превозно средство
🚞	вагон, железница, планина, планинска железница, превозно средство
🚋	вагон, превозно средство, трамваен вагон, трамвай, тролейбус
🚌	автобус, превозно средство, училище
🚍️	автобус, превозно средство, приближаващ, приближаващ автобус
🚎	превозно средство, трамвай, тролей, тролейбус
🚐	автобус, ван, минибус, превозно средство
🚑️	линейка, превозно средство, спешен случай
🚒	камион, пожарен, пожарен автомобил, превозно средство
🚓	автомобил, патрулка, полицейска кола, полиция, превозно средство
🚔️	автомобил, полиция, превозно средство, приближаващ, приближаваща полицейска кола
🚕	жълто такси, превозно средство, такси
🚖	Приближаващо такси, жълто такси, превозно средство, приближаващ, приближаващо такси, такси
🚗	автомобил, кола, превозно средство, шофиране
🚘️	автомобил, кола, превозно средство, приближаващ, приближаващ автомобил
🚙	автомобил, автомобил с повишена проходимост, кола, почивка, превозно средство, превозно средство за почивка
🛻	автомобил, камион, кола, пикап, товарене, транспорт
🚚	доставки, камион, камион за доставки, превозно средство
🚛	камион, камион с полуремарке, полуремарке, превозно средство, тир, шофиране
🚜	превозно средство, трактор
🏎️	автомобил, състезание, състезателен автомобил
🏍️	мотоциклет, състезание
🛵	мотор, моторен скутер, скутер
🦽	достъпна среда, достъпност, рингова инвалидна количка, ръчна инвалидна количка
🦼	акумулаторна инвалидна количка, достъпна среда, достъпност
🛺	авторикша, рикша, тук тук, тук-тук
🚲️	велосипед, велосипедист, колело, превозно средство, спининг
🛴	тротинетка
🛹	дъска, колела, скейт, скейтборд, скейтър
🛼	кънка, кънки, пързаляне, ролер, ролери, ролкови кънки, спорт
🚏	автобус, автобусна, автобусна спирка, спирка
🛣️	магистрала, път
🛤️	влак, железница, железопътна линия
🛢️	варел, варел за нефт, нефт
⛽️	бензин, бензиностанция, газ, гориво, колонка, колонка за гориво
🛞	автомобил, въртене, гума, кола, колело, кръг, превозно средство
🚨	автомобил, лампа, полицейска лампа, полиция, превозно средство, сирена, спешен случай
🚥	светофар, трафик, хоризонтален светофар
🚦	вертикален светофар, кръстовище, светофар, сигнализация, трафик
🛑	знак, знак стоп, осмоъгълен, стоп
🚧	преграда, строеж, строителни дейности, строителни работи
⚓️	инструмент, кораб, котва
🛟	безопасност, плаване, плуване, спасителен пояс, спасяване, спасяване на живот
⛵️	кораб, курорт, море, превозно средство, яхта
🛶	кану, лодка
🚤	езеро, кораб, лукс, лято, милиардер, милионер, моторна лодка, превозно средство, пътуване
🛳️	кораб, превозно средство, пътнически, пътнически кораб
⛴️	кораб, пътнически, ферибот
🛥️	кораб, моторна яхта, превозно средство
🚢	кораб, лодка, превозно средство, пътник, пътнически, пътуване, титаник
✈️	летя, превозно средство, пътуване, самолет
🛩️	малък самолет, превозно средство, самолет
🛫	заминаване, излитане, излитащ самолет, превозно средство, самолет, чекиране
🛬	кацане, кацащ самолет, превозно средство, пристигане, самолет
🪂	делтапланеризъм, парасейлинг, парашут, парашутизъм, скок с парашут
💺	място, седалка
🚁	превозно средство, пътуване, хеликоптер
🚟	железница, окачена, окачена железница, превозно средство
🚠	въже, гондола, лифт, планина, превозно средство
🚡	въже, въжена линия, кабинка, лифт, превозно средство
🛰️	космос, сателит, спътник
🚀	космос, превозно средство, пътуване, ракета
🛸	НЛО, извънземни, летяща чиния
🛎️	звънец, звънец за рецепция, рецепция, хотел
🧳	багаж, куфар, куфари, пътуване, чанта с колелца
⌛️	пясък, пясъчен часовник, таймер, часовник
⏳️	пясък, пясъчен часовник с падащ пясък, часовник
⌚️	ръчен часовник, час, часовник
⏰️	аларма, будилник, време, час, часовник
⏱️	хронометър, час, часовник
⏲️	таймер, часовник
🕰️	време, час, часовник, часовник за камина
🕛️	00, 12, 12:00, време, дванадесет, дванадесет часът, полунощ, час
🕧	00, 00:30, 12, 12:30, 24, 24:00, 30, дванадесет, дванадесет часът и половина, половина
🕐️	00, 01:00, 1, 13, 13:00, 1:00, един, един часът
🕜	1, 13, 13:30, 1:30, 30, един и половина, един и половина часът, половина, тридесет, час
🕑️	00, 02:00, 14, 14:00, 2, 2:00, два, два часът
🕝	02:30, 14, 14:30, 2, 2:30, два и половина часът, половина, тридесет
🕒️	00, 03:00, 15, 15:00, 3, 3:00, три, три часът
🕞	03:30, 15, 15:30, 3, 3:30, половина, три и половина часът, тридесет
🕓️	00, 04:00, 16, 16:00, 4, 4:00, четири, четири часът
🕟	16, 16:30, 4, 4:30, половина, тридесет, четири и половина часът
🕔️	00, 05:00, 17, 17:00, 5, 5:00, пет, пет часът
🕠	05:30, 17, 17:30, 5, 5:30, пет и половина часът, половина, тридесет
🕕️	00, 06:00, 18, 18:00, 6, 6:00, шест, шест часът
🕡	06:30, 18, 18:30, 6, 6:30, половина, тридесет, шест, шест и половина часът
🕖️	00, 07:00, 19, 19:00, 7, 7:00, седем, седем часът
🕢	07:30, 19, 19:30, 7, 7:30, половина, седем и половина часът, тридесет
🕗️	00, 08:00, 20, 20:00, 8, 8:00, осем, осем часът
🕣	08:30, 20, 20:30, 8, 8:30, осем и половина часът, половина, тридесет
🕘️	00, 09:00, 21, 21:00, 9, 9:00, девет, девет часът
🕤	09:30, 21, 21:30, 9, 9:30, девет и половина часът, половина, тридесет
🕙️	00, 10, 10:00, 22, 22:00, десет, десет часът
🕥	10, 10:30, 22, 22:30, десет и половина часът, половина, тридесет
🕚️	00, 11, 11:00, 23, 23:00, единадесет, единадесет часът
🕦	11, 11:30, 23, 23:30, единадесет и половина часът, половина, тридесет
🌑	време, космос, луна, новолуние, тъмен
🌒	космос, луна, нарастващ, нарастващ полумесец на Луната, полумесец
🌓	Луната в първа четвърт, време, космос, луна, четвърт
🌔	космос, луна, нарастваща, нарастваща полупълна Луна, полупълна
🌕️	време, космос, луна, пълна, пълнолуние
🌖	космос, луна, намаляваща, намаляваща полупълна Луна, полупълна
🌗	време, космос, луна, последна четвърт на Луната, четвърт
🌘	космос, луна, намаляващ, намаляващ полумесец на Луната, полумесец
🌙	време, космос, луна, полумесец, рамадан
🌚	Луната в новолуние с лице, време, космос, лице, луна
🌛	Луната в първа четвърт с лице, космос, лице, луна, луната в първа четвърт с лице, четвърт
🌜️	Луната в последна четвърт с лице, лице, луна, четвърт
🌡️	време, термометър
☀️	време, лъчи, слънце, слънчев, ярък
🌝	Луната в пълнолуние с лице, космос, лице, луна, пълна, ярък
🌞	Слънце с лице, време, ден, лице, плаж, слънце, слънце с лице, ярко, ярък
🪐	Сатурн, планета с пръстен, под влиянието на Сатурн, под знака на Сатурн
⭐️	астрономия, жълта звезда, звезда
🌟	блестящ, блестяща звезда, блясък, звезда, искрящ, нощ
🌠	звезда, космос, небе, нощ, падаща, падаща звезда
🌌	Млечният път, време, космос
☁️	време, облак
⛅️	време, облак, слънце, слънце зад облак
⛈️	време, гръм, гръмотевица, дъжд, облак, облак с дъжд и светкавица
🌤️	време, облак, слънце, слънце зад малък облак
🌥️	време, облак, слънце, слънце зад голям облак
🌦️	време, дъжд, облак, слънце, слънце зад облак с дъжд
🌧️	време, дъжд, облак, облак с дъжд
🌨️	време, облак, облак със сняг, сняг, студен
🌩️	време, облак, облак със светкавица, светкавица
🌪️	вихрушка, време, облак, торнадо
🌫️	време, мъгла, облак
🌬️	време, вятър, издухвам, издухващо вятър, лице, лице с издухване на вятър, лице, издухващо вятър, облак
🌀	вихър, време, спирала, тайфун, ураган, циклон
🌈	време, гей, дъга, дъжд, лгбт, лгбти, лгбтк, лесбийка, прайд, транссексуален
🌂	време, дъжд, затворен чадър, облекло, чадър
☂️	време, дъжд, облекло, чадър
☔️	Чадър с дъждовни капки, време, дъжд, капка, чадър, чадър с дъждовни капки
⛱️	време, дъжд, плаж, плажен чадър, слънце, чадър, чадър на земята
⚡️	високо напрежение, гръмотевица, електричество, опасност, природа, светкавица, токов удар
❄️	време, снежинка, сняг, студен
☃️	време, снежен човек, сняг, студен
⛄️	време, снежен човек, снежен човек без сняг, сняг, студен
☄️	комета, космос
🔥	горещо, запален, огън, пламък
💧	вода, време, капка, пот, студен, сълза
🌊	вода, време, вълна, море, океан, сърфист
🎃	празнуване, тиква, тиквен фенер, хелоуин
🎄	Коледа, дърво, елха, коледа, коледна елха, празнуване
🎆	забавление, заря, празненство, празнуване, фойерверки
🎇	блестящи, празнуване, фойерверк
🧨	динамит, експлозив, искра, огън, пиратка, светлина, фойерверки
✨️	звезда, звездичка, звездички, магия
🎈	балон, празнуване, рожден ден, честване
🎉	конфети, купон, празненство, празнуване, развълнуван, рожден ден, ура
🎊	конфети, парти, празненство, празнуване, топка, топка с конфети
🎋	дърво, дърво за танабата, знаме, празнуване, японски
🎍	бамбук, бор, празнуване, растение, украса кадомацу, японски
🎎	кукла, празник, празнуване, фестивал, японски, японски кукли
🎏	знаме, коинобори, празнуване, шаран
🎐	вятър, вятърни камбанки, звънец, камбанки, празнуване
🎑	луна, празнуване, церемония, церемония цукими
🧧	китайски плик, късмет, пари, подарък, червен плик
🎀	панделка, празнуване
🎁	изненада, кутия, опакован, опакован подарък, подарък, празнуване, рожден ден
🎗️	лента, лента за напомняне, напомняне, празнуване, честване
🎟️	Билети за вход, билет, билети за вход, вход
🎫	билет, вход
🎖️	военен, военен медал, медал, награда, празнуване, честване
🏆️	награда, победа, победител, спорт, спортна купа, трофей, шампион
🏅	злато, медал, награда, победител, спортен медал
🥇	злато, медал, медал за първо място, първи, първо
🥈	2, второ, медал, медал за второ място, сребро
🥉	3, бронз, медал, медал за трето място, трети, трето
⚽️	меси, неймар, рашфорд, роналдо, спорт, топка, футбол, футболна топка
⚾️	бейзболна топка, спорт, топка
🥎	ръкавица, софтбол, спорт, спорт с топка, топка
🏀	баскетбол, баскетболна топка, спорт, топка
🏐	волейбол, игра, топка
🏈	американски футбол, спорт, супер купа, топка, топка за американски футбол
🏉	ръгби, спорт, топка, топка за ръгби
🎾	ракета, спорт, тенис, топка
🥏	летящ диск, фризби
🎳	боулинг, игра, кегла, спорт, топка
🏏	бухалка, игра, крикет, топка
🏑	игра, игрище, спорт, стик, хокей, хокей на трева, шайба
🏒	игра, лед, стик, стик и шайба за хокей на лед, хокей, шайба
🥍	гол, лакрос, спорт, стик, топка
🏓	Тенис на маса, игра, пинг-понг, тенис на маса, топка, хилка
🏸	бадминтон, игра, перце, ракета
🥊	бокс, боксова ръкавица, ръкавица, спорт
🥋	бойни изкуства, джудо, дреха за бойни изкуства, карате, таекуондо, униформа
🥅	гол, мрежа, мрежа за голове, спорт
⛳️	Флагче в дупка, голф, дупка, спорт, флагче в дупка
⛸️	кънка, кънка за лед, кънки на лед, лед
🎣	въдица, риба, риболов, спорт
🤿	гмуркане, маска за гмуркане, скуба дайвинг, шнорхел, шнорхелинг
🎽	лента, потник, спорт, спортно горнище, тичане, фланелка
🎿	ски, сняг, спорт
🛷	карам шейна, сняг, чук и гек, шейна
🥌	игра, камък, камък за кърлинг
🎯	в десетката, дарт, игра, попадение, стрела, стреличка, точен удар, цел, център на мишената
🪀	въртене, играчка, йо-йо, навиване
🪁	летене, полет, реене, хвърчило
🔫	вода, воден пистолет, оръжие, пистолет, револвер
🎱	8, билярд, игра, осмица, топка
🔮	Кристално кълбо, бъдеще, гадателски инструмент, кристално кълбо, кълбо, предсказание, приказка, съдба
🪄	вещица, вълшебна пръчица, магическа пръчка, магия, магьосник, магьосница
🎮️	видеоигра, забавление, игра, контролер
🕹️	видеоигра, джойстик, игра
🎰	игра, казино, ротативка, хазарт
🎲	зар, зар за игра, зарове, зарче, игра
🧩	парче, пъзел, редя пъзел, следа, част от пъзел
🧸	играчка, мече, плюшена играчка, плюшено мече
🪅	мексико, парти, пети май, пинята, празнуване
🪩	блясък, диско, диско топка, огледално, парти, танцувам, топка
🪆	Русия, една в друга, кукла, матрьошки
♠️	игра, карта, пика
♥️	емоция, игра, карта, купа, сърце
♦️	игра, каро, карта
♣️	игра, карта, спатия
♟️	маловажна фигура, незначителен човек, пешка, фигура за шах, шах
🃏	жокер, игра, карта
🀄️	игра, маджонг, червен, „червен дракон“ в маджонг
🎴	игра, карта, карти за игра ханафуда, цвете, японски
🎭️	актриса, актьор, изкуство, маска, сцена, сценични изкуства, театър, шекспир
🖼️	изкуство, картина, картина в рамка, музей, рамка
🎨	изкуство, картина, музей, палитра, палитра на художник
🧵	игла, конец, макара, нишка, шиене
🪡	бодове, бродиране, игла, шевове, шивач, шивашка игла, шиене
🧶	кълбо, плетене, плетиво, прежда
🪢	връв, въже, възел, завързан, усукване
👓️	облекло, око, очила
🕶️	око, очила, тъмен, тъмни очила
🥽	гмуркане, заваряване, защита на очите, очила, плуване, предпазни очила
🥼	бяла престилка, доктор, дрехи, експеримент, лабораторна престилка, лекар, учен
🦺	безопасност, жилетка, светлоотразителна жилетка, спешен случай
👔	вратовръзка, облекло, работа, риза, сериозен
👕	блуза, дрехи, облекло, синьо, тениска, уикенд, фланелка, яка
👖	дънки, небрежно, облекло, пазаруване, панталони, уикенд
🧣	врат, студ, шал
🧤	ръка, ръкавици
🧥	палто, студ, яке
🧦	три-четвърти чорапи, чорапи
👗	дрехи, облекло, пазаруване, рокля
👘	кимоно, облекло
🥻	дреха, рокля, сари
🩱	бански, бански костюм, костюм за къпане, цял бански
🩲	бански, бански костюм, бельо, долно бельо, слипове
🩳	бански костюм, бельо, долно бельо, къси панталони, плувни шорти
👙	бански костюм, бикини, облекло, плаж, плуване
👚	блуза, дамски дрехи, дамско облекло, жена, облекло, яка
🪭	веене, ветрило, горещо, разхлаждане, ръчно сгъваемо ветрило, срамежлив, танц, флирт, японско ветрило
👛	аксесоар, дрехи, монета, монети, портмоне, рокля
👜	дамска чанта, дрехи, облекло, пазаруване, чанта
👝	дамска чанта, клъч, облекло, чанта, чантичка
🛍️	пазарски чанти, пазаруване, хотел, чанта
🎒	образование, раница, ученическа раница, ученическа чанта, училище, чанта
🩴	джапанка, джапанки, обувка, плаж, плажни сандали, сандали, чехли
👞	кафява, крак, мъж, мъжка обувка, облекло, обувка, пазаруване
👟	гуменка, маратонка, облекло, обувка, обувка за тичане, спортна, спортна обувка, тенис
🥾	ботуш, кафява обувка, къмпинг, походи, походи с раница, туристическа обувка
🥿	балеринки, ниска обувка, обувка без ток, пантофка, удобно
👠	жена, облекло, обувка, обувка с висок ток, пазаруване, ток, токче, червена обувка
👡	дамска отворена обувка, жена, облекло, обувка, отворена, сандал
🩰	балет, балетни обувки, танц
👢	ботуш, дамски ботуш, жена, облекло, обувка
🪮	афроприческа, гребен, декоративен гребен, декорация, коса, прическа, фризьор
👑	игра на тронове, корона, крал, кралица, кралска особа, облекло, царско семейство
👒	градинско парти, дамска шапка, жена, облекло, шапка
🎩	дрехи, линкълн, магически трикове, облекло, цилиндър, шапка
🎓️	дипломиране, облекло, образование, празнуване, шапка, шапка за дипломиране
🧢	бейзболна шапка, шапка, шапка с козирка
🪖	армия, военна, военна каска, воин, войник, войска, каска
⛑️	каска, каска с бял кръст, кръст, помощ, шапка
📿	броеница, молитва, облекло, религия
💄	грим, козметика, среща, червило
💍	блестящ, годеж, диамант, пръстен, романтика, сватба, сгоден
💎	бижу, годеж, диамант, пари, романтика, сватба, скъпоценен камък
🔇	високоговорител, заглушен, изключен, изключен високоговорител, сила на звука, тих
🔈️	високоговорител, високоговорител със слаб звук, звук, ниска сила на звука
🔉	високоговорител, високоговорител със средносилен звук, включен високоговорител, сила на звука, средносилен
🔊	високоговорител, високоговорител със силен звук, звук, музика, сила на звука, силен, силно пуснат високоговорител
📢	Високоговорител за обществени места, високоговорител за обществени места, комуникация, обществен, силен
📣	мегафон, подкрепа
📯	поща, пощенски, пощенски рог, рог
🔔	звук, звънец, камбана, църква
🔕	без звук, забрана, забранено, зачертан звънец, звънец, не, тих
🎼	запис, музика, нота, нотен запис
🎵	звук, музика, музикална нота, нота
🎶	звук, музика, нота, ноти
🎙️	микрофон, музика, студиен микрофон, студио
🎚️	музика, ниво, плъзгач, плъзгач за нивото
🎛️	копчета за управление, музика, ръкохватки, управление
🎤	звук, караоке, микрофон, музика, пеене
🎧️	звук, слушалка, слушалки
📻️	видео, забавление, радио
🎷	инструмент, музика, сакс, саксофон
🪗	акордеон, баян, инструмент, концертина, музика
🎸	инструмент, китара, музика
🎹	инструмент, клавиатура, клавиатура на музикален инструмент, музика, пиано
🎺	инструмент, музика, тромпет
🎻	инструмент, музика, цигулка
🪕	банджо, музика, струни
🥁	барабан, музика, палки
🪘	барабан, висок барабан, инструмент, конга, ритъм
🪇	инструмент, маракаси, музика, перкусии, раздрусване, танци, тракане
🪈	бенд, духов инструмент, инструмент, кавал, музика, оркестър, рекордер, флейта
🪉	арфа, инструмент, купидон, любов, музика, оркестър
📱	клетъчен, комуникация, мобилен, мобилен телефон, телефон
📲	входящо, клетъчен, комуникация, мобилен, мобилен телефон със стрелка, получавам, стрелка, телефон
☎️	телефон
📞	комуникация, слушалка, телефон, телефонна слушалка
📟️	комуникация, пейджър
📠	комуникация, факс
🔋	батерия
🪫	батерия, електроника, изтощена батерия, слабо захранване
🔌	електрически, електрически щепсел, електричество, щепсел
💻️	компютър, лаптоп, офис, персонален
🖥️	компютър, монитор, настолен, настолен компютър
🖨️	компютър, принтер
⌨️	клавиатура, компютър
🖱️	бутон, компютър, компютърна мишка, мишка
🖲️	компютър, трекбол
💽	диск, компютър, компютърен диск, минидиск, оптичен
💾	диск, дискета, компютър, флопи
💿️	CD, [blu-ray], [cd], [dvd], диск, компютър, оптичен, оптичен диск
📀	[DVD], [blu-ray], blu-ray, cd, dvd, диск, компютър, оптичен, оптично устройство
🧮	калкулатор, сметало, смятане
🎥	записване, камера, кино, филм, филмова, филмова камера, холивуд
🎞️	Филмови кадри, кадри, кино, лента, филм, филмови кадри
📽️	видео, кино, кинопроектор, проектор, филм
