‾	Oberstrich, Überstrich
🧑🏿‍🔧	Add a translation Elektriker(in), Klempner(in), Mechaniker(in), Sanitär(in), dunkle Hautfarbe
👨‍🏭	Arbeiter, Fabrik, Fabrikarbeiter, Montage, industriell
👨🏻‍🏭	Arbeiter, Fabrik, Fabrikarbeiter, Montage, helle Hautfarbe, industriell
👨🏼‍🏭	Arbeiter, Fabrik, Fabrikarbeiter, Montage, industriell, mittelhelle Hautfarbe
👨🏽‍🏭	Arbeiter, Fabrik, Fabrikarbeiter, Montage, industriell, mittlere Hautfarbe
👨🏾‍🏭	Arbeiter, Fabrik, Fabrikarbeiter, Montage, industriell, mitteldunkle Hautfarbe
👨🏿‍🏭	Arbeiter, Fabrik, Fabrikarbeiter, Montage, dunkle Hautfarbe, industriell
👩‍🏭	Arbeiter, Fabrik, Fabrikarbeiterin, Montage, industriell
👩🏻‍🏭	Arbeiter, Fabrik, Fabrikarbeiterin, Montage, helle Hautfarbe, industriell
👩🏼‍🏭	Arbeiter, Fabrik, Fabrikarbeiterin, Montage, industriell, mittelhelle Hautfarbe
👩🏽‍🏭	Arbeiter, Fabrik, Fabrikarbeiterin, Montage, industriell, mittlere Hautfarbe
