⇖	ንሰሜናዊ ምዕራብ ዝሕብር ድርብ ፍላጻ
⇗	ንሰሜናዊ ምብራቕ ዝሕብር ድርብ ፍላጻ
⇘	ንደቡባዊ ምብራቕ ዝሕብር ድርብ ፍላጻ
⇙	ንደቡባዊ ምዕራብ ዝሕብር ድርብ ፍላጻ
⇚	ንጸጋም ዝሕብር በዓል ሰለስተ ፍላጻ
⇛	ንየማን ዝሕብር በዓል ሰለስተ ፍላጻ
⇜	ንጸጋም ዝሕብር ተዓጻጻፊ ፍላጻ, ንጸጋም ዝሕብር ጠምዝማዛ ፍላጻ
⇝	ንየማን ዝሕብር ተዓጻጻፊ ፍላጻ, ንየማን ዝሕብር ጠምዝማዛ ፍላጻ
⇞	ንላዕሊ ዝሕብር ፍላጻ ድርብ ሕንጻጽ
⇟	ንታሕቲ ዝሕብር ፍላጻ ድርብ ሕንጻጽ
⇠	ንጸጋም ዝሕብር ቁርጽራጽ ፍላጻ
⇡	ንላዕሊ ዝሕብር ቁርጽራጽ ፍላጻ
⇢	ንየማን ዝሕብር ቁርጽራጽ ፍላጻ
⇣	ንታሕቲ ዝሕብር ቁርጽራጽ ፍላጻ
⇤	ንጸጋም ዝሕብር ፍላጻ ደረት
⇥	ንየማን ዝሕብር ፍላጻ ደረት
⇦	ንጸጋም ዝሕብር ክፍቲ ፍላጻ
⇧	ንላዕሊ ዝሕብር ክፍቲ ፍላጻ
⇨	ንየማን ዝሕብር ክፍቲ ፍላጻ
⇩	ንታሕቲ ዝሕብር ክፍቲ ፍላጻ
⇪	ንላዕሊ ዝሕብር ክፍቲ ፍላጻ ካብ ደረት
⇵	ንታሕቲ ዝሕብር ፍላጻ ንላዕሊ ዝሕብር ፍላጻ
∀	ንኹሎም, ኩሎም, ዓለምለኻዊ, ዝተውሃበ, ዝኾነ
∂	ምፍልላይ, ብኸፊል ምፍልላይ
∃	ኣብኡ ኣሎ
∅	ሕሳብ, መስርዕ ኦፐሬተር, ባዶ መስርዕ, ባዶ ምድላው
∆	ስሉስ ኩርናዕ, ወሰኽ
