‾	overstrek
◯	hul sirkel, ring, runding, sirkel, stor hul sirkel
◳	hult kvadrat øvre høyre kvadrant
◷	hul sirkel øvre høyre kvadrant
◿	hul trekant med rett vinkel nede til høyre
♪	musikk, note, åttendelsnote
⨧	plusstegn med senket totall
⨯	kryssprodukt av vektorer
⨼	indreprodukt
⩣	logisk eller dobbelt understreket
⩽	mindre enn eller lik med likhetstegn på skrå
⪍	mindre enn eller lik over asymptotisk lik
⪚	likhetstegn over større enn, matte, ulikhet
⪺	kommer etter over ikke tilnærmet lik
♭	b, halvnote ned, musikk, note-b
♯	halvnote opp, kryss, musikk, note-kryss
😀	fint, fjes, flir, glad, glis, glisefjes, latter, smilefjes, smiler, tenner
😃	fjes, glisende fjes med vidåpne øyne, latter, munn, smil, smilefjes, smilefjes med åpen munn, åpen
😄	fjes, flir, glis, glisende fjes med smilende øyne, latter, lol, med tenner, morsomt, smil, smilefjes, smilefjes med åpen munn og smilende øyne, øye
😁	fjes, glis, glisefjes med smilende øyne, latter, lol, smil, smilefjes
😆	artig, fjes, flir, fornøyd, glad, gøy, haha, latter, le, ler, lol, lykkelig, morsomt, smil, smil med sammenknepne øyne, smiler, åpen munn
😅	glisende fjes som svetter, kaldsvette, munn, smil med svette, svett smil med åpen munn, åpen
🤣	artig, fjes, flire, flirer, gulv, gøy, gøyalt, haha, hoho, hæhæ, latter, le, ler, ler så jeg griner, lol, lykkelig, morsomt, roflmao, ruller, ruller rundt på gulvet i latter
😂	fjes, fjes med gledestårer, flir, flire, glede, gledestårer, glis, glise, gøy, haha, hoho, hæhæ, latter, le, ler, ler så jeg griner, lol, morsomt, roflmao, tårer
🙂	fjes, smil, smiler litt
🙃	fjes, fjes som er opp-ned, opp-ned
🫠	fjes som smelter, flau, forsvinner, går i oppløsning, haha, lol, sarkasme, sarkastisk, smelte, smelter
😉	blunk, blunkende ansikt, fjes
😊	fjes, rødme, smil, smil med smilende øyne, smilende øyne
😇	engel, fjes, glorie, smil, smil med glorie, uskyldig
🥰	elsker, forelsket, kjærlighet, romantikk, smilefjes med hjerter
😍	fjes, hjerte, hjerteøyne, kjærlighet, smilefjes med hjerteøyne, øyne
🤩	fjes, gliser, smil, stjerner, stjerner i øynene
😘	elsker deg, fjes, glad i deg, hjerte, kyss, slengkyss
😗	elsker deg, fjes, glad i deg, kyss, kyssefjes, slengkyss
☺️	fjes, omriss, smil, smilefjes
😚	elsker deg, fjes, glad i deg, kyss, kyss med lukkede øyne, lukkede øyne, trutmunn
😙	fjes, kyss, kyss med smilende øyne, slengkyss, smil, smilende øyne
🥲	gledestårer, lettet, rørt, smilefjes med tåre, smiler, stolt, takknemlig, tåre
😋	deilig mat, fjes, mmm, nam, nam-nam, sulten
😛	fjes, fjes som rekker tunge, rekker tunge, tungen ut
😜	blunk, blunker og rekker tunge, erte, fjes, rekke tunge med blunk, spøk
🤪	fjes, gal, lite øye, sinnssyk, stort øye
😝	fjes, fælt, lukkende øyne, rekke tunge, tungen ut med øynene lukket, æsj
🤑	fjes, munn, pengegal, penger
🤗	fjes, fjes som gir klem, klem
🤭	flire, hand over munnen, handa over munnen, hånd over munnen, hånden over munnen, oi, oops, ops, ups
🫢	OMG, fjes med åpne øyne og hånd over munnen, flau, forskrekkelse, gispe, overraskelse, redd, sjokk, sjokkert, stille
🫣	engstelig, fjes som titter frem bak hendene, flau, gjemme seg, gjemmer seg, kikke, kikker, klarer ikke dy seg, må se, redd, sjenert, stirre, titte
🤫	hysj, stillhet, vær stille
🤔	fjes, tankefull, tenkefjes, tenker
🫡	fjes som viser honnør, honnør, ja, lykke til, militærhilsen, respekt, salutt, skal bli, yes ma’am, yes sir
🤐	fjes, fjes med glidelåsmunn, glidelås, munn
🤨	hevet øyebryn, hevet øyenbryn, hm, hva, overrasket, skeptisk, tvil, uenig
😐️	fjes, ingen kommentar, nøytral, stum
😑	fjes, ingen kommentar, nøytral, stum, uttrykksløs
😶	fjes, ingen munn, uten munn
