‾	apọju
😆	ojú, ojú tó ń rẹ́rìń músẹ́ pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn tútù, rẹ́rìń músẹ́, ìtẹ́larùn, ẹnu, ẹ̀rín
😅	ojú, ojú tó ń rẹ́rìń pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn, rẹ́rìń músẹ́, òtútù, òógùn, ṣí
🤣	Yíyí ní ilẹ̀nlẹ̀ tún rẹ́rìn, ilẹ̀, ojú, rẹ́rìń, yíyí
😂	Ojú pẹ̀lú ẹkún ayọ̀, ojú, àyọ̀, ẹkún, ẹ̀rín
🙂	Oju Ti O N Rẹrin Muṣẹn, ojú, rẹ́rín músẹ́
🙃	Oju Ti O Rọ walẹ, dojú kodò, ojú
🫠	Oju Ti O tẹ̀, olómi, parẹ́, tẹ, wó
😉	Ojú tó ṣẹ́jù, ojú, ṣẹ́jú
😊	Ojú tó rẹ́rìn Músẹ́ Pẹ̀lú Ẹyinjú tó rẹ́rìn Músẹ́, ojú, rẹ́rìń músẹ́, rẹ́rìń ìtìjù, ẹyinjú
😇	Oju Ẹrin Ati Bawo, aláìṣẹ̀, báwo, ojú, rẹ́rìn músẹ́, àla fú ọmọdé, àlá, àńgẹ́lì
🥰	kẹ́, ní ìfẹ́, oju tí ó ń rẹ́rìn pẹ̀lú ọkàn, ojú erin pelu okan, ẹyinjú, ọkàn
😍	Oju Ti O N Rẹrin Pẹlu awọn oju Ọkan, ojú, rẹ́rìn músẹ́, ìfẹ́, ẹyinjú
🤩	Pípa pè̩lú ìràwọ̀, Rẹ́rìn-ín ìyàlé̩nu, ojú, ìràwọ̀, ẹyinjú
😘	Oju Ti O N Fẹ Ifẹnuko, ojú, ìfẹnukonu
😗	Ojú tó Fẹnuko ẹnu, ojú, ìfẹnukonu
☺️	ojú, ojú tó ń rẹ́rìń músẹ́, rẹ́rìń músẹ́, ìgbafẹ́, ìlànà
😚	Oju Ti O N Fẹnuko Pẹlu Awọn Oju didi, ojú, ti padé, ìfẹnukonu, ẹyinjú
😙	Ojú tó Fẹnuko ẹnu Pẹ̀lú Ẹyinjú tọ rẹ́rìn Músẹ́, ojú, rẹ́rìń músẹ́, ìfẹnukonu, ẹyinjú
🥲	ekún, fọwọ́kàn, gbéraga, more, ojú ẹ̀rín pẹ̀lú ẹkún, rẹ́rìń músẹ́, rẹ́rìń músẹ́ pẹ̀lú ẹkún, simi
😋	Oju Ti O N jẹ Ounjẹ Aladidun, aládídùn, jíjẹ aládídùn, ojú, rẹ́rìń músẹ́, um, yum
😛	Oju Ti Ahọn Ti O Yọ Sita, ahọ́n, ojú
😜	ahọ́n, ojú, ojú pẹ̀lú ahọ́n lílà sílẹ̀ àti ẹyinjú tí ń ṣẹ́jú, yẹ̀yẹ́, ṣẹ́jú, ẹyinjú
🤪	Nlá, Ojú aṣiwèrè, kékeré, ojú
😝	ahọ́n, burújù, ojú, ojú pẹ̀lú ahọ́n lílà sílẹ̀ àti ẹyinjú tó padé, ìtọ́wò, ẹyinjú
🤑	Oju Ẹnu owo, ojú, owó, ẹnu
🤗	fanimọ́ra, oju Ti O fanimọra, ojú
🤭	Ikó̩, Ojú tá fọwọ́ bo ẹnu
🫢	bẹ̀rù, ojú sisi lẹ̀ àti owo lori enu, ojú sísí lẹ̀ àti owo lori enu, solẹ́nu, àìgbàgbọ́, ìyalẹ́nu, òjiji, ẹ̀rú
🫣	gbé, ojú pẹ̀lú títọpinpin, wò, yọ́ wò
🤫	Ojú tó sùpò̩, dákẹ́, panu mọ́
🤔	Ojú tó Ronú, ojú, ńronú
🫡	bẹ́ẹ̀nì, bọ̀wọ̀, ojú bíbọ̀wọ́, ojú tó ń bọ̀wọ̀, Ó dáa, àwọn ológun, òrùn ríràn
🤐	Oju Ẹni Ti A Tipa, ojú, tìpa, ẹnu
🤨	Oníyèméjì, Ìrun ojú ta gbé sókè, àìgbàgbọ́
😐️	Ojú Ìbíìbí, ojú, àárín, àìpani lẹ́rìń
😑	Oju Ti Ko Fanimọra, ojú, àìfanimọ́ra, àìlè sọ̀rọ̀, àìlèsọ̀rọ̀
😶	Ojú tí kò ní Ẹnu, dáké, ojú, ẹnu
🫥	aikinsoro, airi, banuje, ojú ìlà tótótó, poora, sapamo
😶‍🌫	ojú ní kùrukùru, ojú nínú àwọ̀sánmà, orí nínú àwọ̀sánmọ̀, àìfọkànsí
😏	Oju Ẹrin Abosi, ojú, rẹ́rín àbòsí
😒	Oju Aifanimọra, ojú, àìdunú, àìfanimọ́ra
🙄	Ojú Pẹ̀lú Ẹyinjú tó yín, ojú, tó yín, àwọn ẹyinjú
😬	Oju Ifaro, ojú, ìfaro
😮‍💨	kérora, mí hẹlẹhẹlẹ, mí síta, ojú ń mí síta, súfèé, sọ̀rọ̀ kẹ́lẹ́kẹ́lẹ́, ìtura
🤥	Oju Irọ, irọ́, ojú, onímú gígùn
🫨	eru, gbigbọ̀n, gbọ̀n, iji, ojú, ojú gbígbọ̀n
🙂‍↔	gbọn orí, orí mímì látọ̀tún-sósì, rárá
🙂‍↕	bẹ́ẹ̀ni, fi orí dáhùn, orí mímì látòkè-sílẹ̀
😌	Oju Itura, ojú, ìtura
😔	Oju Ironu, jákulẹ̀, ojú, ìpòruru
😪	Oju Iloorun, ojú, sùn
🤤	adatọ, oju adatọ, ojú
😴	Oju Ti O N Sun, ojú, sss, sùn
🫩	ojú pẹ̀lú ìsàlẹ̀ ojú tó wú, rírẹ̀ tọwọ́ tẹsẹ̀, rẹ̀, tòògbé
😷	Oju Pẹlu Iboju Iṣoogun, dókítà, ojú, otútù, àárẹ̀, ìbòjú, ògùn
🤒	oju pẹlu oṣuwọn igbona, ojú, àárẹ̀, ìlera, òṣùwọ̀n ìgbóná
🤕	Oju Pẹlu Ori ti a de Lọja, egbò, farapa, ojú, ìdì
🤢	Oju Ailera, ojú, àìlera, èébì
🤮	Èébì ajẹmọ́jú, àìsàn, èébì
🤧	Oju Sinsin, gesundheit, ojú, sín
🥵	gbona, iba, oju to gbona, ojú gbígbóná, ooru
🥶	oju bulu, oju tutu, ojú tútú, otutu n mú, tutu
🥴	ojú to wópọ̀, oorun kíkún
😵	Oju Itoogbe, itoogbe, ojú
😵‍💫	háà, lílọ́pọ̀, ojú pẹ̀lú ẹyinjú lílọ́pọ̀, wàhálà, ìràníyè, òòyì
🤯	Orí tó bú gbàmù, Ìjayà
🤠	Oju Fila Adaran, adaran, fìlà, obìnrin ẹlẹ́ṣin, ojú
🥳	ayọ̀, fìlà, ojú patí, ojú àsè, àsè, ìho
🥸	gíláàsì, imú, ojú, ojú tó sapamọ, ojú ìsápamọ́, sápamọ, àìmọ̀
😎	Oju Ti O N Rẹrin Pẹlu Digi Oju, mọ́lẹ̀, ojú, rẹ́rìń músẹ́, tutù, àwọn gílásì, àwọn gílásì òrùn, ìbojú, òrùn, ẹyinjú
🤓	Oju Ọmọwe Ti Ko Jafafa, Oju Ọmọwe Ti O Jafafa, ojú, ọ̀mọ̀wé, ọ̀mọ̀wé tí kò jáfáfá
🧐	Ojú tó súnkì, Sítọ́fì
😕	Oju Iporuru, iporuru, ojú
🫤	kojú pẹ̀lú ẹnu ẹ̀gbẹ́, mẹ́, nijakulẹ̀, ojú pẹ̀lú ẹnu ẹ̀gbẹ́, siyẹ̀méjì, àìmọ̀
😟	Oju Idamu, ojú, ìdàmú
🙁	Oju Ifajuro Diẹ, fajúro, ojú
☹️	fajúro, ojú, ojú tó fajúro
😮	Oju Pẹlu Ẹnu Lila, kẹ́dùn, ojú, ṣí, ẹnu
😯	Oju Idakẹjẹ, dákẹ́jẹ́, ojú, ìyàlẹ́nu
😲	ojú, ojú ìyalẹnu, pátápátá, ìpaláyà, ìyàlẹ́nu
😳	Oju Idunnu, ojú, yàlẹ́nu, ìdùnú
🥺	bẹ̀bẹ̀, ojú tí ń bẹ̀bẹ̀, ojú tónbẹ̀bẹ̀, ojú ọmọ ajá, àánú
🥹	banújẹ́, bínú, gbẹ́raga, kọ̀, ojú tí ò fẹ́ sunkún, ojú tón mu ẹkún dúró, sunkún
😦	Oju Ti o Faro Pẹlu Ẹnu lila silẹ, fajúro, ojú, ṣí, ẹnu
😧	ojú, ojú ìrora, ìrora
😨	Oju Ẹru, ojú, ìbẹ̀rù
😰	búlù, ojú, ojú pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn tútù, sáré, tútù, òógùn, ṣí, ẹnu
😥	Oju Ijakulẹ Ṣugbọn Itura, hmmm, ojú, ìjákulẹ̀, ìtura
😢	Oju Ẹkun, ojú, ìbànújẹ, ẹkún
😭	Oju Ti n Sunkun Gidi, ojú, sunkún, ìbànújẹ, ẹkún
😱	Oju Fifi Ẹru han an, bẹ̀rù, han, jẹ, ojú, ìbẹ̀rù
😖	Oju Itiju, itiju, ojú
😣	Oju Ifarada, ojú, ìfaradà
😞	ojú, ojú ìjakulẹ̀, ìjakulẹ
😓	Oju Pẹlu Ilaagun Tutu, ojú, òtútù, òógùn
😩	Oju Ti o Rẹ̀, ojú, rírẹ̀
😫	Oju Rirẹ, ojú, rírẹ̀
🥱	ojú tón yán, ojú yíyán, rẹ̀, sú, yán
😤	Oju Pẹlu Ikun Nimu, Oju Pẹlu Ooru Nimu, ojú, yege, ìjagunmólú
😡	Oju Iyaahan, bínú, ojú, yànhàn
😠	Oju Ibinu, bínú, ojú, ìbínú
🤬	bíbúra, Àmì ojú tó rékọjá ẹnu
😈	Oju Ẹrin Pẹlu Awọn Iho, Oju Ẹrin Pẹlu Awọn Iwo, ojú, rẹ́rìn músẹ́, àlá, ìtàn ọmọdé, ìwo
👿	Oju Ibinu Pẹlu Awọn Iwo, Oju Ibinu Pẹlu Iho, imp, ojú, àlá, èṣù, ìtàn ọmọdé, ẹṣù
💀	Ipakọ, abàmì, ikú, ojú, ìtán ọmọdé
☠️	ikú, ojú, àwọn egun àgbélébù, ìpàkọ́, ìpàkọ́ àti àwọn egun àgbélébù
💩	Okiti Igbẹ, abàmì, apanilẹ́rìń, ojú, ìgbẹ́, ògùn
🤡	apanilẹrin, ojú, ojú apanilẹrin
👹	Omiran Ajẹniyan, abàmì, ojú, àlá, ìtàn ọmọdé, ẹ̀dá
👺	abàmì, abàmì aràrá, ojú, àlá, ìtàn ọmọdé, ẹ̀dá
👻	abàmì, ojú, àlá, ìtàn ọmọdé, òkú, ẹ̀dá
👽️	ojú, ufo, àbàmì, àjòjì, àlá, ìtàn ọmọdé, ẹ̀dá
👾	ojú, ufo, Àjòjì Abami, àbàmì, àjòjì, àlá, ìtàn ọmọdé, ẹ̀dá
🤖	Oju Ṣigidi, abàmì, ojú, ṣìgìdì
😺	Oju Arẹrin Ologbo Pẹlu Ẹnu Yiya, ojú, olóngbò, rẹ́rìń músẹ́, ṣí, ẹnu
😸	Oju Ibinu Ologbo Pẹlu Awọn Oju Arẹrin, fẹyín, ojú, olóngbò, rẹ́rìn músẹ́
😹	Oju Ologbo Pẹlu Ẹkun Ayọ, ayọ̀, ojú, olóngbò, ẹkún
😻	Oju Arẹrin Ologbo Pẹlu Oju-ọkan, ojú, olóngbò, rẹ́rìn músẹ́, ìfẹ́, ẹyinjú
😼	Oju Ologbo Pẹlu Ẹrin Afiniṣẹsin, aláìríbóṣeyẹ, ojú, olóngbò, rẹ́rìń músẹ́, ṣẹ̀sín
😽	Oju Ologbo Afẹnukonu, Oju Ologbo Afẹnukonu Pẹlu Awọn Oju Didi, olóngbò, ìfenukonu, ẹyinjú
🙀	Oju Ologbo Ti o Rẹ, haa, ojú, olóngbò, rírẹ̀, ìyàlẹ́nu
😿	Oju Ẹkun Ologbo, ojú, olóngbò, ìbànújẹ́, ẹkún
😾	Oju Ete Ologbo, ojú, olóngbo, ṣu ètè síta
🙈	ojú, rárá, wòó, èwọ̀, èṣù, ìfọwọ́júwè, Ọbọ Mari Ibi, ọ̀bọ
🙉	gbọ́, ojú, rárá, èwọ̀, èṣù, ìfọwọ́júwè, Ọbọ Magbọ Ibi
🙊	ojú, rárá, sọ̀rọ̀, èwọ̀, èṣù, ìfọwọ́júwè, Ọbọ Masọ ibi, ọ̀bọ
💌	Lẹta Ifẹ, lẹ́tà, méèlì, ìfẹ́, ọkàn
💘	Ọkan Ti o Ni Ọfa, ọfà, ọmọ ọlọ́fà
💝	ríbọ́nì àyájọ́ olólùfẹ̀, Ọkan Pẹlu Riboni
💖	dunú, dán, Ọkan Didan
💗	bẹ̀rù, dunú, dàgbà, ṣọkùlú, Ọkan Didagba
💓	mímí, mímí ọkàn, Ọkan Ti O N Mi
💞	yíyí, Ọkan Ti O N Yi
💕	Awọn Ọkan Meji, ìfẹ́
💟	Ọkan Ti A Ṣe Lọṣọ, Ọṣọ Ọkan, ọkàn
❣️	àmì, àmì ìyanu, àmì ìyanú ọkàn tó wúwo, ìfàmìsí
💔	Ibanujẹ Ọkan, kán, ti kán
❤‍🔥	iná ń jóni lọ́kàn, jóná, àyà mímọ́, ìfẹ́, ìfẹ́kúfẹ̀ẹ́, ọkàn, ọkàn ń jóná
❤‍🩹	wà ní ìlera, ìlera tó pọ̀ síi, ń bọ̀sípò lẹ́yìn àìsàn, ń dára síi, ń padàbọ̀sípò, ń ṣàtúnṣe, ọkàn tó ń ṣàtúnṣe ara rẹ̀
❤️	ọkàn, ọkàn pupa
🩷	dára, fẹ́ràn, pínkì, ìfẹ́, ọkàn, ọkàn pinki
🧡	aláwọ̀ ọsàn, ọlakàn ọsàn, ọlọkàn omi ọsàn
💛	yẹ́lò, Ọkan Awọ Ofeefe
💚	àwọ̀ ewé, Ọkan Awọ Ewe
💙	búlù, Ọkan Bulu
🩵	búlùú díẹ̀, okàn buluu díè, síyánì, tílì, ọkàn
💜	pọ́pù, Ọkan Awọ Pọpu
🤎	awo igi / ọkàn, ọkàn awo igi
🖤	dúdú, èṣù, ìkà, Ọkàn Dúdú
🩶	eérú, sífà, síléètì, ọkan eerú, ọkàn
🤍	ọkàn / funfun, ọkàn funfun
💋	Aami Ifẹnuko, fẹnukonu, ètè
💯	100, koko ọgọrun, kún, ìṣirò, ọgọ́rùn
💢	bínú, Àmì Ibinu, àwàdà
💥	Ikọlu, bóòmù, àwàdà
💫	Itoogbe, àwàdà, ìràwọ̀
💦	Ilaagun Ti N kan, tami, àwàdà, òógùn
💨	N Salọ, dáàṣì, àwàdà, ń sáré
🕳️	ihò
💬	Bàlúnù Ọ̀rọ̀ Sísọ, bàlú, àdàlú, àwàdà, ìtàkùrọ̀sọ, ọ̀rọ̀
👁‍🗨	bàlú ọ̀rọ̀, eyinjú, ojú ní àlú ọ̀rọ̀, ẹléri
🗨️	bàlúnù ọ̀rọ̀ sísọ òsì, ìtàkùrọ̀sọ, ọ̀rọ̀
🗯️	bàlúnù, bàlúnù ọ̀rọ̀ sísọ ọ̀tún, bínú, àdàlú
💭	Bàlúnù Ero, bàlúnù, àdàlú, àwàdà, èrò
💤	Zzz, sùn, àwàdà
👋	N Juwọ, báwo, ju wọ́, ìkínni, ìwọ, ó dàbọ̀, ó dìgbà kan, ọwọ́
👋🏻	N Juwọ: amọ́lára, amọ́lára, báwo, ju wọ́, ìkínni, ìwọ, ó dàbọ̀, ó dìgbà kan, ọwọ́
👋🏼	N Juwọ: amọ́lára díẹ̀, amọ́lára díẹ̀, báwo, ju wọ́, ìkínni, ìwọ, ó dàbọ̀, ó dìgbà kan, ọwọ́
👋🏽	N Juwọ: amọ́láwọ̀ díẹ̀, amọ́láwọ̀ díẹ̀, báwo, ju wọ́, ìkínni, ìwọ, ó dàbọ̀, ó dìgbà kan, ọwọ́
👋🏾	N Juwọ: adúláwọ̀ díẹ̀, adúláwọ̀ díẹ̀, báwo, ju wọ́, ìkínni, ìwọ, ó dàbọ̀, ó dìgbà kan, ọwọ́
👋🏿	N Juwọ: adúláwọ̀, adúláwọ̀, báwo, ju wọ́, ìkínni, ìwọ, ó dàbọ̀, ó dìgbà kan, ọwọ́
🤚	Na Ẹhin Ọwọ Soke, nà sókè, ẹ̀yìn ọwọ́
🤚🏻	Na Ẹhin Ọwọ Soke, Na Ẹhin Ọwọ Soke: amọ́lára, amọ́lára, nà sókè, ẹ̀yìn ọwọ́
🤚🏼	Na Ẹhin Ọwọ Soke, Na Ẹhin Ọwọ Soke: amọ́lára díẹ̀, amọ́lára díẹ̀, nà sókè, ẹ̀yìn ọwọ́
🤚🏽	Na Ẹhin Ọwọ Soke, Na Ẹhin Ọwọ Soke: amọ́láwọ̀ díẹ̀, amọ́láwọ̀ díẹ̀, nà sókè, ẹ̀yìn ọwọ́
🤚🏾	Na Ẹhin Ọwọ Soke, Na Ẹhin Ọwọ Soke: adúláwọ̀ díẹ̀, adúláwọ̀ díẹ̀, nà sókè, ẹ̀yìn ọwọ́
🤚🏿	Na Ẹhin Ọwọ Soke, Na Ẹhin Ọwọ Soke: adúláwọ̀, adúláwọ̀, nà sókè, ẹ̀yìn ọwọ́
🖐️	nawọ́ sókè pẹ̀lú ìyàka, yàka, ìka, ọwọ́
🖐🏻	amọ́lára, nawọ́ sókè pẹ̀lú ìyàka, nawọ́ sókè pẹ̀lú ìyàka: amọ́lára, yàka, ìka, ọwọ́
🖐🏼	amọ́lára díẹ̀, nawọ́ sókè pẹ̀lú ìyàka, nawọ́ sókè pẹ̀lú ìyàka: amọ́lára díẹ̀, yàka, ìka, ọwọ́
🖐🏽	amọ́láwọ̀ díẹ̀, nawọ́ sókè pẹ̀lú ìyàka, nawọ́ sókè pẹ̀lú ìyàka: amọ́láwọ̀ díẹ̀, yàka, ìka, ọwọ́
🖐🏾	adúláwọ̀ díẹ̀, nawọ́ sókè pẹ̀lú ìyàka, nawọ́ sókè pẹ̀lú ìyàka: adúláwọ̀ díẹ̀, yàka, ìka, ọwọ́
🖐🏿	adúláwọ̀, nawọ́ sókè pẹ̀lú ìyàka, nawọ́ sókè pẹ̀lú ìyàka: adúláwọ̀, yàka, ìka, ọwọ́
✋️	Ọwọ Nina Soke, ọwọ́
✋🏻	amọ́lára, Ọwọ Nina Soke, Ọwọ Nina Soke: amọ́lára, ọwọ́
✋🏼	amọ́lára díẹ̀, Ọwọ Nina Soke, Ọwọ Nina Soke: amọ́lára díẹ̀, ọwọ́
✋🏽	amọ́láwọ̀ díẹ̀, Ọwọ Nina Soke, Ọwọ Nina Soke: amọ́láwọ̀ díẹ̀, ọwọ́
✋🏾	adúláwọ̀ díẹ̀, Ọwọ Nina Soke, Ọwọ Nina Soke: adúláwọ̀ díẹ̀, ọwọ́
✋🏿	adúláwọ̀, Ọwọ Nina Soke, Ọwọ Nina Soke: adúláwọ̀, ọwọ́
🖖	Kiki Ibẹri Funni, spock, vulcan, ìka, ọwọ́
🖖🏻	Kiki Ibẹri Funni, Kiki Ibẹri Funni: amọ́lára, amọ́lára, spock, vulcan, ìka, ọwọ́
🖖🏼	Kiki Ibẹri Funni, Kiki Ibẹri Funni: amọ́lára díẹ̀, amọ́lára díẹ̀, spock, vulcan, ìka, ọwọ́
🖖🏽	Kiki Ibẹri Funni, Kiki Ibẹri Funni: amọ́láwọ̀ díẹ̀, amọ́láwọ̀ díẹ̀, spock, vulcan, ìka, ọwọ́
🖖🏾	Kiki Ibẹri Funni, Kiki Ibẹri Funni: adúláwọ̀ díẹ̀, adúláwọ̀ díẹ̀, spock, vulcan, ìka, ọwọ́
🖖🏿	Kiki Ibẹri Funni, Kiki Ibẹri Funni: adúláwọ̀, adúláwọ̀, spock, vulcan, ìka, ọwọ́
🫱	apá ọtún, owọ́, ọtún, ọwọ́ ọ̀tún
🫱🏻	amọ́lára, apá ọtún, owọ́, ọtún, ọwọ́ ọ̀tún, ọwọ́ ọ̀tún: amọ́lára
🫱🏼	amọ́lára díẹ̀, apá ọtún, owọ́, ọtún, ọwọ́ ọ̀tún, ọwọ́ ọ̀tún: amọ́lára díẹ̀
🫱🏽	amọ́láwọ̀ díẹ̀, apá ọtún, owọ́, ọtún, ọwọ́ ọ̀tún, ọwọ́ ọ̀tún: amọ́láwọ̀ díẹ̀
🫱🏾	adúláwọ̀ díẹ̀, apá ọtún, owọ́, ọtún, ọwọ́ ọ̀tún, ọwọ́ ọ̀tún: adúláwọ̀ díẹ̀
🫱🏿	adúláwọ̀, apá ọtún, owọ́, ọtún, ọwọ́ ọ̀tún, ọwọ́ ọ̀tún: adúláwọ̀
🫱🏻‍🫲🏼	amọ́lára, amọ́lára díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: amọ́lára àtiamọ́lára díẹ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏻‍🫲🏽	amọ́lára, amọ́láwọ̀ díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: amọ́lára àtiamọ́láwọ̀ díẹ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏻‍🫲🏾	adúláwọ̀ díẹ̀, amọ́lára, gbọn, Ìbọwọ́, Ìbọwọ́: amọ́lára àtiadúláwọ̀ díẹ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏻‍🫲🏿	adúláwọ̀, amọ́lára, gbọn, Ìbọwọ́, Ìbọwọ́: amọ́lára àtiadúláwọ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏼‍🫲🏻	amọ́lára, amọ́lára díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: amọ́lára díẹ̀ àtiamọ́lára, ìfaramọ́, ìpàdé, ọwọ
🫱🏼‍🫲🏽	amọ́lára díẹ̀, amọ́láwọ̀ díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: amọ́lára díẹ̀ àtiamọ́láwọ̀ díẹ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏼‍🫲🏾	adúláwọ̀ díẹ̀, amọ́lára díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: amọ́lára díẹ̀ àtiadúláwọ̀ díẹ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏼‍🫲🏿	adúláwọ̀, amọ́lára díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: amọ́lára díẹ̀ àtiadúláwọ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏽‍🫲🏻	amọ́lára, amọ́láwọ̀ díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: amọ́láwọ̀ díẹ̀ àtiamọ́lára, ìfaramọ́, ìpàdé, ọwọ
🫱🏽‍🫲🏼	amọ́lára díẹ̀, amọ́láwọ̀ díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: amọ́láwọ̀ díẹ̀ àtiamọ́lára díẹ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏽‍🫲🏾	adúláwọ̀ díẹ̀, amọ́láwọ̀ díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: amọ́láwọ̀ díẹ̀ àtiadúláwọ̀ díẹ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏽‍🫲🏿	adúláwọ̀, amọ́láwọ̀ díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: amọ́láwọ̀ díẹ̀ àtiadúláwọ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏾‍🫲🏻	adúláwọ̀ díẹ̀, amọ́lára, gbọn, Ìbọwọ́, Ìbọwọ́: adúláwọ̀ díẹ̀ àtiamọ́lára, ìfaramọ́, ìpàdé, ọwọ
🫱🏾‍🫲🏼	adúláwọ̀ díẹ̀, amọ́lára díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: adúláwọ̀ díẹ̀ àtiamọ́lára díẹ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏾‍🫲🏽	adúláwọ̀ díẹ̀, amọ́láwọ̀ díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: adúláwọ̀ díẹ̀ àtiamọ́láwọ̀ díẹ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏾‍🫲🏿	adúláwọ̀, adúláwọ̀ díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: adúláwọ̀ díẹ̀ àtiadúláwọ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏿‍🫲🏻	adúláwọ̀, amọ́lára, gbọn, Ìbọwọ́, Ìbọwọ́: adúláwọ̀ àtiamọ́lára, ìfaramọ́, ìpàdé, ọwọ
🫱🏿‍🫲🏼	adúláwọ̀, amọ́lára díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: adúláwọ̀ àtiamọ́lára díẹ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏿‍🫲🏽	adúláwọ̀, amọ́láwọ̀ díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: adúláwọ̀ àtiamọ́láwọ̀ díẹ̀, ìfaramọ́, ìpàdé, ọwọ
🫱🏿‍🫲🏾	adúláwọ̀, adúláwọ̀ díẹ̀, gbọn, Ìbọwọ́, Ìbọwọ́: adúláwọ̀ àtiadúláwọ̀ díẹ̀, ìfaramọ́, ìpàdé, ọwọ
🫲	apa [posí, owo, òsì, ọwọ́ òsì
🫲🏻	amọ́lára, apa [posí, owo, òsì, ọwọ́ òsì, ọwọ́ òsì: amọ́lára
🫲🏼	amọ́lára díẹ̀, apa [posí, owo, òsì, ọwọ́ òsì, ọwọ́ òsì: amọ́lára díẹ̀
🫲🏽	amọ́láwọ̀ díẹ̀, apa [posí, owo, òsì, ọwọ́ òsì, ọwọ́ òsì: amọ́láwọ̀ díẹ̀
🫲🏾	adúláwọ̀ díẹ̀, apa [posí, owo, òsì, ọwọ́ òsì, ọwọ́ òsì: adúláwọ̀ díẹ̀
🫲🏿	adúláwọ̀, apa [posí, owo, òsì, ọwọ́ òsì, ọwọ́ òsì: adúláwọ̀
🫳	jabọ̀, lé lọ, shoo, àtẹ́lẹ̀wọ́ ìsàlẹ̀, ọwọ́ ìsàlẹ̀
🫳🏻	amọ́lára, jabọ̀, lé lọ, shoo, àtẹ́lẹ̀wọ́ ìsàlẹ̀, àtẹ́lẹ̀wọ́ ìsàlẹ̀: amọ́lára, ọwọ́ ìsàlẹ̀
🫳🏼	amọ́lára díẹ̀, jabọ̀, lé lọ, shoo, àtẹ́lẹ̀wọ́ ìsàlẹ̀, àtẹ́lẹ̀wọ́ ìsàlẹ̀: amọ́lára díẹ̀, ọwọ́ ìsàlẹ̀
🫳🏽	amọ́láwọ̀ díẹ̀, jabọ̀, lé lọ, shoo, àtẹ́lẹ̀wọ́ ìsàlẹ̀, àtẹ́lẹ̀wọ́ ìsàlẹ̀: amọ́láwọ̀ díẹ̀, ọwọ́ ìsàlẹ̀
🫳🏾	adúláwọ̀ díẹ̀, jabọ̀, lé lọ, shoo, àtẹ́lẹ̀wọ́ ìsàlẹ̀, àtẹ́lẹ̀wọ́ ìsàlẹ̀: adúláwọ̀ díẹ̀, ọwọ́ ìsàlẹ̀
🫳🏿	adúláwọ̀, jabọ̀, lé lọ, shoo, àtẹ́lẹ̀wọ́ ìsàlẹ̀, àtẹ́lẹ̀wọ́ ìsàlẹ̀: adúláwọ̀, ọwọ́ ìsàlẹ̀
🫴	fún, mú, pè, wá, àtẹ́lẹwọ́ òkè, ọwọ́ òkè
🫴🏻	amọ́lára, fún, mú, pè, wá, àtẹ́lẹwọ́ òkè, àtẹ́lẹwọ́ òkè: amọ́lára, ọwọ́ òkè
🫴🏼	amọ́lára díẹ̀, fún, mú, pè, wá, àtẹ́lẹwọ́ òkè, àtẹ́lẹwọ́ òkè: amọ́lára díẹ̀, ọwọ́ òkè
🫴🏽	amọ́láwọ̀ díẹ̀, fún, mú, pè, wá, àtẹ́lẹwọ́ òkè, àtẹ́lẹwọ́ òkè: amọ́láwọ̀ díẹ̀, ọwọ́ òkè
