‾	וינקולום, מחיקה, קו עליון
😐️	חסר הבעה, לא מצחיק, לא משנה, פרצוף, פרצוף חסר הבעה
😑	חסר הבעה, פרצוף, פרצוף חסר הבעה ועיניים סגורות
😶	פה, פרצוף, פרצוף בלי פה, פרצוף ללא פה, שותק, שקט
🫥	בלתי נראה, דיכאון, מדוכא, מופנם, מחבוא, מסתתר, נחבא אל הכלים, נעלם, פרצוף מיואש, פרצוף עם קו מקווקו
😶‍🌫	בעננים, בערפל, חולמני, מפוזר, פרצוף בעננים, ראש בעננים
😏	אחלה, בוס, זחוח, משוויץ, סנוב, עף על עצמו, פרצוף, פרצוף זחוח
😒	לא משועשע, לא מתרשם, פרצוף, פרצוף לא מתרשם, פרצוף מקנא, פרצוף משועמם
🙄	גלגול עיניים, למעלה, מגלגל, עיניים, פרצוף, פרצוף מגלגל עיניים
😬	חושף שיניים, מבוכה, מוטרד, פרצוף, פרצוף חושף שיניים, שיניים, שיניים חשוקות
😮‍💨	בלי אוויר, משתנק, משתעל, מתנשם, מתנשף, נושף, נחנק, פרצוף נושף, שיעול
🤥	אף ארוך, פינוקיו, פרצוף עם אף פינוקיו, שקר, שקרן
🫨	מופתע, מטורף, פאניקה, פרצוף, פרצוף רועד, רוטט, רועד, רטט, רעידות, רעידת אדמה
🙂‍↔	לא, מנענע, מנענע ראש מצד לצד
🙂‍↕	כן, מנענע ראש מלמעלה למטה, נד
😌	הקלה, מחייך, נחת, סיפוק, עיניים, עצומות, פרצוף של אנחת רווחה, רגוע
😔	מאוכזב, מהורהר, עיניים עצומות, עצוב, פרצוף, פרצוף מהורהר
😪	בוכה, ישנוני, מנוזל, מצונן, עצוב, פרצוף, פרצוף ישנוני
🤤	מזיל, מרייר, פרצוף, פרצוף מזיל ריר, ריר
😴	zzz, ישן, ישנה, לילה טוב, נוחר, עייף, פרצוף, פרצוף ישן, שינה
🫩	ישנוני, עייף, פרצוף, פרצוף עם שקיות מתחת לעיניים, שקיות, תשוש
😷	זיהום אוויר, חולה, מגיפה, מגפה, מנתח, מסיכה, עשן, פרצוף עם מסיכת מנתח, קורונה
🤒	חולה, חום, מדחום, מדידת חום, פרצוף, פרצוף עם מדחום
🤕	חבול, כואב, פצוע, פציעה, פרצוף, פרצוף עם תחבושת ראש, תחבושת על הראש
🤢	איכסה, בחילה, הקאה, להקיא, מגעיל, פרצוף, פרצוף סובל מבחילה
🤮	בחילה, הקאה, להקיא, פרצוף מקיא
🤧	אף, אפצ׳י, חולה, מצונן, מקנח, מתעטש, פרצוף, פרצוף מקנח אף
🥵	חולה, מותש, מזיע, מכת חום, מת מחום, פרצוף אדום
🥶	למות מקור, מת מקור, פרצוף, קופא, קפוא, קר, קרח
🥴	מבולבל, מסוחרר, מעוך, סחרחורת, פרצוף, שיכור
😵	מסוחרר, פרצוף, פרצוף עם סחרחורת
😵‍💫	בחילה, בלבול, בלבלה, בצרה, היפנוזה, חלחלה, מבולבל, מסוחרר, סחרחורת, פרצוף, פרצוף עם עיני ספירלה
🤯	המום, פרצוף מתפוצץ, ראש מתפוצץ, שוק
🤠	בוקרים, כובע, פרצוף, פרצוף עם כובע בוקרים, קאובוי
🥳	חגיגה, יום הולדת, מזל טוב, מסיבה, פרצוף חוגג
🥸	גבות, הסוואה, מסיכה, מצחיק, משקפיים, פרצוף, פרצוף עם תחפושת, שפם, תחפושת
😎	חיוך, מגניב, מחייך, משקפיים, פרצוף, פרצוף מחייך עם משקפי שמש, שמח, שמש
🤓	אבו ארבע, חכם, חנון, מומחה, מחייך, משקפופר, משקפיים, פרצוף עם משקפיים, פרצוף של חנון
🧐	כבד, משעמם, פרצוף, פרצוף עם מונוקל
😕	לא יודע, מבולבל, מבלבל, סתם, עצוב, פרצוף, פרצוף מבולבל
🫤	ככה ככה, לא בטוח, מאוכזב, מבולבל, מה, מתוסכל, ספקן, פרצוף מעקם את הפה
😟	לחוץ, מה יהיה, מודאג, מתוח, פרצוף, פרצוף מודאג
🙁	באסה, מבט עצוב, עצוב, פרצוף, פרצוף עם מבט עצוב
☹️	עצוב, פרצוף, פרצוף עצוב
😮	הפתעה, וואו, מופתע, פה, פרצוף, פרצוף עם פה פתוח
😯	המום, ואו, מה?, מופתע, פרצוף, פרצוף מופתע
😲	המום, נדהם, פה, פה פעור, פרצוף, פרצוף נדהם, פתוח
😳	הלם, מסמיק, נדהם, עיניים, פרצוף נדהם וסמוק, שוק, תדהמה
🥺	בבקשה, למה, מתחנן, עיניים מתחננות, עצוב, פרצוף מתחנן, רחמים
🥹	בכי, גאווה, התנגדות, התרגשות, כעס, נחת, עצוב, פרצוף עם דמעות, פרצוף עם דמעות בעיניים, שמחה
😦	הלם, עצוב, פה, פרצוף, פרצוף עצוב עם פה פתוח, שוק
😧	הלם, ואו, מטורף, מיוסר, מפוחד, פוחד, פרצוף, פרצוף מיוסר
😨	לחוץ, מפוחד, מפחד, פוחד, פרצוף, פרצוף מפוחד
😰	זיעה קרה, מפוחד, מפחד, פרצוף, פרצוף מפחד עם זיעה קרה
😥	דמעה, כמעט, מאוכזב, עצוב, פרצוף, פרצוף מאוכזב עם דמעה
😢	בוכה, דמעה, מבואס, מתגעגע, עצוב, פרצוף, פרצוף בוכה
