‾	надчеркивание, ҫӳлтен йӗр
🤨	килӗшместӗп, скептик, тӗлӗннӗ, хм, шанманни, шанмастӑп, ҫӗкленӗ куҫ харши, ӗненмест, ӗненместӗп
😐️	аван мар, нимӗнпе те интересленменни, пит, пурпӗрех, пурӗпӗрех, тӗлӗнмелле
😑	килӗшӳсӗр, кӗвӗҫӳ, мелсӗр, нимӗн те, пит, сӳрӗк, эмоцисем, эмоцисемсӗр, эмоцисӗр, ҫук
😶	пит, пулӑ пек чӗмсӗрлӗх, пушӑ, секрет, чӗмсӗрлӗх, шӑплӑх, шӑппӑн, ҫук, ҫӑварсӑр, ҫӑварсӑр пит
🫥	депрессийӗ, интроверт, куҫа курӑнман, пит пунктир, пит-куҫ пунктирпа, пунктир, пусмӑрлӑх, пусӑрӑнчӑк, пытанма, сайл, хуйхӑ, юрать, ҫухалма
😶‍🌫	арпашса кайнӑ, пӗлӗтлӗ пит, пӗлӗтре вӗҫекен, пӗлӗтсем хушшинчи пуҫ, пӗлӗтсем хушшинчи сӑн-пит, тӗтре ӑшӗнчи пит
😏	кулкалать, куҫ хӗссе, куҫа, лекрӗ, чее, шанман, шӳт, шӳтлерӗ
😒	..., анкӑ-минкӗ, ахтуртур, кичемрех, кӑмӑлсӑр, кӗвӗҫекен, савӑнӑҫсӑр, тем те пуль, тептепӗр, тьфу, уххх, юмахрипек кичем, ҫаплапульҫав, ӳсӗртерех
🙄	антар, кичем, куҫ, куҫа хупать, куҫсене хупать, кӳренӳ, пите, смайл
😬	аван мар, гримас, гримаса, пит, упс, шӑл
😮‍💨	ассӑн сывлани, пӑшӑлтатни, сайл, сывлать, тӗтӗм, шӑхӑрни, ҫӑмӑллӑх, ӗшенни
🤥	буратино, вӑрӑм сӑмса, кинокио, пинокио, суеҫӗ, суйма
🫨	вибраци, ой, паника, питне, сехӗрленӳ, турӑҫӑм, тӗлӗнӳ, ухмаха ермелле, ухмаха ерни, хӑрушӑ, чӗтревлӗ пит, чӗтрет, шок, ҫӗр чӗтрет
🙂‍↔	килӗшменни, килӗшмесӗр пуҫне пӑркалать, килӗшмесӗр пуҫне сулкалать, хирӗҫлени, ҫук
🙂‍↕	килӗшӳ, килӗшӳллӗн пуҫне сулкалать, пуҫне сӗлтсе, ҫапла, ҫирӗплетӳ
😌	айккипе, иртрӗ, иртсе, иртсе кайрӗ, кулӑ, лӑпкӑлӑх, пичӗ, тӗрӗслет, ҫӑмӑллӑх, ҫӑмӑллӑх туять
😔	вӑй ҫук, каях, кичем, сӑн, хурлӑхлӑ, шел, шухӑш, шухӑшлать, шухӑшлӑ, шухӑшлӑ пит, япӑх, ҫухатнӑ, ӗшенчӗк
😪	пит-куҫ, сахал, ывӑнни, ыйхӑ, ҫывӑрас килет
🤤	пите, сӗлеке юхтарать, сӗлеке ярать
😴	zzz, кану, пит, сайл, тӗлӗр, харлаттар, ыйхӑ, ҫывӑрать, ҫывӑратӑп
🫩	куҫ айӗнчи михӗсем, халсӑр, халтан кайни, ывӑнни, ыйхӑллӑ, ырханланни
😷	вирус, ерекен, каратин, маска, медик, медицина маскинче, медицина маскипе, микроб, пит, чир
🤒	градусник, грипп, пит, термометр, чир, чирленӗ, ҫӑвар, ҫӑвара градусник хыпнӑ, ҫӳллӗ температура
🤕	пит, пластырь, пуҫне ҫыхнӑ, шар курнӑ, ыратни, япӑх, ҫамка, ҫыхни
🤢	наркӑмӑшланас, начар, начар туяс, питне, тавӑрас, тинӗс чирӗ, хӑсас, хӑсас килет, чир
🤮	сурас, хӑсас, хӑсас килет, хӑсӑк
🤧	апчху, апчху тӑвать, пит, сунас, сунаслать, учху
🥵	вӗри, пит, сивчир, тарлать, тарпа, температура, хӗвел ҫапни, хӗрӳ, чирлет, чӗлхе, ҫӳллӗ температура
🥶	кӑвакарнӑ, пит, пӑр, сивӗ, тӑм илнӗ, шӑлсем шаккаҫҫӗ, шӑнать
🥴	дезориентаци, куҫ умӗнче ишет, пит, пуҫ ҫаврӑнни, пуҫ ҫаврӑннине туять, хӑрах ҫӑвар, чалӑшса, япӑх, ӑш пӑтраннине, ӳсӗр, ӳсӗрӗлсе
😵	вилнӗ, пит, пуҫ ҫаврӑнать, пуҫ ҫаврӑнни, чирлеме, ӗшеннӗ
😵‍💫	omg, именӳ, инкек, омг, пуҫ ҫаврӑнни, пӑтрану, смайл, спираль, тупикра, ӑнран кайни
🤯	акӑ ку, аптрамасть, миме сирпӗнни, пуҫ, пуҫ мими сирпӗнни, шок, шокра, эпӗ шокра
🤠	ковбой, ковбой пуҫӗ, ковбой шлепке тӑхӑннӑ, ковбой шлепки, пичӗ, техас, хӗвеланӑҫ, шлепке
🥳	вечеринка, вечеринкӑра, калпак, пит, савӑнӑҫ, сайл, ура, уяв, ҫуралнӑ
🥸	инкогнит, куҫлӑх, куҫхаршисем, маска, маскировка, пит, смайл, сӑмса, усси, шпион
😎	клево, кулӑ кӑмӑллӑ, куҫлӑх, отпуск, пит, пляж, хура куҫлӑхлӑ пит, хӗвел, хӗвел хӳтӗлекен, хӗвел хӳтӗлекен куҫлӑхлӑ пит, хӳтӗлев, чӑнкӑ, ҫутӑ
🤓	всенайка, заучка, куҫлӑх, куҫлӑхлӑ, куҫлӑхҫӑ, отличник, очкарик, пит, шӑл
🧐	детектив, задака, кивӗ модӑллӑ, монокль, монокльлӗ, мӑнтӑр, пуян
