‾	vinkulum, ɛsontwamu, ɛsosensaneɛ
😶	ahintasɛm, anim, anim a ɛnni ano, ano, dinn, fɛreɛ, hwee, komm, nkasa, nneyɛeɛ nni mu, ntumi nkasa, ɛnni ano
🫥	adwenedwene, akonamni, anim, asie, biara, meh, mmubueɛ, nsensaneɛ, nsensaneɛ mmubueɛ anim, sie, wontumi nhumu, wtv, yera
😶‍🌫	anim, anim wɔ mununkum mu, hwee ne adwenem, mununkum, ti, ɛbɔ
😏	agorɔ, anim, atɛn, bɔɔso, dapa, dɛfɛdɛfɛ, lɛɛ, sedeɛ anim, silae, silike, simɔgo, simɛke, sinika, susu sɛ ɛbɛyɛ ɛno, swag, sɔɔfo, yɔnkoɔ
😒	..., ani nka, aniberɛ, anigyeɛ nni mu, anim, anim a ɛnyɛ anigye, biara, bo afu, jɛli, jɛɛl, kama, smh, soronko, ugh, uhh
🙄	ani, anim, anim ne ani a ɛretware, anitware, atɛm, biara, munimuni, ugh
😬	anim, aniwuo, awk, dɛntise, grinne, grɛmaasi, grɛmaasin, grɛmaasin anim, resere, sere
😮‍💨	abrɛ, ahomeguo, ahotɔ, anim, anim ahomeguo, bɔ hwerɛma, di yaw, gaasipo, homeguo, hu, ka nketenkete, rehu, semaali, wusie
🤥	anim, atorɔ, atorɔ anim, pinokio, redi atorɔ, ɔtorɔfoɔ
🫨	anim, anim a ɛrewoso, asaasewosoɔ, daase, dam, hu, nwanwa, omg, rewoso, whoa, woso, wow
🙂‍↔	daabi, hɔrisɔntaa, rewoso, ti, ti woso kɔ hɔrisɔntaa, woso
🙂‍↕	aane, bɔ nko, rewoso, ti, ti woso kɔ vɛɛtikaa, vɛɛtekaa
😌	ahotɔ, ahotɔ anim, anim, asomdwoeɛ, bɔkɔɔ, ho atɔ no, zen
😔	ani nka, anim, atɔ baha, awerɛhodie anim, awerɛhoɔ, awu, ayera, huammɔ, pɛnsifo, reyera, ɛnyɛ anika, ɛnyɛ papa
😪	abrɛ, anadwo, anikum, anikum anim, anim, awerɛhoɔ, nna, papa, reda, resu
🤤	anim, anosuo, anosuo anim
😴	abrɛ, anadwo, anim, awia nna, biara, da yie, heram, mpa, nna, nna anim, nnaberɛ, papa, reda, zzz
🫩	abrɛ, ani, aniha, anikum, anim, anim a baage wɔ n’ani ase, baage, ka akyi, weeri
