‾	ขีดบน
−	ลบ, หักออก, เครื่องหมายลบ
⁻	ตัวยก, ตัวยกเครื่องหมายลบ, ลบ
∓	บวกลบ, ลบหรือบวก
∕	สแลช, สแลชหาร
⁄	สแลชเศษส่วน, เส้นแบ่ง
∗	ดอกจัน, ตัวดำเนินการดอกจัน
∘	ตัวดำเนินการ, ตัวดำเนินการวงแหวน, ตัวประกอบ
∙	ตัวดำเนินการ, ตัวดำเนินการบุลเลต
√	ฐาน, ราก, รากที่สอง, รูต, สแควร์, เสิร์ด
∝	ตามสัดส่วน, ได้สัดส่วน
∞	สัญลักษณ์อนันต์, อนันต์
∟	คณิตศาสตร์, มุมฉาก
∠	มุม, มุมแหลม
∣	ตัวแบ่ง, แบ่ง
∥	เส้นขนาน
∧	และ, และตรรกศาสตร์
∩	อินเตอร์เซกชั่น, เซต
∪	ยูเนียน, หมู่, เซต
∫	อินทิกรัล, แคลคูลัส
∬	อินทิกรัลสองชั้น, แคลคูลัส
∮	คอนทัวร์อินทิกรัล
∴	ดังนั้น, ตรรกศาสตร์
∵	ตรรกศาสตร์, เนื่องจาก
∶	อัตราส่วน
∷	ตามสัดส่วน, สัดส่วน, ได้สัดส่วน
∼	ตัวดำเนินการ, ตัวดำเนินการตัวหนอน
∽	ตัวหนอน, ตัวหนอนกลับด้าน
∾	เลซี่ เอสกลับหัว
≃	คณิตศาสตร์, เท่ากันเชิงเส้นกำกับ, เส้นกำกับ
≅	คณิตศาสตร์, สมภาค, สมสัณฐาน, เท่ากัน, เท่ากันโดยประมาณ
≈	ประมาณ, เกือบเท่ากับ, ใกล้เคียง
≌	คณิตศาสตร์, เท่ากัน, เท่ากันทั้งหมด, เท่ากันทุกประการ
≒	ภาพเท่ากันโดยประมาณ
≖	คณิตศาสตร์, วงแหวนในเท่ากัน, เท่ากัน
≡	ตรงกัน, สามขีด, เหมือน, เหมือนกับ
≣	คณิตศาสตร์, เท่ากัน, เท่ากันโดยแท้
≤	น้อยกว่า, น้อยกว่าหรือเท่ากับ, อสมการ, เท่ากัน, เท่ากับ
≥	มากกว่า, มากกว่าหรือเท่ากับ, อสมการ, เท่ากัน, เท่ากับ
≦	คณิตศาสตร์, น้อยกว่าเหนือเท่ากัน, ไม่เท่ากัน
≧	คณิตศาสตร์, มากกว่าเหนือเท่ากัน, ไม่เท่ากัน
≪	คณิตศาสตร์, น้อยกว่ามาก, ไม่เท่ากัน
≫	คณิตศาสตร์, มากกว่ามาก, ไม่เท่ากัน
≬	ระหว่าง
≳	คณิตศาสตร์, เท่ากันมากกว่า, ไม่เท่ากัน
≺	คณิตศาสตร์, ตัวดำเนินการของเซต, นำหน้า
≻	คณิตศาสตร์, ตัวดำเนินการของเซต, ตามหลัง
⊁	คณิตศาสตร์, ตัวดำเนินการของเซต, ไม่ตามหลัง
⊂	เซต, เซตย่อย, เซตย่อยของ
⊃	คณิตศาสตร์, ซุปเปอร์เซต, ตัวดำเนินการของเซต
⊆	เท่ากับเซตย่อย
⊇	คณิตศาสตร์, เท่ากัน, เท่ากับซุปเปอร์เซต
⊕	บวก, เครื่องหมายบวกในวงกลม
