‾	вінкулум, риска згори
🏄🏿	людина, людина, що займається серфінгом: темний тон шкіри, океан, пляж, серфер, серфінг, спортсмен, темний тон шкіри, хвилі
🏄‍♂	серфінг, серфінгіст, чоловік
🏄🏻‍♂	світлий тон шкіри, серфінг, серфінгіст, серфінгіст: світлий тон шкіри, чоловік
🏄🏼‍♂	помірно світлий тон шкіри, серфінг, серфінгіст, серфінгіст: помірно світлий тон шкіри, чоловік
🏄🏽‍♂	помірний тон шкіри, серфінг, серфінгіст, серфінгіст: помірний тон шкіри, чоловік
🏄🏾‍♂	помірно темний тон шкіри, серфінг, серфінгіст, серфінгіст: помірно темний тон шкіри, чоловік
🏄🏿‍♂	серфінг, серфінгіст, серфінгіст: темний тон шкіри, темний тон шкіри, чоловік
🏄‍♀	жінка, серфінг, серфінгістка, спорт
🏄🏻‍♀	жінка, світлий тон шкіри, серфінг, серфінгістка, серфінгістка: світлий тон шкіри, спорт
🏄🏼‍♀	жінка, помірно світлий тон шкіри, серфінг, серфінгістка, серфінгістка: помірно світлий тон шкіри, спорт
🏄🏽‍♀	жінка, помірний тон шкіри, серфінг, серфінгістка, серфінгістка: помірний тон шкіри, спорт
🏄🏾‍♀	жінка, помірно темний тон шкіри, серфінг, серфінгістка, серфінгістка: помірно темний тон шкіри, спорт
🏄🏿‍♀	жінка, серфінг, серфінгістка, серфінгістка: темний тон шкіри, спорт, темний тон шкіри
🚣	байдарка, весло, гребля, каное, людина, людина, що веслує на човні, озеро, рафт, рибалка, річка, транспорт, човен
🚣🏻	байдарка, весло, гребля, каное, людина, людина, що веслує на човні: світлий тон шкіри, озеро, рафт, рибалка, річка, світлий тон шкіри, транспорт, човен
🚣🏼	байдарка, весло, гребля, каное, людина, людина, що веслує на човні: помірно світлий тон шкіри, озеро, помірно світлий тон шкіри, рафт, рибалка, річка, транспорт, човен
🚣🏽	байдарка, весло, гребля, каное, людина, людина, що веслує на човні: помірний тон шкіри, озеро, помірний тон шкіри, рафт, рибалка, річка, транспорт, човен
🚣🏾	байдарка, весло, гребля, каное, людина, людина, що веслує на човні: помірно темний тон шкіри, озеро, помірно темний тон шкіри, рафт, рибалка, річка, транспорт, човен
🚣🏿	байдарка, весло, гребля, каное, людина, людина, що веслує на човні: темний тон шкіри, озеро, рафт, рибалка, річка, темний тон шкіри, транспорт, човен
🚣‍♂	весловий човен, човен, чоловік, чоловік, що веслує на човні, що веслує на човні
🚣🏻‍♂	весловий човен, світлий тон шкіри, човен, чоловік, чоловік, що веслує на човні, чоловік, що веслує на човні: світлий тон шкіри, що веслує на човні
🚣🏼‍♂	весловий човен, помірно світлий тон шкіри, човен, чоловік, чоловік, що веслує на човні, чоловік, що веслує на човні: помірно світлий тон шкіри, що веслує на човні
🚣🏽‍♂	весловий човен, помірний тон шкіри, човен, чоловік, чоловік, що веслує на човні, чоловік, що веслує на човні: помірний тон шкіри, що веслує на човні
🚣🏾‍♂	весловий човен, помірно темний тон шкіри, човен, чоловік, чоловік, що веслує на човні, чоловік, що веслує на човні: помірно темний тон шкіри, що веслує на човні
🚣🏿‍♂	весловий човен, темний тон шкіри, човен, чоловік, чоловік, що веслує на човні, чоловік, що веслує на човні: темний тон шкіри, що веслує на човні
🚣‍♀	весловий човен, жінка, жінка на веслах, жінка у весловому човні, жінка, що веслує на човні, човен, що веслує на човні
🚣🏻‍♀	весловий човен, жінка, жінка на веслах, жінка у весловому човні, жінка, що веслує на човні, жінка, що веслує на човні: світлий тон шкіри, світлий тон шкіри, човен, що веслує на човні
🚣🏼‍♀	весловий човен, жінка, жінка на веслах, жінка у весловому човні, жінка, що веслує на човні, жінка, що веслує на човні: помірно світлий тон шкіри, помірно світлий тон шкіри, човен, що веслує на човні
🚣🏽‍♀	весловий човен, жінка, жінка на веслах, жінка у весловому човні, жінка, що веслує на човні, жінка, що веслує на човні: помірний тон шкіри, помірний тон шкіри, човен, що веслує на човні
🚣🏾‍♀	весловий човен, жінка, жінка на веслах, жінка у весловому човні, жінка, що веслує на човні, жінка, що веслує на човні: помірно темний тон шкіри, помірно темний тон шкіри, човен, що веслує на човні
🚣🏿‍♀	весловий човен, жінка, жінка на веслах, жінка у весловому човні, жінка, що веслує на човні, жінка, що веслує на човні: темний тон шкіри, темний тон шкіри, човен, що веслує на човні
🏊️	вода, водний спорт, людина, людина, що пливе, плавання, плавати, плавець, спорт, спортсмен, триатлон
🏊🏻	вода, водний спорт, людина, людина, що пливе: світлий тон шкіри, плавання, плавати, плавець, світлий тон шкіри, спорт, спортсмен, триатлон
🏊🏼	вода, водний спорт, людина, людина, що пливе: помірно світлий тон шкіри, плавання, плавати, плавець, помірно світлий тон шкіри, спорт, спортсмен, триатлон
🏊🏽	вода, водний спорт, людина, людина, що пливе: помірний тон шкіри, плавання, плавати, плавець, помірний тон шкіри, спорт, спортсмен, триатлон
🏊🏾	вода, водний спорт, людина, людина, що пливе: помірно темний тон шкіри, плавання, плавати, плавець, помірно темний тон шкіри, спорт, спортсмен, триатлон
🏊🏿	вода, водний спорт, людина, людина, що пливе: темний тон шкіри, плавання, плавати, плавець, спорт, спортсмен, темний тон шкіри, триатлон
🏊‍♂	плавання, плавець, чоловік
🏊🏻‍♂	плавання, плавець, плавець: світлий тон шкіри, світлий тон шкіри, чоловік
🏊🏼‍♂	плавання, плавець, плавець: помірно світлий тон шкіри, помірно світлий тон шкіри, чоловік
🏊🏽‍♂	плавання, плавець, плавець: помірний тон шкіри, помірний тон шкіри, чоловік
🏊🏾‍♂	плавання, плавець, плавець: помірно темний тон шкіри, помірно темний тон шкіри, чоловік
🏊🏿‍♂	плавання, плавець, плавець: темний тон шкіри, темний тон шкіри, чоловік
🏊‍♀	жінка, плавання, плавчиня, спорт
🏊🏻‍♀	жінка, плавання, плавчиня, плавчиня: світлий тон шкіри, світлий тон шкіри, спорт
🏊🏼‍♀	жінка, плавання, плавчиня, плавчиня: помірно світлий тон шкіри, помірно світлий тон шкіри, спорт
🏊🏽‍♀	жінка, плавання, плавчиня, плавчиня: помірний тон шкіри, помірний тон шкіри, спорт
🏊🏾‍♀	жінка, плавання, плавчиня, плавчиня: помірно темний тон шкіри, помірно темний тон шкіри, спорт
🏊🏿‍♀	жінка, плавання, плавчиня, плавчиня: темний тон шкіри, спорт, темний тон шкіри
⛹️	баскетбол, баскетболіст, вести мʼяч, гравець, людина, людина, що веде мʼяч, мʼяч, спортсмен, точний кидок
⛹🏻	баскетбол, баскетболіст, вести мʼяч, гравець, людина, людина, що веде мʼяч: світлий тон шкіри, мʼяч, світлий тон шкіри, спортсмен, точний кидок
⛹🏼	баскетбол, баскетболіст, вести мʼяч, гравець, людина, людина, що веде мʼяч: помірно світлий тон шкіри, мʼяч, помірно світлий тон шкіри, спортсмен, точний кидок
⛹🏽	баскетбол, баскетболіст, вести мʼяч, гравець, людина, людина, що веде мʼяч: помірний тон шкіри, мʼяч, помірний тон шкіри, спортсмен, точний кидок
⛹🏾	баскетбол, баскетболіст, вести мʼяч, гравець, людина, людина, що веде мʼяч: помірно темний тон шкіри, мʼяч, помірно темний тон шкіри, спортсмен, точний кидок
⛹🏿	баскетбол, баскетболіст, вести мʼяч, гравець, людина, людина, що веде мʼяч: темний тон шкіри, мʼяч, спортсмен, темний тон шкіри, точний кидок
⛹‍♂	м’яч, чоловік, чоловік із м’ячем, чоловік, що веде мʼяч, що веде мʼяч
⛹🏻‍♂	м’яч, світлий тон шкіри, чоловік, чоловік із м’ячем, чоловік, що веде мʼяч, чоловік, що веде мʼяч: світлий тон шкіри, що веде мʼяч
⛹🏼‍♂	м’яч, помірно світлий тон шкіри, чоловік, чоловік із м’ячем, чоловік, що веде мʼяч, чоловік, що веде мʼяч: помірно світлий тон шкіри, що веде мʼяч
⛹🏽‍♂	м’яч, помірний тон шкіри, чоловік, чоловік із м’ячем, чоловік, що веде мʼяч, чоловік, що веде мʼяч: помірний тон шкіри, що веде мʼяч
⛹🏾‍♂	м’яч, помірно темний тон шкіри, чоловік, чоловік із м’ячем, чоловік, що веде мʼяч, чоловік, що веде мʼяч: помірно темний тон шкіри, що веде мʼяч
⛹🏿‍♂	м’яч, темний тон шкіри, чоловік, чоловік із м’ячем, чоловік, що веде мʼяч, чоловік, що веде мʼяч: темний тон шкіри, що веде мʼяч
⛹‍♀	баскетбол, жінка, жінка з м’ячем, жінка, що веде мʼяч, м’яч, спорт, що веде мʼяч
⛹🏻‍♀	баскетбол, жінка, жінка з м’ячем, жінка, що веде мʼяч, жінка, що веде мʼяч: світлий тон шкіри, м’яч, світлий тон шкіри, спорт, що веде мʼяч
⛹🏼‍♀	баскетбол, жінка, жінка з м’ячем, жінка, що веде мʼяч, жінка, що веде мʼяч: помірно світлий тон шкіри, м’яч, помірно світлий тон шкіри, спорт, що веде мʼяч
⛹🏽‍♀	баскетбол, жінка, жінка з м’ячем, жінка, що веде мʼяч, жінка, що веде мʼяч: помірний тон шкіри, м’яч, помірний тон шкіри, спорт, що веде мʼяч
⛹🏾‍♀	баскетбол, жінка, жінка з м’ячем, жінка, що веде мʼяч, жінка, що веде мʼяч: помірно темний тон шкіри, м’яч, помірно темний тон шкіри, спорт, що веде мʼяч
⛹🏿‍♀	баскетбол, жінка, жінка з м’ячем, жінка, що веде мʼяч, жінка, що веде мʼяч: темний тон шкіри, м’яч, спорт, темний тон шкіри, що веде мʼяч
🏋️	бодібілдер, важкоатлет, людина, людина піднімає штангу, паверліфтинг, спорт, спортсмен, станова тяга, тягар
🏋🏻	бодібілдер, важкоатлет, важкоатлет: світлий тон шкіри, людина, людина піднімає штангу, паверліфтинг, світлий тон шкіри, спорт, спортсмен, станова тяга, тягар
🏋🏼	бодібілдер, важкоатлет, важкоатлет: помірно світлий тон шкіри, людина, людина піднімає штангу, паверліфтинг, помірно світлий тон шкіри, спорт, спортсмен, станова тяга, тягар
🏋🏽	бодібілдер, важкоатлет, важкоатлет: помірний тон шкіри, людина, людина піднімає штангу, паверліфтинг, помірний тон шкіри, спорт, спортсмен, станова тяга, тягар
🏋🏾	бодібілдер, важкоатлет, важкоатлет: помірно темний тон шкіри, людина, людина піднімає штангу, паверліфтинг, помірно темний тон шкіри, спорт, спортсмен, станова тяга, тягар
🏋🏿	бодібілдер, важкоатлет, важкоатлет: темний тон шкіри, людина, людина піднімає штангу, паверліфтинг, спорт, спортсмен, станова тяга, темний тон шкіри, тягар
🏋‍♂	важка атлетика, чоловік, штангіст
🏋🏻‍♂	важка атлетика, світлий тон шкіри, чоловік, штангіст, штангіст: світлий тон шкіри
🏋🏼‍♂	важка атлетика, помірно світлий тон шкіри, чоловік, штангіст, штангіст: помірно світлий тон шкіри
🏋🏽‍♂	важка атлетика, помірний тон шкіри, чоловік, штангіст, штангіст: помірний тон шкіри
🏋🏾‍♂	важка атлетика, помірно темний тон шкіри, чоловік, штангіст, штангіст: помірно темний тон шкіри
🏋🏿‍♂	важка атлетика, темний тон шкіри, чоловік, штангіст, штангіст: темний тон шкіри
🏋‍♀	важка атлетика, жінка, людина, силачка, спорт, тренування, штангістка
🏋🏻‍♀	важка атлетика, жінка, людина, світлий тон шкіри, силачка, спорт, тренування, штангістка, штангістка: світлий тон шкіри
🏋🏼‍♀	важка атлетика, жінка, людина, помірно світлий тон шкіри, силачка, спорт, тренування, штангістка, штангістка: помірно світлий тон шкіри
🏋🏽‍♀	важка атлетика, жінка, людина, помірний тон шкіри, силачка, спорт, тренування, штангістка, штангістка: помірний тон шкіри
🏋🏾‍♀	важка атлетика, жінка, людина, помірно темний тон шкіри, силачка, спорт, тренування, штангістка, штангістка: помірно темний тон шкіри
🏋🏿‍♀	важка атлетика, жінка, людина, силачка, спорт, темний тон шкіри, тренування, штангістка, штангістка: темний тон шкіри
🚴	велосипед, велосипедист, кататися на велосипеді, людина, людина на велосипеді, людина, що їде на велосипеді, спортсмен, що їде на велосипеді, їзда на велосипеді
🚴🏻	велосипед, велосипедист, кататися на велосипеді, людина, людина на велосипеді, людина, що їде на велосипеді, людина, що їде на велосипеді: світлий тон шкіри, світлий тон шкіри, спортсмен, що їде на велосипеді, їзда на велосипеді
🚴🏼	велосипед, велосипедист, кататися на велосипеді, людина, людина на велосипеді, людина, що їде на велосипеді, людина, що їде на велосипеді: помірно світлий тон шкіри, помірно світлий тон шкіри, спортсмен, що їде на велосипеді, їзда на велосипеді
🚴🏽	велосипед, велосипедист, кататися на велосипеді, людина, людина на велосипеді, людина, що їде на велосипеді, людина, що їде на велосипеді: помірний тон шкіри, помірний тон шкіри, спортсмен, що їде на велосипеді, їзда на велосипеді
🚴🏾	велосипед, велосипедист, кататися на велосипеді, людина, людина на велосипеді, людина, що їде на велосипеді, людина, що їде на велосипеді: помірно темний тон шкіри, помірно темний тон шкіри, спортсмен, що їде на велосипеді, їзда на велосипеді
🚴🏿	велосипед, велосипедист, кататися на велосипеді, людина, людина на велосипеді, людина, що їде на велосипеді, людина, що їде на велосипеді: темний тон шкіри, спортсмен, темний тон шкіри, що їде на велосипеді, їзда на велосипеді
🚴‍♂	велик, велосипед, велосипедист, велосипедний спорт, ровер, чоловік
🚴🏻‍♂	велик, велосипед, велосипедист: світлий тон шкіри, велосипедний спорт, ровер, світлий тон шкіри, чоловік
🚴🏼‍♂	велик, велосипед, велосипедист: помірно світлий тон шкіри, велосипедний спорт, помірно світлий тон шкіри, ровер, чоловік
🚴🏽‍♂	велик, велосипед, велосипедист: помірний тон шкіри, велосипедний спорт, помірний тон шкіри, ровер, чоловік
🚴🏾‍♂	велик, велосипед, велосипедист: помірно темний тон шкіри, велосипедний спорт, помірно темний тон шкіри, ровер, чоловік
🚴🏿‍♂	велик, велосипед, велосипедист: темний тон шкіри, велосипедний спорт, ровер, темний тон шкіри, чоловік
🚴‍♀	велик, велосипед, велосипедистка, велосипедний спорт, жінка, ровер
🚴🏻‍♀	велик, велосипед, велосипедистка: світлий тон шкіри, велосипедний спорт, жінка, ровер, світлий тон шкіри
🚴🏼‍♀	велик, велосипед, велосипедистка: помірно світлий тон шкіри, велосипедний спорт, жінка, помірно світлий тон шкіри, ровер
🚴🏽‍♀	велик, велосипед, велосипедистка: помірний тон шкіри, велосипедний спорт, жінка, помірний тон шкіри, ровер
🚴🏾‍♀	велик, велосипед, велосипедистка: помірно темний тон шкіри, велосипедний спорт, жінка, помірно темний тон шкіри, ровер
🚴🏿‍♀	велик, велосипед, велосипедистка: темний тон шкіри, велосипедний спорт, жінка, ровер, темний тон шкіри
🚵	велосипед, велосипедист, гора, гірський велосипед, кататися на велосипеді, людина, людина, що їде на гірському велосипеді, спортсмен, що їде на гірському велосипеді, їзда на велосипеді
🚵🏻	велосипед, велосипедист, гора, гірський велосипед, кататися на велосипеді, людина, людина, що їде на гірському велосипеді, людина, що їде на гірському велосипеді: світлий тон шкіри, світлий тон шкіри, спортсмен, що їде на гірському велосипеді, їзда на велосипеді
🚵🏼	велосипед, велосипедист, гора, гірський велосипед, кататися на велосипеді, людина, людина, що їде на гірському велосипеді, людина, що їде на гірському велосипеді: помірно світлий тон шкіри, помірно світлий тон шкіри, спортсмен, що їде на гірському велосипеді, їзда на велосипеді
🚵🏽	велосипед, велосипедист, гора, гірський велосипед, кататися на велосипеді, людина, людина, що їде на гірському велосипеді, людина, що їде на гірському велосипеді: помірний тон шкіри, помірний тон шкіри, спортсмен, що їде на гірському велосипеді, їзда на велосипеді
🚵🏾	велосипед, велосипедист, гора, гірський велосипед, кататися на велосипеді, людина, людина, що їде на гірському велосипеді, людина, що їде на гірському велосипеді: помірно темний тон шкіри, помірно темний тон шкіри, спортсмен, що їде на гірському велосипеді, їзда на велосипеді
🚵🏿	велосипед, велосипедист, гора, гірський велосипед, кататися на велосипеді, людина, людина, що їде на гірському велосипеді, людина, що їде на гірському велосипеді: темний тон шкіри, спортсмен, темний тон шкіри, що їде на гірському велосипеді, їзда на велосипеді
🚵‍♂	велосипед, велосипедист, гори, гірський велосипедист, чоловік
🚵🏻‍♂	велосипед, велосипедист, гори, гірський велосипедист, гірський велосипедист: світлий тон шкіри, світлий тон шкіри, чоловік
🚵🏼‍♂	велосипед, велосипедист, гори, гірський велосипедист, гірський велосипедист: помірно світлий тон шкіри, помірно світлий тон шкіри, чоловік
🚵🏽‍♂	велосипед, велосипедист, гори, гірський велосипедист, гірський велосипедист: помірний тон шкіри, помірний тон шкіри, чоловік
🚵🏾‍♂	велосипед, велосипедист, гори, гірський велосипедист, гірський велосипедист: помірно темний тон шкіри, помірно темний тон шкіри, чоловік
🚵🏿‍♂	велосипед, велосипедист, гори, гірський велосипедист, гірський велосипедист: темний тон шкіри, темний тон шкіри, чоловік
🚵‍♀	велосипед, велосипедист, велосипедистка, гори, гірська велосипедистка, жінка, перегони, спорт
🚵🏻‍♀	велосипед, велосипедист, велосипедистка, гори, гірська велосипедистка, гірська велосипедистка: світлий тон шкіри, жінка, перегони, світлий тон шкіри, спорт
🚵🏼‍♀	велосипед, велосипедист, велосипедистка, гори, гірська велосипедистка, гірська велосипедистка: помірно світлий тон шкіри, жінка, перегони, помірно світлий тон шкіри, спорт
🚵🏽‍♀	велосипед, велосипедист, велосипедистка, гори, гірська велосипедистка, гірська велосипедистка: помірний тон шкіри, жінка, перегони, помірний тон шкіри, спорт
🚵🏾‍♀	велосипед, велосипедист, велосипедистка, гори, гірська велосипедистка, гірська велосипедистка: помірно темний тон шкіри, жінка, перегони, помірно темний тон шкіри, спорт
🚵🏿‍♀	велосипед, велосипедист, велосипедистка, гори, гірська велосипедистка, гірська велосипедистка: темний тон шкіри, жінка, перегони, спорт, темний тон шкіри
🤸	акробат, активний, гімнастика, колесо, людина, людина, що перевертається «колесом», піднесений, спорт, щасливий, що перевертається «колесом»
🤸🏻	акробат, активний, гімнастика, колесо, людина, людина, що перевертається «колесом», людина, що перевертається «колесом»: світлий тон шкіри, піднесений, світлий тон шкіри, спорт, щасливий, що перевертається «колесом»
🤸🏼	акробат, активний, гімнастика, колесо, людина, людина, що перевертається «колесом», людина, що перевертається «колесом»: помірно світлий тон шкіри, помірно світлий тон шкіри, піднесений, спорт, щасливий, що перевертається «колесом»
🤸🏽	акробат, активний, гімнастика, колесо, людина, людина, що перевертається «колесом», людина, що перевертається «колесом»: помірний тон шкіри, помірний тон шкіри, піднесений, спорт, щасливий, що перевертається «колесом»
🤸🏾	акробат, активний, гімнастика, колесо, людина, людина, що перевертається «колесом», людина, що перевертається «колесом»: помірно темний тон шкіри, помірно темний тон шкіри, піднесений, спорт, щасливий, що перевертається «колесом»
🤸🏿	акробат, активний, гімнастика, колесо, людина, людина, що перевертається «колесом», людина, що перевертається «колесом»: темний тон шкіри, піднесений, спорт, темний тон шкіри, щасливий, що перевертається «колесом»
🤸‍♂	акробат, активний, гімнастика, колесо, сальто, спорт, чоловік, чоловік робить колесо, чоловік, що перевертається «колесом», що перевертається «колесом»
🤸🏻‍♂	акробат, активний, гімнастика, колесо, сальто, світлий тон шкіри, спорт, чоловік, чоловік робить колесо, чоловік, що перевертається «колесом», чоловік, що перевертається «колесом»: світлий тон шкіри, що перевертається «колесом»
🤸🏼‍♂	акробат, активний, гімнастика, колесо, помірно світлий тон шкіри, сальто, спорт, чоловік, чоловік робить колесо, чоловік, що перевертається «колесом», чоловік, що перевертається «колесом»: помірно світлий тон шкіри, що перевертається «колесом»
🤸🏽‍♂	акробат, активний, гімнастика, колесо, помірний тон шкіри, сальто, спорт, чоловік, чоловік робить колесо, чоловік, що перевертається «колесом», чоловік, що перевертається «колесом»: помірний тон шкіри, що перевертається «колесом»
🤸🏾‍♂	акробат, активний, гімнастика, колесо, помірно темний тон шкіри, сальто, спорт, чоловік, чоловік робить колесо, чоловік, що перевертається «колесом», чоловік, що перевертається «колесом»: помірно темний тон шкіри, що перевертається «колесом»
🤸🏿‍♂	акробат, активний, гімнастика, колесо, сальто, спорт, темний тон шкіри, чоловік, чоловік робить колесо, чоловік, що перевертається «колесом», чоловік, що перевертається «колесом»: темний тон шкіри, що перевертається «колесом»
🤸‍♀	акробатика, гімнастика, жінка, жінка, що перевертається «колесом», колесо, переворот, сальто, спорт
🤸🏻‍♀	акробатика, гімнастика, жінка, жінка, що перевертається «колесом»: світлий тон шкіри, колесо, переворот, сальто, світлий тон шкіри, спорт
🤸🏼‍♀	акробатика, гімнастика, жінка, жінка, що перевертається «колесом»: помірно світлий тон шкіри, колесо, переворот, помірно світлий тон шкіри, сальто, спорт
🤸🏽‍♀	акробатика, гімнастика, жінка, жінка, що перевертається «колесом»: помірний тон шкіри, колесо, переворот, помірний тон шкіри, сальто, спорт
🤸🏾‍♀	акробатика, гімнастика, жінка, жінка, що перевертається «колесом»: помірно темний тон шкіри, колесо, переворот, помірно темний тон шкіри, сальто, спорт
🤸🏿‍♀	акробатика, гімнастика, жінка, жінка, що перевертається «колесом»: темний тон шкіри, колесо, переворот, сальто, спорт, темний тон шкіри
🤼	борець, боротьба, борці, бій, двобій, дуель, людина, поєдинок, спорт, турнір із вільної боротьби
🤼‍♂	борець, боротися, боротьба, двобій, дуель, людина, поєдинок, спорт, турнір із вільної боротьби, чоловік
🤼‍♀	боротися, боротьба, борці, борчиня, бій, двобій, жінка, на рингу, поєдинок, спорт, турнір
🤽	вода, водне поло, водний спорт, людина, людина, що грає у ватерполо, плавання, поло, спорт, що грає у ватерполо
🤽🏻	вода, водне поло, водний спорт, людина, людина, що грає у ватерполо, людина, що грає у ватерполо: світлий тон шкіри, плавання, поло, світлий тон шкіри, спорт, що грає у ватерполо
🤽🏼	вода, водне поло, водний спорт, людина, людина, що грає у ватерполо, людина, що грає у ватерполо: помірно світлий тон шкіри, плавання, поло, помірно світлий тон шкіри, спорт, що грає у ватерполо
🤽🏽	вода, водне поло, водний спорт, людина, людина, що грає у ватерполо, людина, що грає у ватерполо: помірний тон шкіри, плавання, поло, помірний тон шкіри, спорт, що грає у ватерполо
🤽🏾	вода, водне поло, водний спорт, людина, людина, що грає у ватерполо, людина, що грає у ватерполо: помірно темний тон шкіри, плавання, поло, помірно темний тон шкіри, спорт, що грає у ватерполо
🤽🏿	вода, водне поло, водний спорт, людина, людина, що грає у ватерполо, людина, що грає у ватерполо: темний тон шкіри, плавання, поло, спорт, темний тон шкіри, що грає у ватерполо
🤽‍♂	ватерполіст, водне поло, водний спорт, людина, плавання, поло, спорт, чоловік, чоловік грає у водне поло
🤽🏻‍♂	ватерполіст, ватерполіст: світлий тон шкіри, водне поло, водний спорт, людина, плавання, поло, світлий тон шкіри, спорт, чоловік, чоловік грає у водне поло
🤽🏼‍♂	ватерполіст, ватерполіст: помірно світлий тон шкіри, водне поло, водний спорт, людина, плавання, поло, помірно світлий тон шкіри, спорт, чоловік, чоловік грає у водне поло
🤽🏽‍♂	ватерполіст, ватерполіст: помірний тон шкіри, водне поло, водний спорт, людина, плавання, поло, помірний тон шкіри, спорт, чоловік, чоловік грає у водне поло
🤽🏾‍♂	ватерполіст, ватерполіст: помірно темний тон шкіри, водне поло, водний спорт, людина, плавання, поло, помірно темний тон шкіри, спорт, чоловік, чоловік грає у водне поло
🤽🏿‍♂	ватерполіст, ватерполіст: темний тон шкіри, водне поло, водний спорт, людина, плавання, поло, спорт, темний тон шкіри, чоловік, чоловік грає у водне поло
🤽‍♀	ватерполістка, водне поло, водний спорт, жінка, жінка грає у водне поло, людина, плавання, поло, спорт
🤽🏻‍♀	ватерполістка, ватерполістка: світлий тон шкіри, водне поло, водний спорт, жінка, жінка грає у водне поло, людина, плавання, поло, світлий тон шкіри, спорт
🤽🏼‍♀	ватерполістка, ватерполістка: помірно світлий тон шкіри, водне поло, водний спорт, жінка, жінка грає у водне поло, людина, плавання, поло, помірно світлий тон шкіри, спорт
🤽🏽‍♀	ватерполістка, ватерполістка: помірний тон шкіри, водне поло, водний спорт, жінка, жінка грає у водне поло, людина, плавання, поло, помірний тон шкіри, спорт
🤽🏾‍♀	ватерполістка, ватерполістка: помірно темний тон шкіри, водне поло, водний спорт, жінка, жінка грає у водне поло, людина, плавання, поло, помірно темний тон шкіри, спорт
🤽🏿‍♀	ватерполістка, ватерполістка: темний тон шкіри, водне поло, водний спорт, жінка, жінка грає у водне поло, людина, плавання, поло, спорт, темний тон шкіри
🤾	гандбол, кидок, ловити, людина, людина, що грає у гандбол, м’яч, перекидати мʼяч, подача, спорт, що грає у гандбол
🤾🏻	гандбол, кидок, ловити, людина, людина, що грає у гандбол, людина, що грає у гандбол: світлий тон шкіри, м’яч, перекидати мʼяч, подача, світлий тон шкіри, спорт, що грає у гандбол
🤾🏼	гандбол, кидок, ловити, людина, людина, що грає у гандбол, людина, що грає у гандбол: помірно світлий тон шкіри, м’яч, перекидати мʼяч, подача, помірно світлий тон шкіри, спорт, що грає у гандбол
🤾🏽	гандбол, кидок, ловити, людина, людина, що грає у гандбол, людина, що грає у гандбол: помірний тон шкіри, м’яч, перекидати мʼяч, подача, помірний тон шкіри, спорт, що грає у гандбол
🤾🏾	гандбол, кидок, ловити, людина, людина, що грає у гандбол, людина, що грає у гандбол: помірно темний тон шкіри, м’яч, перекидати мʼяч, подача, помірно темний тон шкіри, спорт, що грає у гандбол
🤾🏿	гандбол, кидок, ловити, людина, людина, що грає у гандбол, людина, що грає у гандбол: темний тон шкіри, м’яч, перекидати мʼяч, подача, спорт, темний тон шкіри, що грає у гандбол
🤾‍♂	гандбол, гандболіст, гол, гра, змагання, спорт, чоловік
🤾🏻‍♂	гандбол, гандболіст, гандболіст: світлий тон шкіри, гол, гра, змагання, світлий тон шкіри, спорт, чоловік
🤾🏼‍♂	гандбол, гандболіст, гандболіст: помірно світлий тон шкіри, гол, гра, змагання, помірно світлий тон шкіри, спорт, чоловік
🤾🏽‍♂	гандбол, гандболіст, гандболіст: помірний тон шкіри, гол, гра, змагання, помірний тон шкіри, спорт, чоловік
🤾🏾‍♂	гандбол, гандболіст, гандболіст: помірно темний тон шкіри, гол, гра, змагання, помірно темний тон шкіри, спорт, чоловік
