‾	överstreck
😇	ansikte, gloria, leende, leende ansikte med gloria
🥰	ansikte, förtjust, hjärtan, kär, leende, leende ansikte med tre hjärtan, romantik, älskar
😍	ansikte, gullig, hjärta, kärlek, leende, leende ansikte med hjärtformade ögon, söt, älskar, ögon
🤩	ansikte, glad, imponerad, stjärnsmäll, stjärnögd, stjärnögt ansikte, wow
😘	ansikte, ansikte ger en slängkyss, hjärta, puss, slängkyss, älskar
😗	ansikte, plutar, puss, pussande ansikte
☺️	ansikte, glad, leende, leende ansikte, nöjd, smiley
😚	ansikte, blundar, glad, kinder, puss, pussande ansikte med slutna ögon, rosiga
😙	ansikte, glad, godnatt, leende, puss, pussande ansikte med leende ögon, ögon
🥲	ansikte, berörd, leende, lättad, smiley, stolt, tacksam, tår, tårögt, tårögt leende ansikte
😋	ansikte, ansikte som njuter av god mat, dreglar, god, gott, hungrig, leende, mat, mums, njuter, smakar, tunga
😛	ansikte, ansikte räcker ut tungan, blä, räcker ut, tunga
😜	ansikte, blinkande, blinkande ansikte räcker ut tungan, knäpp, räcker ut, skojar, tokigt, tungan
🤪	ansikte, liten, skojar, stor, tokigt, tokigt ansikte, tunga, öga
😝	ansikte, ansikte räcker ut tungan med stängda ögon, kniper ihop, räcker ut, tunga, äckligt, ögon
🤑	ansikte, ansikte med dollarögon, dollarögon, girig, pengamun, pengar, tjäna
🤗	ansikte, ansikte som kramas, glad, hej, kram, leende, vinkar
🤭	ansikte, ansikte med handen för munnen, fnissar, hand, hoppsan, mun
🫢	ansikte, ansikte med ögonen öppna och handen för munnen, chockad, förvånad, generad, hand, misstro, mun, oops, rädd, stora, åh nej, ögon, överraskad, överväldigad
🫣	ansikte, ansikte med kikande öga, blyg, fängslad, försiktig, kikar, rädd, tjuvkikar, öga
🤫	ansikte, hemlighet, hyssjande ansikte, hyssjar, tyst
🤔	ansikte, ansikte som tänker, funderar, fundersamt, tänker, undrar
🫡	ajaj kapten, ansikte, ansikte som gör honnör, honnör, hälsa, instämma, ja, lycka till, ok, salutera
🤐	ansikte, ansikte som tiger, dragkedja, hemlighet, håller, mun, tiger, tyst
🤨	ansikte, ansikte med höjt ögonbryn, höjt, skeptisk, tveksam, ögonbryn
😐️	ansikte, ingen, kommentar, neutralt, neutralt ansikte
😑	ansikte, ingen, kommentar, uttryckslöst, uttryckslöst ansikte
😶	ansikte, ansikte utan mun, hemlighet, mun, stum, tyst, utan, uttryckslös
🫥	ansikte, deprimerad, försvinner, gömd, introvert, osynlig, osynligt ansikte
😶‍🌫	ansikte, ansikte i moln, dimma, disträ, glömsk, moln, tankspridd
😏	ansikte, flin, halvleende, halvleende ansikte, småleende
😒	ansikte, less, missnöjd, missnöjt ansikte, sur
🙄	ansikte, ansikte som himlar med ögonen, himlar, osäker, ögon
😬	ansikte, biter ihop, grimaserande ansikte, grimaserar, tänder
😮‍💨	andas ut, ansikte, ansikte andas ut, ledsen, pustar, suckar
🤥	ansikte, ljugande, ljugande ansikte, ljuger, lögn, näsa, pinocchio, växer
🫨	ansikte, chock, förvirring, galet, jordbävning, panik, shock, skakande, skakande ansikte, vibrera, överraskad
🙂‍↔	horisontellt, huvud, huvud skakar horisontellt, nej, skakar
🙂‍↕	huvud, huvud skakar vertikalt, ja, nickar, skakar, vertikalt
😌	ansikte, lugn, lättat, lättat ansikte, lättnad
😔	ansikte, funderande, funderande ansikte, funderar, ledsen, sörjer, tänker
😪	ansikte, gråtande, sömnig, sömnigt ansikte, trött
🤤	ansikte, dreglande ansikte, dreglar
😴	ansikte, gäsp, snarkar, sovande ansikte, sover, sängdags, sömnig, trött, zzz
🫩	ansikte, ansikte med påsar under ögonen, rödögd, sent, sömnig, trött, utmattad
😷	ansikte, ansikte med munskydd, baciller, läkare, munskydd, sjuk, smitta, virus
🤒	ansikte, ansikte med termometer, feber, sjuk, termometer
🤕	aj, ansikte, ansikte med bandage på huvudet, bandage, huvud, skadad
🤢	ansikte, kasta upp, kräks, mår illa, spy, äcklad, äcklat ansikte
🤮	ansikte, illamående, kräkande ansikte, kräks, spyr
🤧	ansikte, atjoo, nysa, nysande ansikte, nyser, prosit
🥵	ansikte, febrig, hett, hett ansikte, rött, svett, varmt, värmeslag, överhettad
🥶	ansikte, blått, frostbiten, frusen, istappar, kall, kallt ansikte, minus, snö
🥴	ansikte, full, mun, ostadig, på örat, påverkad, vågig, yr, yrt ansikte
😵	ansikte, död, knockad, kryss, omtumlad, omtumlat ansikte, yr, ögon
😵‍💫	ansikte, ansikte med spiralögon, fara, fundersam, förvirrad, hypnotiserad, snurrig, spiralögon, yrsel
🤯	chockad, exploderande, exploderande huvud, huvud
🤠	ansikte, ansikte med cowboyhatt, cowboy, cowboyhatt, cowgirl, hatt
