‾	överstreck
👨‍👩‍👦	barn, familj, familj: man, kvinna, pojke, kvinna, mamma, mamma och pappa och en son, man, människor, pappa, pojke
👨‍👩‍👧	barn, familj, familj: man, kvinna, flicka, flicka, kvinna, mamma, mamma och pappa och en son, man, människor, pappa
👨‍👩‍👧‍👦	barn, familj, familj: man, kvinna, flicka, pojke, flicka, kvinna, mamma, mamma och pappa och en son, man, människor, pappa, pojke
👨‍👩‍👦‍👦	barn, familj, familj: man, kvinna, pojke, pojke, kvinna, mamma, mamma och pappa och en son, man, människor, pappa, pojke
👨‍👩‍👧‍👧	barn, familj, familj: man, kvinna, flicka, flicka, flicka, kvinna, mamma, mamma och pappa och en son, man, människor, pappa
👨‍👨‍👦	barn, familj, familj: man, man, pojke, mamma, mamma och pappa och en son, man, människor, pappa, pojke
👨‍👨‍👧	barn, familj, familj: man, man, flicka, flicka, mamma, mamma och pappa och en son, man, människor, pappa
👨‍👨‍👧‍👦	barn, familj, familj: man, man, flicka, pojke, flicka, mamma, mamma och pappa och en son, man, människor, pappa, pojke
👨‍👨‍👦‍👦	barn, familj, familj: man, man, pojke, pojke, mamma, mamma och pappa och en son, man, människor, pappa, pojke
👨‍👨‍👧‍👧	barn, familj, familj: man, man, flicka, flicka, flicka, mamma, mamma och pappa och en son, man, människor, pappa
👩‍👩‍👦	barn, familj, familj: kvinna, kvinna, pojke, kvinna, mamma, mamma och pappa och en son, människor, pappa, pojke
👩‍👩‍👧	barn, familj, familj: kvinna, kvinna, flicka, flicka, kvinna, mamma, mamma och pappa och en son, människor, pappa
👩‍👩‍👧‍👦	barn, familj, familj: kvinna, kvinna, flicka, pojke, flicka, kvinna, mamma, mamma och pappa och en son, människor, pappa, pojke
👩‍👩‍👦‍👦	barn, familj, familj: kvinna, kvinna, pojke, pojke, kvinna, mamma, mamma och pappa och en son, människor, pappa, pojke
👩‍👩‍👧‍👧	barn, familj, familj: kvinna, kvinna, flicka, flicka, flicka, kvinna, mamma, mamma och pappa och en son, människor, pappa
👨‍👦	barn, familj, familj: man, pojke, mamma, mamma och pappa och en son, man, människor, pappa, pojke
👨‍👦‍👦	barn, familj, familj: man, pojke, pojke, mamma, mamma och pappa och en son, man, människor, pappa, pojke
👨‍👧	barn, familj, familj: man, flicka, flicka, mamma, mamma och pappa och en son, man, människor, pappa
👨‍👧‍👦	barn, familj, familj: man, flicka, pojke, flicka, mamma, mamma och pappa och en son, man, människor, pappa, pojke
👨‍👧‍👧	barn, familj, familj: man, flicka, flicka, flicka, mamma, mamma och pappa och en son, man, människor, pappa
👩‍👦	barn, familj, familj: kvinna, pojke, kvinna, mamma, mamma och pappa och en son, människor, pappa, pojke
👩‍👦‍👦	barn, familj, familj: kvinna, pojke, pojke, kvinna, mamma, mamma och pappa och en son, människor, pappa, pojke
👩‍👧	barn, familj, familj: kvinna, flicka, flicka, kvinna, mamma, mamma och pappa och en son, människor, pappa
👩‍👧‍👦	barn, familj, familj: kvinna, flicka, pojke, flicka, kvinna, mamma, mamma och pappa och en son, människor, pappa, pojke
👩‍👧‍👧	barn, familj, familj: kvinna, flicka, flicka, flicka, kvinna, mamma, mamma och pappa och en son, människor, pappa
🗣️	silhuett, silhuett som talar, talar
👤	figur, figur i silhuett, människa
👥	figurer, figurer i silhuett, människor
🫂	adjö, hej, kram, personer kramas, tack
👪️	barn, familj, mamma, mamma och pappa och en son, människor, pappa
🧑‍🧑‍🧒	barn, familj, familj, vuxen, vuxen, barn, vuxen
🧑‍🧑‍🧒‍🧒	barn, familj, familj, vuxen, vuxen, barn, barn, vuxen
🧑‍🧒	barn, familj, familj, vuxen, barn, vuxen
🧑‍🧒‍🧒	barn, familj, familj, vuxen, barn, barn, vuxen
👣	avtryck, fotavtryck, fötter
🫆	fingeravtryck, identitet, kriminalteknik, säkerhet
🦰	rödhårig, röllig, rött hår
🦱	afrohår, korkskruvar, lockar, lockigt hår
🦳	gammal, grått hår, vithårig, vitt hår
🦲	kemoterapi, skallig, skinhead, utan hår
🐵	apa, apansikte, djur
🐒	apa, djur
🦍	djur, gorilla
🦧	apa, orangutang
🐶	djur, hund, hundansikte
🐕️	djur, hund, valp
🦮	blindhund, hjälp, hund, ledarhund, service
🐕‍🦺	hjälp, hund, service, servicehund, tillgång
🐩	djur, hund, pudel
🐺	djur, varg, vargansikte
🦊	ansikte, djur, räv, rävansikte
🦝	nyfiken, slug, tvättbjörn
🐱	djur, katt, kattansikte
🐈️	djur, katt
🐈‍⬛	djur, halloween, katt, mjau, otur, skrock, svart, svart katt
🦁	djur, lejon, lejonansikte
🐯	djur, tiger, tigeransikte
🐅	djur, tiger
🐆	djur, leopard
🐴	djur, häst, hästansikte
🫎	alces, djur, däggdjur, hjortdjur, horn, älg, älghorn
🫏	djur, däggdjur, envis, mula, mulåsna, åsna
🐎	djur, galopp, galopperande häst, häst
🦄	djur, enhörning, enhörningsansikte
🦓	ränder, zebra
🦌	djur, hjort
🦬	bisonoxe, buffalo, hjord, visent
🐮	djur, ko, koansikte
🐂	oxe, oxen, stjärntecken, tjur
🐃	djur, vattenbuffel
🐄	djur, ko, kossa
🐷	djur, gris, grisansikte
🐖	gris, so, sugga
🐗	djur, svin, vildsvin
🐽	djur, gris, gristryne, tryne
🐏	bagge, får, stjärntecken, vädur
🐑	får, tacka
🐐	get, stenbock, stjärntecken
🐪	dromedar, puckel
🐫	kamel, puckel, pucklar
🦙	alpaca, guanaco, lama, ull, vicuña
🦒	giraff, prickar
🐘	djur, elefant
🦣	betar, mammut, stor, utrotad
🦏	djur, horn, noshörning, näsa
🦛	flodhäst, hovdjur
🐭	djur, mus, musansikte
🐁	djur, mus
🐀	djur, råtta
🐹	djur, hamster, hamsteransikte
🐰	djur, kanin, kaninansikte
🐇	djur, kanin
🐿️	djur, jordekorre
🦫	bäver, damm
🦔	igelkott, taggig
🦇	djur, fladdermus, vampyr
🐻	björn, björnansikte, djur
🐻‍❄	björn, is, isbjörn, vit
🐨	djur, koala, koala-ansikte, koalabjörn
🐼	djur, panda, pandaansikte
🦥	lat, långsam, sengångare
🦦	fiskar, lekfull, utter
🦨	skunk, stank
🦘	Australien, hoppa, joey, känguru, pungdjur
🦡	grävling, honungsgrävling, plåga
🐾	djur, tassar, tassavtryck
🦃	fågel, kalkon
🐔	fågel, höna
🐓	fågel, tupp
🐣	fågel, kläckt, kyckling, nykläckt kyckling
🐤	djur, kyckling, kycklingansikte
🐥	fågel, kyckling, kyckling framifrån
🐦️	djur, fågel, fågelansikte
🐧	fågel, pingvin, pingvinansikte
🕊️	duva, fred, fredsduva, fågel
🦅	fågel, örn
🦆	and, fågel
🦢	den fula ankungen, fågel, svan
🦉	fågel, uggla, vis
🦤	Dront, Mauritius, dront, stor, utrotad
🪶	fjäder, fjäderdräkt, fågel, fågelfjäder, lätt
🦩	flambojant, flamingo, tropisk
🦚	fågel, praktfull, påfågel, stolt
🦜	fågel, papegoja, pirat, prata
🪽	flyga, flyger, fågel, himmelsk, mytologi, stiga, vinge, änglalik
🐦‍⬛	djur, fågel, koltrast, korp, kraxa, kråka, näbb, råka, svart
🪿	and, anka, dum, flock, fä, fågel, fånig, gås, kackel, rolig
🐦‍🔥	eldfågel, fantasy, fenix, förnyelse, pånyttfödelse, reinkarnation
🐸	djur, groda, grodansikte
🐊	djur, krokodil
🐢	havssköldpadda, padda, sköldpadda
🦎	kräldjur, ödla
🐍	djur, orm
🐲	djur, drakansikte, drake
🐉	djur, drake
🦕	brachiosaurus, brontosaurus, diplodocus, sauropod
🦖	T-rex, Tyrannosaurus Rex
🐳	djur, val, val som sprutar vatten, vatten
🐋	djur, val
🐬	delfin, djur
🦭	sjölejon, säl
🐟️	fisk, fiskarna, stjärntecken
🐠	djur, fisk, tropisk, tropisk fisk
🐡	blåsfisk, djur, fisk
🦈	fisk, haj
🐙	bläckfisk, djur
🐚	djur, snäcka, snäckskal
🪸	klimatförändring, korall, ocean, rev
🪼	bränner, brännmanet, hav, manet, nässeldjur, ocean, svida, svider, tentakler
🐌	djur, snigel
🦋	fjäril, insekt, sommar, vacker
🐛	djur, kryp, larv, tusenfoting
🐜	djur, insekt, myra
🐝	bi, djur, geting, insekt
🪲	insekt, skalbagge, småkryp
🐞	djur, insekt, nyckelpiga, skalbagge
🦗	gräshoppa, syrsa
🪳	insekt, kackerlacka, skadedjur
🕷️	djur, insekt, spindel
🕸️	nät, spindel, spindelnät
🦂	skorpion, skorpionen, stjärntecken
🦟	insekt, malaria, mygga, sjukdom, virus
🪰	asätande insekt, fluga, sjukdom
🪱	daggmask, mask, parasit, ringmask
🦠	amöba, bakterie, mikrob, mikrober, virus
💐	blombukett, blommor, kärlek
🌸	blomma, körsbär, körsbärsblomma
💮	blomma, vit blomma
🪷	Indien, Vietnam, blomma, buddhism, hinduism, lotus, renhet
🏵️	bandros, blomma
🌹	blomma, ros
🥀	blomma, torkad, vissen, vissnad blomma
🌺	blomma, hibiskus, hibiskusblomma
🌻	blomma, solros
🌼	blomma, blomster, växt
🌷	blomma, tulpan
🪻	blomma, bluebonnet, hyacint, lavendel, lila, luktärter, lupin, purpur, violblå, violett
🌱	grodd, skott, växtskott
🪴	inomhus, krukväxt, odla, växt
🌲	barrträd, gran, träd, vintergrön
🌳	lövfällande, lövträd, träd
🌴	palm, träd
🌵	kaktus, växt
🌾	planta, ris, risax, risplanta
🌿	blad, ört
☘️	Irland, treklöver
🍀	Irland, fyrklöver, klöver, lycka, tur
🍁	höst, lönnlöv, löv, rödgult lönnlön
🍂	fallande löv, faller, fallna löv, höst, höstlöv, löv
🍃	blåser, fladdrande, höst, löv, löv i vinden, vind
🪹	rede, ruva, tomt bo
🪺	bo med ägg, fågelbo, rede med ägg, ruva
🍄	flugsvamp, svamp, växt
🪾	kargt, torka, träd utan löv, vinter
🍇	frukt, vindruvor
🍈	frukt, melon
🍉	frukt, melon, vattenmelon, vattenmelonskiva
🍊	citrusfrukt, frukt, mandarin
🍋	citron, citrusfrukt, frukt
🍋‍🟩	citrusfrukt, frukt, lime, tropisk
🍌	banan, frukt
🍍	ananas, frukt
🥭	frukt, mango, tropisk frukt
🍎	frukt, hälsa, mat, moget, nyttigt, rött, rött äpple, sunt, äpple
🍏	frukt, grönt, grönt äpple, äpple
🍐	frukt, päron
🍑	frukt, persika
🍒	frukt, körsbär
🍓	bär, frukt, jordgubbe
🫐	blåbär
🥝	frukt, kiwi, kiwifrukt, mat
🍅	grönsak, tomat
🫒	mat, oliv
🥥	halv kokosnöt, kokosnöt, palm, piña colada
🥑	avokado, frukt, mat
🍆	aubergine, grönsak, äggplanta
🥔	grönsak, mat, potatis
🥕	grönsak, mat, morot, rotfrukt
🌽	majs, majskolv
🌶️	chili, peppar, starkt, växt
🫑	grönsak, paprika
🥒	grönsak, gurka, mat
🥬	bok choy, grönkål, kål, sallad, salladsblad, sallat
🥦	broccoli, kål
🧄	smaksättning, vitlök
🧅	gul lök, lök, smaksättning
🥜	grönsak, jordnöt, jordnötter, mat, nöt
🫘	bönor, kidneybönor, mat, små
🌰	kastanj, växt
🫚	hälsa, ingefära, krydda, kryddväxt, rot, öl, ört
🫛	bönor, bönstjälk, edamame, grönsaker, sojaböna, ärta, ärtskida
🍄‍🟫	brun flugsvamp, brun svamp, brunsvamp, grönsaker, mat, natur, sopp, svamp, tryffel, trädgårdschampinjon
🫜	grönsak, rotfrukt, rova, rödbeta, trädgård
🍞	bröd, limpa
🥐	bröd, croissant, fransk, mat
🥖	baguette, bröd, fransk, mat
🫓	naanbröd, pitabröd, tunnbröd
🥨	pretzel, snurrad
🥯	bagel, bakverk, bröd
🥞	crêpes, mat, pannkaka, pannkakor
🧇	våffeldagen, våffeljärn, våffla
🧀	ost, ostbit
🍖	kött, köttben, på ben
🍗	kyckling, kycklinglår, lår
🥩	fläskkotlett, lammkotlett, stek, styckdel
🥓	bacon, kött, mat
🍔	burgare, hamburgare
🍟	pommes, pommes frites
🍕	bit, pizza, pizzabit
🌭	korv, mat, varmkorv
🥪	bröd, macka, smörgås
🌮	fredagsmys, mat, mexikanskt, taco
🌯	burrito, fredagsmys, mat, mexikanskt
🫔	mexikanskt, tamale, wrap
🥙	falafel, gyro, kebab, mat, pita, pitabröd
🧆	falafel, kikärter, köttbulle
🥚	mat, ägg
🍳	laga mat, matlagning, steka ägg
🥘	mat, paella, stekpanna
🍲	gryta, mat, varm gryta
🫕	choklad, fondue, gryta, ost, schweiziskt, smältande
🥣	flingor, frukost, skål och sked
🥗	grön, grönsallad, mat, sallad
🍿	bio, popcorn, snacks
🧈	mjölkprodukt, smör
🧂	krydda, salt, saltkar, saltströare
🥫	burk, konserv, konservburk
🍱	bento, bentolåda, låda
🍘	kex, ris, riskaka
🍙	ris, risboll, risportion
🍚	kokt ris, ris
🍛	curry, curry och ris, ris
🍜	nudlar, rykande, skål, skål nudelsoppa, soppa
🍝	mat, pasta, spagetti
🍠	rostad potatis, rostad sötpotatis, sötpotatis
🍢	skaldjur, skaldjursspett, spett
🍣	sushi
🍤	friterad, friterad räka, räka, tempura
🍥	fisk, fiskkaka, snurrad fiskkaka
🥮	festival, höst, månfest, månkaka
🍡	dango, efterrätt, japan
🥟	degknyte, dumpling, empanada, gyōza, jiaozi, pirog
🥠	lyckokaka, profetia
🥡	hämtmatkartong, takeout box
🦀	krabba, kräfta, skaldjur, stjärntecken
🦞	fisksoppa, hummer, klor, skaldjur
🦐	liten, mat, räka, skaldjur
🦑	bläck, bläckfisk, mat, mindre bläckfisk, skaldjur
🦪	dyka, ostron, pärlor
🍦	efterrätt, glass, mjukglass
🍧	dessert, efterrätt, is, kakigōri
🍨	efterrätt, glass
🍩	donut, munk
🍪	desert, efterrätt, kaka, småbröd
🎂	Fest, Grattis, Tårta med ljus på, fest, födelsedag, födelsedagstårta, fördelsedagstårta, tårta
🍰	kaka, kakbit, tårta, tårtbit
🧁	bakelse, bakverk, muffin
🥧	deg, fyllnad, paj
🍫	choklad, chokladbit, chokladkaka, godis
🍬	godis, karamell
🍭	godis, klubba
🍮	brylépudding, efterrätt
🍯	burk, honung, honungsburk
🍼	dryck, flaska, mjölk, nappflaska
🥛	dryck, glas, mjölk, mjölkglas
☕️	dryck, kaffe, te, varm, varm dryck, ångande
🫖	dryck, kanna, te, tekanna
🍵	te, tekopp, varm dryck
🍶	dryck, flaska, flaska och kopp med saké, kopp, sake
🍾	bubbel, champagne, fest, nyår
🍷	dryck, glas, rödvinsglas, vin, vinglas
🍸️	cocktail, cocktailglas, drink
🍹	alkohol, bar, cocktail, drink, drinkar, festa, full, mai tai, nattklubb, party, supa, tropisk, tropisk drink
🍺	glas, stop, öl, ölglas, ölstop
🍻	glas, skål, skålande ölglas, skålande ölstop, öl
🥂	dryck, fira, glas, skål, skålande glas
🥃	brännvin, glas, shot, sprit, whisky, whiskyglas
🫗	dryck, glas, hälla, hälla vätska, oj då!, spilla, tomt
🥤	juice, läskedryck, mugg med sugrör
🧋	bubbelte, mjölk, pärlor, tapiokapärlor, te
🧃	dryckesförpackning, dryckeskartong
🧉	dryck, mate-te
🧊	isberg, isbit, kallt
🥢	ätpinnar
🍽️	bestick, dukning, kniv och gaffel, tallrik, tallrik, kniv och gaffel, äta
🍴	bestick, gaffel, gaffel och kniv, hungrig, kniv, kniv och gaffel, mat, matdags, middag, äta
🥄	bestick, sked
🔪	kniv, kökskniv
🫙	behållare, burk, förvaring, krydda, sås, tom
🏺	amfora, kruka, krus
🌍	Afrika, Europa, jorden, jordglob Europa–Afrika, jordglob som visar Europa och Afrika
🌎️	jorden, jordglob, jordglob nord- och sydamerika, jordglob som visar nord- och sydamerika, nord- och sydamerika
🌏	Asien, Australien, jorden, jordglob Asien–Australien, jordglob som visar Asien och Australien
🌐	jordglob med meridianer, meridianer
🗺️	karta, världen, världskarta
🗾	Japan, karta, karta över Japan
🧭	kompass, magnetisk, navigation, orientering
🏔️	berg, kallt, snö, snöklädda berg, snöklätt berg
⛰️	berg
🌋	vulkan, vulkanutbrott
🗻	Fuji, berg
🏕️	camping, tält
🏖️	parasoll, strand, strand med parasoll
🏜️	torrt, varmt, öken
🏝️	ö, öde, öde ö
🏞️	nationalpark, park
🏟️	stadion
🏛️	byggnad, klassisk byggnad, sevärdhet
🏗️	byggarbetsplats, bygge
🧱	bruk, lera, tegelsten, tegelstenar, tegelstensvägg, vägg
🪨	berg, bumling, klippa, sten
🪵	stock, stubbe, timmerstock, trä, trästock, trästockar, ved
🛖	hydda, koja, kåta
🏘️	byggnader, flera hus, hus
🏚️	fallfärdigt hus, förfallet, hus, öde, ödehus
🏠️	byggnad, hus
🏡	hus, hus med trädgård, trädgård
🏢	byggnad, kontor, kontorsbyggnad
🏣	byggnad, japanskt postkontor, postkontor
🏤	byggnad, europeiskt postkontor, postkontor
🏥	byggnad, sjukhus
🏦	bank, byggnad
🏨	byggnad, hotell
🏩	byggnad, hotell, hotell med hjärta, kärlek, kärlekshotell
🏪	affär, butik, butik som har öppet dygnet runt, byggnad, jourbutik
🏫	byggnad, skola, skolbyggnad
🏬	butik, varuhus
🏭️	byggnad, fabrik
🏯	japanskt slott, slott
🏰	europeiskt slott, slott
💒	bröllop, bröllopskapell, kyrka, kärlek
🗼	Tokyo, Tokyo Tower, torn, torn i Tokyo
🗽	Frihetsgudinnan, frihet, frihetsgudinnan, new york, ny, nyc, staty
⛪️	byggnad, kristen, kyrka
🕌	islam, moské, muslim, religion
🛕	hindu, hindutempel, tempel
🕍	judisk, religion, synagoga, tempel
⛩️	religion, shinto, shintohelgedom
🕋	islam, kaba, muslim, religion
⛲️	fontän, springbrunn
⛺️	camping, tält
🌁	dimma, dimmigt
🌃	natt, stjärnklar natt, stjärnor
🏙️	höga hus, skyskrapa, stadsbild, storstad
🌄	berg, morgonsol, soluppgång, soluppgång vid berg, soluppgång över berg
🌅	morgonsol, soluppgång
🌆	byggnader, kväll, skymning, solnedgång, stad i skymning, stadsvy
🌇	byggnader, skymning, solnedgång, solnedgång över stad
🌉	bro, bro på natten, natt
♨️	het källa, termalkälla, varma källor, ångande
🎠	häst, karusell, karusellhäst
🛝	leka, lekplats, nöjesfält, rutschbana
🎡	karusell, nöjespark, pariserhjul
🎢	berg- och dalbana, karusell, nöjespark
💈	barberare, barberarstolpe, frisör, stolpe
🎪	cirkus, cirkustält, tält
🚂	fordon, lok, lokomotiv, tåg, ånglok
🚃	fordon, järnväg, tåg, tågvagn
🚄	fordon, snabbtåg, tåg
🚅	Shinkansen, TGV, fordon, höghastighetståg, tåg
🚆	fordon, järnväg, tåg
🚇️	fordon, metro, tunnelbana
🚈	fordon, lättbana, snabbspårväg, snabbtåg
🚉	station, tåg, tågstation
🚊	fordon, spårvagn
🚝	balkbana, fordon, monorail, tåg
🚞	bergbana, bergsbana, bergståg, järnväg
🚋	fordon, spårvagn, spårvagnsvagn
🚌	buss, fordon
🚍️	buss, fordon, mötande, mötande buss
🚎	buss, fordon, trådbuss
🚐	buss, fordon, minibuss
🚑️	ambulans, fordon
🚒	brandbil, fordon
🚓	fordon, polis, polisbil
🚔️	fordon, mötande polisbil, polis, polisbil
🚕	fordon, taxi
🚖	fordon, mötande taxi, taxi, taxi framifrån
🚗	bil, fordon
🚘️	bil, bilar, fordon, körde, mötande, mötande bil
🚙	SUV, bil, fordon
🛻	lastbil, pickup, transportvagn, varubil
🚚	budbil, fordon, skåpbil
🚛	fordon, lastbil
🚜	fordon, traktor
🏎️	bil, racerbil, sport
🏍️	motorcykel, racing
🛵	motor, skoter
🦽	manuell rullstol, tillgänglighet
🦼	eldriven rullstol, tillgänglighet
🛺	automatisk riksha, bilriksha, motordriven rickshaw, motordriven riksha, tuk-tuk
🚲️	cykel, fordon
🛴	cykel, sparka, sparkcykel
🛹	bräda, skateboard
🛼	rullskridsko
🚏	buss, busshållplats, hållplats
🛣️	motorväg, väg
🛤️	järnväg, räls, tåg, tågräls
🛢️	olja, oljefat
⛽️	bensin, bensinpump, bensinstation, bränsle, bränslepump
🛞	cirkel, däck, hjul, rulla
🚨	lampa, polisbil, polisbilslampa, saftblandare
🚥	trafikljus, vågräta trafikljus
🚦	lodräta trafikljus, trafikljus
🛑	skylt, stopp, stoppskylt, åttakantig
🚧	bygge, skylt för byggområde
⚓️	ankare, hopp
🛟	flytetyg, frälsarkrans, livboj, livräddning, räddning, säkerhet
⛵️	båt, segelbåt, segling
🛶	båt, kanot
🚤	båt, fordon, racerbåt
🛳️	fartyg, fordon, passagerare, passagerarfartyg
⛴️	båt, färja, passagerare
🛥️	båt, fordon, motorbåt
🚢	båt, fartyg, fordon
✈️	flygplan, fordon
🛩️	flygplan, fordon, litet flygplan
🛫	avgång, avgång med flyg, flyg, flyg som avgår, resa
🛬	ankomst, ankomst med flyg, flyg, flyg som landar, resa
🪂	fallskärm, fallskärmshopp, hängflygning, parasegling
💺	flygstol, stol
🚁	fordon, helikopter
🚟	fordon, hängbana
🚠	gondolbana, kabinbana, linbana, skidlift
🚡	funifor, gondolbana, kabinbana, linbana
🛰️	fordon, rymden, satellit
🚀	fordon, raket, rymdraket
🛸	UFO, flygande tefat
🛎️	hotell, klocka, piccolo, plingklocka, receptionsklocka
🧳	bagage, packning, resa, resväska
⌛️	sand, timglas, utrunnet timglas
⏳️	sand, tid, timglas, timglas med rinnande sand
⌚️	armbandsur, klocka
⏰️	klocka, väckarklocka
⏱️	klocka, stoppur, tidtagarur
⏲️	klocka, tid, tidtagarklocka, timer
🕰️	klocka, mantelklocka
🕛️	00.00, 24.00, klocka som visar tolv, klockan tolv, tolv
🕧	00.30, 12.30, halv ett, klocka som visar halv ett
🕐️	01.00, 13.00, ett, klocka som visar ett, klockan ett
🕜	01.30, 13.30, halv två, klocka som visar halv två
🕑️	02.00, 14.00, klocka som visar två, klockan två, två
🕝	02.30, 14.30, halv tre, klocka som visar halv tre
🕒️	03.00, 15.00, klocka som visar tre, klockan tre, tre
🕞	03.30, 15.30, halv fyra, klocka som visar halv fyra
🕓️	04.00, 16.00, fyra, klocka som visar fyra, klockan fyra
🕟	04.30, 16.30, halv fem, klocka som visar halv fem
🕔️	05.00, 17.00, fem, klocka som visar fem, klockan fem
🕠	05.30, 17.30, halv sex, klocka som visar halv sex
🕕️	06.00, 18.00, klocka som visar sex, klockan sex, sex
🕡	06.30, 18.30, halv sju, klocka som visar halv sju
🕖️	07.00, 19.00, klocka som visar halv sju, klockan sju, sju
🕢	07.30, 19.30, halv åtta, klocka som visar halv åtta
🕗️	08.00, 20.00, klocka som visar åtta, klockan åtta, åtta
🕣	08.30, 20.30, halv nio, klocka som visar halv nio
🕘️	09.00, 21.00, klocka som visar nio, klockan nio, nio
🕤	09.30, 21.30, halv tio, klocka som visar halv tio
🕙️	10.00, 22.00, klocka som visar tio, klockan tio, tio
🕥	10.30, 22.30, halv elva, klocka som visar halv elva
🕚️	11.00, 23.00, elva, klocka som visar elva, klockan elva
🕦	11.30, 23.30, halv tolv, klocka som visar halv tolv
🌑	måne, nymåne
🌒	kvartsmåne, måne, måne i första kvarteret, månskära, tilltagande måne
🌓	kvarts, måne, tilltagande halvmåne
🌔	halvmåne till fullmåne, måne i andra kvarteret, tilltagande måne
🌕️	fullmåne, måne
🌖	måne, måne i tredje kvarteret, rymden, tilltagande
🌗	avtagande halvmåne, avtagande måne, halvmåne, måne
🌘	avtagande måne, kvartsmåne, måne, måne i fjärde kvarteret, månskära
🌙	måne, månskära
🌚	ansikte, gubben i månen, månansikte, måne, nymåne, nymåne med ansikte
🌛	ansikte, gubben i månen, halvmåne, månansikte, måne, tilltagande halvmåne med ansikte
🌜️	ansikte, avtagande halvmåne med ansikte, gubben i månen, halvmåne, månansikte, måne
🌡️	termometer, väder
☀️	sol, strålar, väder
🌝	ansikte, fullmåne, fullmåne med ansikte, gubben i månen, månansikte, måne
🌞	ansikte, sol, sol med ansikte
🪐	planet med ringar, saturnine, saturnus
⭐️	stjärna, vit medelstor stjärna
🌟	blänkande, blänkande stjärna, glittrande, glänsande, gnistrande, natt, seger, stjärna
🌠	fallande stjärna, stjärnfall
🌌	Vintergatan, galax, rymden, vintergatan
☁️	moln, väder
⛅️	moln, sol, sol bakom moln, sol med moln
⛈️	moln, moln med regn och blixtar, oväder, väder
🌤️	moln, sol, sol bakom litet moln, väder
🌥️	moln, sol, sol bakom stort moln, väder
🌦️	moln, regn, sol, sol bakom moln med regn, väder
🌧️	moln, regn, regnmoln, väder
🌨️	moln, moln med snö, snö, väder
🌩️	moln, moln med blixt, oväder, väder
🌪️	tornado, virvelvind, väder
🌫️	dimma, dimmigt, väder
🌬️	ansikte som blåser luft, blåser, blåser vind, vind, väder
🌀	cyklon, tromb, tyfon, vind, väder
🌈	regn, regnbåge, väder
🌂	hopfällt paraply, paraply
☂️	accessoar, paraply, regn, utfällt paraply, väder
☔️	accessoar, paraply, paraply med regndroppar, regn, väder
⛱️	paraply, parasoll, parasoll på marken, sol, väder
⚡️	fara, hög spänning, högspänning, spänning, varningssymbol
❄️	snö, snöflinga
☃️	snö, snöar, snögubbe
⛄️	snö, snögubbe, snögubbe utan snö
☄️	komet, rymden
🔥	brinner, eld, flamma
💧	droppe, kallsvettig, svettdroppe, svettig, vattendroppe
🌊	havsvåg, våg
🎃	Halloween, fest, lykta, lyktgubbe, pumpa, pumplykta
🎄	gran, högtid, jul, julgran
🎆	firande, fyrverkerier, högtid
🎇	fyrverkerier, glittrande fyrverkeri, högtid
🧨	dynamit, fyrverkeri, smällare, sprängämne
✨️	gnistrande stjärnor, gnistrar, stjärnor
🎈	ballong, fest
🎉	fest, konfettismällare, partypopper, serpentiner
🎊	boll, fest, konfetti, konfettiboll
🎋	fest, japansk festival, pappersremsor, tanabataträd, träd, träd med pappersremsor
🎍	bambu, japanskt, nyår, pinjedekoration
🎎	dockor, festival, japanska dockor
🎏	fest, japan, karp, karpvindstrut, vindstrut
🎐	fest, japan, vindspel
🎑	japan, månfest, månskådning
🧧	hóngbāo, lai see, pengar, present, rött kuvert, tur
🎀	fest, rosett
🎁	fest, födelsedag, gåva, inslagen, inslagen present, julklapp, paket, present, överraskning
🎗️	band, firande, påminnelseband
🎟️	biljett, inträde, inträdesbiljetter
🎫	biljett, inträde
🎖️	firande, medalj, militär, militär medalj, pris
🏆️	pokal, pris
🏅	medalj, sport, sportmedalj
🥇	guld, guldmedalj, medalj, segrare
🥈	andra plats, medalj, silver, silvermedalj
🥉	brons, bronsmedalj, medalj, tredje plats
⚽️	boll, fotboll, sport
⚾️	baseboll, sport
🥎	boll, handske, softboll, underarm
🏀	basket, basketboll, boll
🏐	sport, volleyboll
🏈	amerikansk fotboll, boll, sport
🏉	boll, rugby, rugbyboll, sport
🎾	boll, tennis, tennisboll, tennisrack och boll, tennisracket och boll
🥏	frisbee, ultimate
🎳	bowling, bowlingklot, bowlingklot och käglor, klot
🏏	cricket, cricketslagträ och boll, sport
🏑	landhockey, landhockeyklubba, landhockeyklubba och boll, sport
🏒	ishockey, ishockeyklubba och puck, klubba, puck, sport
🥍	boll, klubba, lacrosse, mål
🏓	bordtennis, bordtennisracket med pingisboll, pingis, pingpong, sport
🏸	badminton, badmintonracket och badmintonboll, sport
🥊	boxning, boxningshandske, handske, sport
🥋	judo, kampsport, kampsportdräkt, karate, självförsvar, sport, taekwondo
🥅	mål, målnät, nät, sport
⛳️	flagga i hål, golf, golfflagga, hål
⛸️	is, skridsko, sport
🎣	fisk, fiska, fiskespö, fiskespö och fisk, spö
🤿	dyka, dykmask, snorkelmask, snorkla
🎽	löparlinne, löpartröja, löpning, träningskläder
🎿	skidor, skidor och pjäxa, skidor och stavar
🛷	kälke, släde
🥌	curlingsten, spel, sten
🎯	fullträff, mitt i prick, pilkastning, piltavla med pil mitt i prick, rakt på mål
🪀	jojare, jojo, snöre, trissa
