‾	pārsvītrojums, vinkuls, virssvītrojums
😛	forši, jauki, lieliski, mēle, seja, seja ar izbāztu mēli, smaidiņš, superīgi
😜	acs, miegt, mirkšķināt, mēle, piemiegta acs, seja, seja ar izbāztu mēli un piemiegtu aci
🤪	acs, liels, mazs, seja, traka seja, traks, ķēmoties
😝	acs, garša, mēle, negaršīgs, seja, seja ar izbāztu mēli un aizmiegtām acīm
🤑	mute, nauda, seja, seja ar naudu mutē
🤗	apskaut, apskāviens, seja, seja ar apskāvienu
🤭	ak vai, atklāsme, noslēpums, pārsteigums, seja, seja ar roku pār muti, smaidiņš, vai, ķiķināt
🫢	ak vai, apkaunot, bijība, izbrīns, neticība, nobijies, pārsteigums, seja ar atvērtām acīm un roku pār muti, šoks
🫣	blenzt, kautrīgs, nokaunējies, palūrēt, paslēpies, seja ar lūrošu aci, valdzināts
🤫	klusināt, klusēt, kuš, seja, smaidiņš, šušinoša seja, šušināt
🤔	domāt, domīga seja, pārdomas, seja
🫡	cieņa, jā, karavīri, labi, salutējoša seja, salutēt, salutēšana, sapratu, saulains, vēlu veiksmi
🤐	ciet, klusums, mute, rāvējslēdzējs, seja, seja ar rāvējslēdzēju mutes vietā
🤨	neticīgs, neuzticīgs, pacelta uzacs, seja ar paceltām uzacīm, skeptisks
😐️	bez izteiksmes, neitrāla seja, neitrāls, neizteiksmīgs, seja
😑	bez izteiksmes, neizteiksmīgs, neērti, seja, seja bez izteiksmes
😶	kluss, mute, mēms, noslēpums, seja, seja bez mutes
🫥	introverts, neredzams, nomākts, paslēpies, pazūd, punktētas līnijas seja, slēpt, vienalga
😶‍🌫	galva mākoņos, pārdomas, seja miglā, seja mākoņos
😏	seja, smīnoša seja, smīns, viltīgs
😒	dusmas, dusmīgs, garlaikots, saīdzis, saīgusi seja, seja, vienalga
🙄	acis, bolīties, neapmierināts, pārgriezt, pārgrieztas acis, seja, seja ar pārgrieztām acīm
😬	grimase, neveiklums, saviebta seja, seja, zobārsts
😮‍💨	atvieglojums, izelpa, nopūta, seja, seja nopūšas, smaidiņš, svilpošana, vaids, čuksti
🤥	meli, melis, melojoša seja, pinokio, seja
🫨	seja, trīcoša seja, trīcošs, vibrācija, zemestrīce, šoks
🙂‍↔	krata galvu horizontāli, kratīt, noliegums, nē
🙂‍↕	jā, krata galvu vertikāli, pamāt jā, piekrist, piekrišana
😌	atvieglojums, miers, seja, seja ar atvieglojuma izteiksmi
😔	domās iegrimusi seja, domīgs, pārdomas, seja, skumjš
😪	gulēt, miegaina seja, miegs, nogurums, raudāt, seja
🤤	seja, siekalas, siekalojas
😴	ar labu nakti, gulēt, guļoša seja, miegs, seja, žāvas, žāvāties
🫩	maisiņi zem acīm, miegains, noguris, pārgurums, seja ar maisiņiem zem acīm
😷	maska, medicīna, seja, seja ar medicīnas masku, slims, ārsts
🤒	seja, seja ar termometru, slims, termometrs
🤕	apsējs, ievainojums, seja, seja ar galvas apsēju, sāpes
🤢	nelabums, pretīgi, seja, slimība
🤮	nelabums, pretīgi, seja, slimība, smaidiņš, vemjoša seja, vēmekļi
