‾	pārsvītrojums, vinkuls, virssvītrojums
⛹🏿‍♀	basketboliste, basketbols, bumba, cilvēks, persona, sieviete, sieviete ar bumbu, sieviete ar bumbu: tumšs ādas tonis, sports, tumšs ādas tonis
🏋️	cilvēks, cilvēks ar svaru stieni, cēlājs, sportists, sports, svarcelšana, svarcēlājs, svari, vīrietis
🏋🏻	cilvēks, cilvēks ar svaru stieni, cilvēks ar svaru stieni: gaišs ādas tonis, cēlājs, gaišs ādas tonis, sportists, sports, svarcelšana, svarcēlājs, svari, vīrietis
🏋🏼	cilvēks, cilvēks ar svaru stieni, cilvēks ar svaru stieni: vidēji gaišs ādas tonis, cēlājs, sportists, sports, svarcelšana, svarcēlājs, svari, vidēji gaišs ādas tonis, vīrietis
🏋🏽	cilvēks, cilvēks ar svaru stieni, cilvēks ar svaru stieni: vidējs ādas tonis, cēlājs, sportists, sports, svarcelšana, svarcēlājs, svari, vidējs ādas tonis, vīrietis
🏋🏾	cilvēks, cilvēks ar svaru stieni, cilvēks ar svaru stieni: vidēji tumšs ādas tonis, cēlājs, sportists, sports, svarcelšana, svarcēlājs, svari, vidēji tumšs ādas tonis, vīrietis
🏋🏿	cilvēks, cilvēks ar svaru stieni, cilvēks ar svaru stieni: tumšs ādas tonis, cēlājs, sportists, sports, svarcelšana, svarcēlājs, svari, tumšs ādas tonis, vīrietis
🏋‍♂	sports, svarcelšana, svarcēlājs, vīrietis
🏋🏻‍♂	gaišs ādas tonis, sports, svarcelšana, svarcēlājs, svarcēlājs: gaišs ādas tonis, vīrietis
🏋🏼‍♂	sports, svarcelšana, svarcēlājs, svarcēlājs: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis
🏋🏽‍♂	sports, svarcelšana, svarcēlājs, svarcēlājs: vidējs ādas tonis, vidējs ādas tonis, vīrietis
🏋🏾‍♂	sports, svarcelšana, svarcēlājs, svarcēlājs: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis
🏋🏿‍♂	sports, svarcelšana, svarcēlājs, svarcēlājs: tumšs ādas tonis, tumšs ādas tonis, vīrietis
🏋‍♀	cilvēks, sieviete, sports, svarcelšana, svarcēlāja
🏋🏻‍♀	cilvēks, gaišs ādas tonis, sieviete, sports, svarcelšana, svarcēlāja, svarcēlāja: gaišs ādas tonis
🏋🏼‍♀	cilvēks, sieviete, sports, svarcelšana, svarcēlāja, svarcēlāja: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
🏋🏽‍♀	cilvēks, sieviete, sports, svarcelšana, svarcēlāja, svarcēlāja: vidējs ādas tonis, vidējs ādas tonis
🏋🏾‍♀	cilvēks, sieviete, sports, svarcelšana, svarcēlāja, svarcēlāja: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
🏋🏿‍♀	cilvēks, sieviete, sports, svarcelšana, svarcēlāja, svarcēlāja: tumšs ādas tonis, tumšs ādas tonis
🚴	braukt, cilvēks, ritenis, riteņbraukšana, sports, velosipēdists, velosipēds
🚴🏻	braukt, cilvēks, gaišs ādas tonis, ritenis, riteņbraukšana, sports, velosipēdists, velosipēdists: gaišs ādas tonis, velosipēds
🚴🏼	braukt, cilvēks, ritenis, riteņbraukšana, sports, velosipēdists, velosipēdists: vidēji gaišs ādas tonis, velosipēds, vidēji gaišs ādas tonis
🚴🏽	braukt, cilvēks, ritenis, riteņbraukšana, sports, velosipēdists, velosipēdists: vidējs ādas tonis, velosipēds, vidējs ādas tonis
🚴🏾	braukt, cilvēks, ritenis, riteņbraukšana, sports, velosipēdists, velosipēdists: vidēji tumšs ādas tonis, velosipēds, vidēji tumšs ādas tonis
🚴🏿	braukt, cilvēks, ritenis, riteņbraukšana, sports, tumšs ādas tonis, velosipēdists, velosipēdists: tumšs ādas tonis, velosipēds
🚴‍♂	riteņbraucējs, sports, velosipēds, vīrietis
🚴🏻‍♂	gaišs ādas tonis, riteņbraucējs, riteņbraucējs: gaišs ādas tonis, sports, velosipēds, vīrietis
🚴🏼‍♂	riteņbraucējs, riteņbraucējs: vidēji gaišs ādas tonis, sports, velosipēds, vidēji gaišs ādas tonis, vīrietis
🚴🏽‍♂	riteņbraucējs, riteņbraucējs: vidējs ādas tonis, sports, velosipēds, vidējs ādas tonis, vīrietis
🚴🏾‍♂	riteņbraucējs, riteņbraucējs: vidēji tumšs ādas tonis, sports, velosipēds, vidēji tumšs ādas tonis, vīrietis
🚴🏿‍♂	riteņbraucējs, riteņbraucējs: tumšs ādas tonis, sports, tumšs ādas tonis, velosipēds, vīrietis
🚴‍♀	cilvēks, divritenis, persona, riteņbraucēja, sieviete, sports, velosipēds
🚴🏻‍♀	cilvēks, divritenis, gaišs ādas tonis, persona, riteņbraucēja, riteņbraucēja: gaišs ādas tonis, sieviete, sports, velosipēds
🚴🏼‍♀	cilvēks, divritenis, persona, riteņbraucēja, riteņbraucēja: vidēji gaišs ādas tonis, sieviete, sports, velosipēds, vidēji gaišs ādas tonis
🚴🏽‍♀	cilvēks, divritenis, persona, riteņbraucēja, riteņbraucēja: vidējs ādas tonis, sieviete, sports, velosipēds, vidējs ādas tonis
🚴🏾‍♀	cilvēks, divritenis, persona, riteņbraucēja, riteņbraucēja: vidēji tumšs ādas tonis, sieviete, sports, velosipēds, vidēji tumšs ādas tonis
🚴🏿‍♀	cilvēks, divritenis, persona, riteņbraucēja, riteņbraucēja: tumšs ādas tonis, sieviete, sports, tumšs ādas tonis, velosipēds
🚵	braukt, cilvēks, kalns, kalnu velosipēdists, ritenis, riteņbraucējs, sportists, sports, velosipēds
🚵🏻	braukt, cilvēks, gaišs ādas tonis, kalns, kalnu velosipēdists, kalnu velosipēdists: gaišs ādas tonis, ritenis, riteņbraucējs, sportists, sports, velosipēds
🚵🏼	braukt, cilvēks, kalns, kalnu velosipēdists, kalnu velosipēdists: vidēji gaišs ādas tonis, ritenis, riteņbraucējs, sportists, sports, velosipēds, vidēji gaišs ādas tonis
🚵🏽	braukt, cilvēks, kalns, kalnu velosipēdists, kalnu velosipēdists: vidējs ādas tonis, ritenis, riteņbraucējs, sportists, sports, velosipēds, vidējs ādas tonis
🚵🏾	braukt, cilvēks, kalns, kalnu velosipēdists, kalnu velosipēdists: vidēji tumšs ādas tonis, ritenis, riteņbraucējs, sportists, sports, velosipēds, vidēji tumšs ādas tonis
🚵🏿	braukt, cilvēks, kalns, kalnu velosipēdists, kalnu velosipēdists: tumšs ādas tonis, ritenis, riteņbraucējs, sportists, sports, tumšs ādas tonis, velosipēds
🚵‍♂	kalnu velosipēds, riteņbraucējs ar kalnu velosipēdu, sports, vīrietis
🚵🏻‍♂	gaišs ādas tonis, kalnu velosipēds, riteņbraucējs ar kalnu velosipēdu, riteņbraucējs ar kalnu velosipēdu: gaišs ādas tonis, sports, vīrietis
🚵🏼‍♂	kalnu velosipēds, riteņbraucējs ar kalnu velosipēdu, riteņbraucējs ar kalnu velosipēdu: vidēji gaišs ādas tonis, sports, vidēji gaišs ādas tonis, vīrietis
🚵🏽‍♂	kalnu velosipēds, riteņbraucējs ar kalnu velosipēdu, riteņbraucējs ar kalnu velosipēdu: vidējs ādas tonis, sports, vidējs ādas tonis, vīrietis
🚵🏾‍♂	kalnu velosipēds, riteņbraucējs ar kalnu velosipēdu, riteņbraucējs ar kalnu velosipēdu: vidēji tumšs ādas tonis, sports, vidēji tumšs ādas tonis, vīrietis
🚵🏿‍♂	kalnu velosipēds, riteņbraucējs ar kalnu velosipēdu, riteņbraucējs ar kalnu velosipēdu: tumšs ādas tonis, sports, tumšs ādas tonis, vīrietis
🚵‍♀	cilvēks, kalns, kalnu velosipēds, riteņbraucēja ar kalnu velosipēdu, sieviete, sports, velosipēds
🚵🏻‍♀	cilvēks, gaišs ādas tonis, kalns, kalnu velosipēds, riteņbraucēja ar kalnu velosipēdu, riteņbraucēja ar kalnu velosipēdu: gaišs ādas tonis, sieviete, sports, velosipēds
🚵🏼‍♀	cilvēks, kalns, kalnu velosipēds, riteņbraucēja ar kalnu velosipēdu, riteņbraucēja ar kalnu velosipēdu: vidēji gaišs ādas tonis, sieviete, sports, velosipēds, vidēji gaišs ādas tonis
🚵🏽‍♀	cilvēks, kalns, kalnu velosipēds, riteņbraucēja ar kalnu velosipēdu, riteņbraucēja ar kalnu velosipēdu: vidējs ādas tonis, sieviete, sports, velosipēds, vidējs ādas tonis
🚵🏾‍♀	cilvēks, kalns, kalnu velosipēds, riteņbraucēja ar kalnu velosipēdu, riteņbraucēja ar kalnu velosipēdu: vidēji tumšs ādas tonis, sieviete, sports, velosipēds, vidēji tumšs ādas tonis
🚵🏿‍♀	cilvēks, kalns, kalnu velosipēds, riteņbraucēja ar kalnu velosipēdu, riteņbraucēja ar kalnu velosipēdu: tumšs ādas tonis, sieviete, sports, tumšs ādas tonis, velosipēds
🤸	akrobātika, aktīvs, cilvēks, prieks, ritenītis, sports, vingrošana
🤸🏻	akrobātika, aktīvs, cilvēks, gaišs ādas tonis, prieks, ritenītis, ritenītis: gaišs ādas tonis, sports, vingrošana
🤸🏼	akrobātika, aktīvs, cilvēks, prieks, ritenītis, ritenītis: vidēji gaišs ādas tonis, sports, vidēji gaišs ādas tonis, vingrošana
🤸🏽	akrobātika, aktīvs, cilvēks, prieks, ritenītis, ritenītis: vidējs ādas tonis, sports, vidējs ādas tonis, vingrošana
🤸🏾	akrobātika, aktīvs, cilvēks, prieks, ritenītis, ritenītis: vidēji tumšs ādas tonis, sports, vidēji tumšs ādas tonis, vingrošana
🤸🏿	akrobātika, aktīvs, cilvēks, prieks, ritenītis, ritenītis: tumšs ādas tonis, sports, tumšs ādas tonis, vingrošana
🤸‍♂	akrobātika, akrobāts, aktīvs, cilvēks, prieks, ritenītis, sports, vingrošana, vīrietis
🤸🏻‍♂	akrobātika, akrobāts, akrobāts: gaišs ādas tonis, aktīvs, cilvēks, gaišs ādas tonis, prieks, ritenītis, sports, vingrošana, vīrietis
🤸🏼‍♂	akrobātika, akrobāts, akrobāts: vidēji gaišs ādas tonis, aktīvs, cilvēks, prieks, ritenītis, sports, vidēji gaišs ādas tonis, vingrošana, vīrietis
🤸🏽‍♂	akrobātika, akrobāts, akrobāts: vidējs ādas tonis, aktīvs, cilvēks, prieks, ritenītis, sports, vidējs ādas tonis, vingrošana, vīrietis
🤸🏾‍♂	akrobātika, akrobāts, akrobāts: vidēji tumšs ādas tonis, aktīvs, cilvēks, prieks, ritenītis, sports, vidēji tumšs ādas tonis, vingrošana, vīrietis
🤸🏿‍♂	akrobātika, akrobāts, akrobāts: tumšs ādas tonis, aktīvs, cilvēks, prieks, ritenītis, sports, tumšs ādas tonis, vingrošana, vīrietis
🤸‍♀	akrobāte, akrobātika, aktīvs, cilvēks, prieks, ritenītis, sieviete, sports, vingrošana
🤸🏻‍♀	akrobāte, akrobāte: gaišs ādas tonis, akrobātika, aktīvs, cilvēks, gaišs ādas tonis, prieks, ritenītis, sieviete, sports, vingrošana
🤸🏼‍♀	akrobāte, akrobāte: vidēji gaišs ādas tonis, akrobātika, aktīvs, cilvēks, prieks, ritenītis, sieviete, sports, vidēji gaišs ādas tonis, vingrošana
🤸🏽‍♀	akrobāte, akrobāte: vidējs ādas tonis, akrobātika, aktīvs, cilvēks, prieks, ritenītis, sieviete, sports, vidējs ādas tonis, vingrošana
🤸🏾‍♀	akrobāte, akrobāte: vidēji tumšs ādas tonis, akrobātika, aktīvs, cilvēks, prieks, ritenītis, sieviete, sports, vidēji tumšs ādas tonis, vingrošana
🤸🏿‍♀	akrobāte, akrobāte: tumšs ādas tonis, akrobātika, aktīvs, cilvēks, prieks, ritenītis, sieviete, sports, tumšs ādas tonis, vingrošana
🤼	cilvēks, cīkstonis, cīkstoņi, cīkstēties, cīņa, rings, sports
🤼‍♂	cilvēki, cīkstonis, cīņa, rings, sacīkstes, sports, vīrietis
🤼‍♀	cilvēks, cīkstone, cīņa, persona, rings, sacīkstes, sieviete, sports
🤽	cilvēks, polo, sports, ūdens, ūdenspolo, ūdenspolo sportists
🤽🏻	cilvēks, gaišs ādas tonis, polo, sports, ūdens, ūdenspolo, ūdenspolo sportists, ūdenspolo sportists: gaišs ādas tonis
🤽🏼	cilvēks, polo, sports, vidēji gaišs ādas tonis, ūdens, ūdenspolo, ūdenspolo sportists, ūdenspolo sportists: vidēji gaišs ādas tonis
🤽🏽	cilvēks, polo, sports, vidējs ādas tonis, ūdens, ūdenspolo, ūdenspolo sportists, ūdenspolo sportists: vidējs ādas tonis
🤽🏾	cilvēks, polo, sports, vidēji tumšs ādas tonis, ūdens, ūdenspolo, ūdenspolo sportists, ūdenspolo sportists: vidēji tumšs ādas tonis
🤽🏿	cilvēks, polo, sports, tumšs ādas tonis, ūdens, ūdenspolo, ūdenspolo sportists, ūdenspolo sportists: tumšs ādas tonis
🤽‍♂	cilvēks, persona, sports, vīrietis, ūdens sports, ūdenspolo, ūdenspolo spēlētājs
🤽🏻‍♂	cilvēks, gaišs ādas tonis, persona, sports, vīrietis, ūdens sports, ūdenspolo, ūdenspolo spēlētājs, ūdenspolo spēlētājs: gaišs ādas tonis
🤽🏼‍♂	cilvēks, persona, sports, vidēji gaišs ādas tonis, vīrietis, ūdens sports, ūdenspolo, ūdenspolo spēlētājs, ūdenspolo spēlētājs: vidēji gaišs ādas tonis
🤽🏽‍♂	cilvēks, persona, sports, vidējs ādas tonis, vīrietis, ūdens sports, ūdenspolo, ūdenspolo spēlētājs, ūdenspolo spēlētājs: vidējs ādas tonis
🤽🏾‍♂	cilvēks, persona, sports, vidēji tumšs ādas tonis, vīrietis, ūdens sports, ūdenspolo, ūdenspolo spēlētājs, ūdenspolo spēlētājs: vidēji tumšs ādas tonis
🤽🏿‍♂	cilvēks, persona, sports, tumšs ādas tonis, vīrietis, ūdens sports, ūdenspolo, ūdenspolo spēlētājs, ūdenspolo spēlētājs: tumšs ādas tonis
🤽‍♀	cilvēks, persona, sieviete, sports, ūdens sports, ūdenspolo, ūdenspolo spēlētāja
🤽🏻‍♀	cilvēks, gaišs ādas tonis, persona, sieviete, sports, ūdens sports, ūdenspolo, ūdenspolo spēlētāja, ūdenspolo spēlētāja: gaišs ādas tonis
🤽🏼‍♀	cilvēks, persona, sieviete, sports, vidēji gaišs ādas tonis, ūdens sports, ūdenspolo, ūdenspolo spēlētāja, ūdenspolo spēlētāja: vidēji gaišs ādas tonis
🤽🏽‍♀	cilvēks, persona, sieviete, sports, vidējs ādas tonis, ūdens sports, ūdenspolo, ūdenspolo spēlētāja, ūdenspolo spēlētāja: vidējs ādas tonis
🤽🏾‍♀	cilvēks, persona, sieviete, sports, vidēji tumšs ādas tonis, ūdens sports, ūdenspolo, ūdenspolo spēlētāja, ūdenspolo spēlētāja: vidēji tumšs ādas tonis
🤽🏿‍♀	cilvēks, persona, sieviete, sports, tumšs ādas tonis, ūdens sports, ūdenspolo, ūdenspolo spēlētāja, ūdenspolo spēlētāja: tumšs ādas tonis
🤾	bumba, cilvēks, handbols, mest, rokasbumba, sports
🤾🏻	bumba, cilvēks, gaišs ādas tonis, handbols, mest, rokasbumba, rokasbumba: gaišs ādas tonis, sports
🤾🏼	bumba, cilvēks, handbols, mest, rokasbumba, rokasbumba: vidēji gaišs ādas tonis, sports, vidēji gaišs ādas tonis
🤾🏽	bumba, cilvēks, handbols, mest, rokasbumba, rokasbumba: vidējs ādas tonis, sports, vidējs ādas tonis
🤾🏾	bumba, cilvēks, handbols, mest, rokasbumba, rokasbumba: vidēji tumšs ādas tonis, sports, vidēji tumšs ādas tonis
🤾🏿	bumba, cilvēks, handbols, mest, rokasbumba, rokasbumba: tumšs ādas tonis, sports, tumšs ādas tonis
🤾‍♂	cilvēks, rokasbumba, rokasbumbas spēlētājs, sportists, sports, vīrietis
🤾🏻‍♂	cilvēks, gaišs ādas tonis, rokasbumba, rokasbumbas spēlētājs, rokasbumbas spēlētājs: gaišs ādas tonis, sportists, sports, vīrietis
🤾🏼‍♂	cilvēks, rokasbumba, rokasbumbas spēlētājs, rokasbumbas spēlētājs: vidēji gaišs ādas tonis, sportists, sports, vidēji gaišs ādas tonis, vīrietis
🤾🏽‍♂	cilvēks, rokasbumba, rokasbumbas spēlētājs, rokasbumbas spēlētājs: vidējs ādas tonis, sportists, sports, vidējs ādas tonis, vīrietis
🤾🏾‍♂	cilvēks, rokasbumba, rokasbumbas spēlētājs, rokasbumbas spēlētājs: vidēji tumšs ādas tonis, sportists, sports, vidēji tumšs ādas tonis, vīrietis
🤾🏿‍♂	cilvēks, rokasbumba, rokasbumbas spēlētājs, rokasbumbas spēlētājs: tumšs ādas tonis, sportists, sports, tumšs ādas tonis, vīrietis
🤾‍♀	bumba, cilvēks, mest, rokasbumba, rokasbumbas spēlētāja, sieviete, sports
🤾🏻‍♀	bumba, cilvēks, gaišs ādas tonis, mest, rokasbumba, rokasbumbas spēlētāja, rokasbumbas spēlētāja: gaišs ādas tonis, sieviete, sports
🤾🏼‍♀	bumba, cilvēks, mest, rokasbumba, rokasbumbas spēlētāja, rokasbumbas spēlētāja: vidēji gaišs ādas tonis, sieviete, sports, vidēji gaišs ādas tonis
🤾🏽‍♀	bumba, cilvēks, mest, rokasbumba, rokasbumbas spēlētāja, rokasbumbas spēlētāja: vidējs ādas tonis, sieviete, sports, vidējs ādas tonis
🤾🏾‍♀	bumba, cilvēks, mest, rokasbumba, rokasbumbas spēlētāja, rokasbumbas spēlētāja: vidēji tumšs ādas tonis, sieviete, sports, vidēji tumšs ādas tonis
🤾🏿‍♀	bumba, cilvēks, mest, rokasbumba, rokasbumbas spēlētāja, rokasbumbas spēlētāja: tumšs ādas tonis, sieviete, sports, tumšs ādas tonis
🤹	cilvēks, līdzsvars, persona, prasme, vairāki uzdevumi, žonglēt, žonglēšana
🤹🏻	cilvēks, gaišs ādas tonis, līdzsvars, persona, prasme, vairāki uzdevumi, žonglēt, žonglēšana, žonglēšana: gaišs ādas tonis
🤹🏼	cilvēks, līdzsvars, persona, prasme, vairāki uzdevumi, vidēji gaišs ādas tonis, žonglēt, žonglēšana, žonglēšana: vidēji gaišs ādas tonis
🤹🏽	cilvēks, līdzsvars, persona, prasme, vairāki uzdevumi, vidējs ādas tonis, žonglēt, žonglēšana, žonglēšana: vidējs ādas tonis
🤹🏾	cilvēks, līdzsvars, persona, prasme, vairāki uzdevumi, vidēji tumšs ādas tonis, žonglēt, žonglēšana, žonglēšana: vidēji tumšs ādas tonis
🤹🏿	cilvēks, līdzsvars, persona, prasme, tumšs ādas tonis, vairāki uzdevumi, žonglēt, žonglēšana, žonglēšana: tumšs ādas tonis
🤹‍♂	cilvēks, prasme, sports, vairāki uzdevumi, vīrietis, žonglieris, žonglēšana
🤹🏻‍♂	cilvēks, gaišs ādas tonis, prasme, sports, vairāki uzdevumi, vīrietis, žonglieris, žonglieris: gaišs ādas tonis, žonglēšana
🤹🏼‍♂	cilvēks, prasme, sports, vairāki uzdevumi, vidēji gaišs ādas tonis, vīrietis, žonglieris, žonglieris: vidēji gaišs ādas tonis, žonglēšana
🤹🏽‍♂	cilvēks, prasme, sports, vairāki uzdevumi, vidējs ādas tonis, vīrietis, žonglieris, žonglieris: vidējs ādas tonis, žonglēšana
🤹🏾‍♂	cilvēks, prasme, sports, vairāki uzdevumi, vidēji tumšs ādas tonis, vīrietis, žonglieris, žonglieris: vidēji tumšs ādas tonis, žonglēšana
🤹🏿‍♂	cilvēks, prasme, sports, tumšs ādas tonis, vairāki uzdevumi, vīrietis, žonglieris, žonglieris: tumšs ādas tonis, žonglēšana
🤹‍♀	sieviete, sports, vairāki uzdevumi, žongliere, žonglieris
🤹🏻‍♀	gaišs ādas tonis, sieviete, sports, vairāki uzdevumi, žongliere, žongliere: gaišs ādas tonis, žonglieris
🤹🏼‍♀	sieviete, sports, vairāki uzdevumi, vidēji gaišs ādas tonis, žongliere, žongliere: vidēji gaišs ādas tonis, žonglieris
🤹🏽‍♀	sieviete, sports, vairāki uzdevumi, vidējs ādas tonis, žongliere, žongliere: vidējs ādas tonis, žonglieris
🤹🏾‍♀	sieviete, sports, vairāki uzdevumi, vidēji tumšs ādas tonis, žongliere, žongliere: vidēji tumšs ādas tonis, žonglieris
🤹🏿‍♀	sieviete, sports, tumšs ādas tonis, vairāki uzdevumi, žongliere, žongliere: tumšs ādas tonis, žonglieris
🧘	atpūta, cilvēks lotosa pozā, joga, meditācija, miers
🧘🏻	atpūta, cilvēks lotosa pozā, cilvēks lotosa pozā: gaišs ādas tonis, gaišs ādas tonis, joga, meditācija, miers
🧘🏼	atpūta, cilvēks lotosa pozā, cilvēks lotosa pozā: vidēji gaišs ādas tonis, joga, meditācija, miers, vidēji gaišs ādas tonis
🧘🏽	atpūta, cilvēks lotosa pozā, cilvēks lotosa pozā: vidējs ādas tonis, joga, meditācija, miers, vidējs ādas tonis
🧘🏾	atpūta, cilvēks lotosa pozā, cilvēks lotosa pozā: vidēji tumšs ādas tonis, joga, meditācija, miers, vidēji tumšs ādas tonis
🧘🏿	atpūta, cilvēks lotosa pozā, cilvēks lotosa pozā: tumšs ādas tonis, joga, meditācija, miers, tumšs ādas tonis
🧘‍♂	joga, meditācija, vīrietis lotosa pozā
🧘🏻‍♂	gaišs ādas tonis, joga, meditācija, vīrietis lotosa pozā, vīrietis lotosa pozā: gaišs ādas tonis
🧘🏼‍♂	joga, meditācija, vidēji gaišs ādas tonis, vīrietis lotosa pozā, vīrietis lotosa pozā: vidēji gaišs ādas tonis
🧘🏽‍♂	joga, meditācija, vidējs ādas tonis, vīrietis lotosa pozā, vīrietis lotosa pozā: vidējs ādas tonis
🧘🏾‍♂	joga, meditācija, vidēji tumšs ādas tonis, vīrietis lotosa pozā, vīrietis lotosa pozā: vidēji tumšs ādas tonis
🧘🏿‍♂	joga, meditācija, tumšs ādas tonis, vīrietis lotosa pozā, vīrietis lotosa pozā: tumšs ādas tonis
🧘‍♀	joga, meditācija, sieviete lotosa pozā
🧘🏻‍♀	gaišs ādas tonis, joga, meditācija, sieviete lotosa pozā, sieviete lotosa pozā: gaišs ādas tonis
🧘🏼‍♀	joga, meditācija, sieviete lotosa pozā, sieviete lotosa pozā: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
🧘🏽‍♀	joga, meditācija, sieviete lotosa pozā, sieviete lotosa pozā: vidējs ādas tonis, vidējs ādas tonis
🧘🏾‍♀	joga, meditācija, sieviete lotosa pozā, sieviete lotosa pozā: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
🧘🏿‍♀	joga, meditācija, sieviete lotosa pozā, sieviete lotosa pozā: tumšs ādas tonis, tumšs ādas tonis
🛀	cilvēks mazgājas, cilvēks vannā, mazgāties, vanna, ūdens
🛀🏻	cilvēks mazgājas, cilvēks vannā, cilvēks vannā: gaišs ādas tonis, gaišs ādas tonis, mazgāties, vanna, ūdens
🛀🏼	cilvēks mazgājas, cilvēks vannā, cilvēks vannā: vidēji gaišs ādas tonis, mazgāties, vanna, vidēji gaišs ādas tonis, ūdens
🛀🏽	cilvēks mazgājas, cilvēks vannā, cilvēks vannā: vidējs ādas tonis, mazgāties, vanna, vidējs ādas tonis, ūdens
🛀🏾	cilvēks mazgājas, cilvēks vannā, cilvēks vannā: vidēji tumšs ādas tonis, mazgāties, vanna, vidēji tumšs ādas tonis, ūdens
🛀🏿	cilvēks mazgājas, cilvēks vannā, cilvēks vannā: tumšs ādas tonis, mazgāties, tumšs ādas tonis, vanna, ūdens
🛌	ar labu nakti, cilvēks, cilvēks gultā, gulta, gulēt, viesnīca
🛌🏻	ar labu nakti, cilvēks, cilvēks gultā, cilvēks gultā: gaišs ādas tonis, gaišs ādas tonis, gulta, gulēt, viesnīca
🛌🏼	ar labu nakti, cilvēks, cilvēks gultā, cilvēks gultā: vidēji gaišs ādas tonis, gulta, gulēt, vidēji gaišs ādas tonis, viesnīca
🛌🏽	ar labu nakti, cilvēks, cilvēks gultā, cilvēks gultā: vidējs ādas tonis, gulta, gulēt, vidējs ādas tonis, viesnīca
🛌🏾	ar labu nakti, cilvēks, cilvēks gultā, cilvēks gultā: vidēji tumšs ādas tonis, gulta, gulēt, vidēji tumšs ādas tonis, viesnīca
🛌🏿	ar labu nakti, cilvēks, cilvēks gultā, cilvēks gultā: tumšs ādas tonis, gulta, gulēt, tumšs ādas tonis, viesnīca
🧑‍🤝‍🧑	cilvēki, cilvēki sadevušies rokās, persona, pāris, roka, sadotas rokas, satvēriens
🧑🏻‍🤝‍🧑🏻	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: gaišs ādas tonis, gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens
🧑🏻‍🤝‍🧑🏼	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: gaišs ādas tonis un vidēji gaišs ādas tonis, gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidēji gaišs ādas tonis
🧑🏻‍🤝‍🧑🏽	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: gaišs ādas tonis un vidējs ādas tonis, gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidējs ādas tonis
🧑🏻‍🤝‍🧑🏾	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: gaišs ādas tonis un vidēji tumšs ādas tonis, gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidēji tumšs ādas tonis
🧑🏻‍🤝‍🧑🏿	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: gaišs ādas tonis un tumšs ādas tonis, gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, tumšs ādas tonis
🧑🏼‍🤝‍🧑🏻	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidēji gaišs ādas tonis un gaišs ādas tonis, gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidēji gaišs ādas tonis
🧑🏼‍🤝‍🧑🏼	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidēji gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidēji gaišs ādas tonis
🧑🏼‍🤝‍🧑🏽	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidēji gaišs ādas tonis un vidējs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidēji gaišs ādas tonis, vidējs ādas tonis
🧑🏼‍🤝‍🧑🏾	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidēji gaišs ādas tonis un vidēji tumšs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidēji gaišs ādas tonis, vidēji tumšs ādas tonis
🧑🏼‍🤝‍🧑🏿	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidēji gaišs ādas tonis un tumšs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, tumšs ādas tonis, vidēji gaišs ādas tonis
🧑🏽‍🤝‍🧑🏻	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidējs ādas tonis un gaišs ādas tonis, gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidējs ādas tonis
🧑🏽‍🤝‍🧑🏼	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidējs ādas tonis un vidēji gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidēji gaišs ādas tonis, vidējs ādas tonis
🧑🏽‍🤝‍🧑🏽	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidējs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidējs ādas tonis
