‾	надчеркивание
🤨	быть, верю, может, не, не верит, недоверие, подозрение, правда, скептик, сомневаюсь, хм
😐️	безразличие, все равно, незаинтересованный, равнодушие, скептик, скучно, усталость, эмоций
😑	без эмоций, безразличие, надоело, незаинтересованный, нет, ничего, совсем, спать, усталость, эмоций
😶	лицо без рта, молчание, немой, нет, рыба, секрет, слов, тайна, тихо, тишина, тсс
🫥	грусть, депрессия, интроверт, исчезать, лицо пунктиром, невидимка, печаль, пунктир, угнетение, усталость
😶‍🌫	витающий в облаках, голова в облаках, лицо в облаках, лицо в тумане, рассеянный
😏	задумал, лицо, подмигнуть, подозрение, попался, пошутил, ухмылка, ухмыляется, хитрый, шутка
😒	гадость, грустно, надоело, недовольный, противно, скука, скучает, скучно, тоска, фу
🙄	блин, глаза, закатить, закатывает глаза, закончится, когда, надоело, омг, скука, скучно, тоска
😬	гримаса, злой, злость, злюсь, зубы, кривляться, показать, рожа
😮‍💨	вздох, выдох, выдыхает, облегчение, одышка, свист, шепот
🤥	буратино, врать, врешь, лжец, лицо, ложь, обман, обманывать, пиноккио
🫨	бум, вау, головокружение, обморок, омг, паника, трясется, трясущееся лицо, удивление, ужас, шок
🙂‍↔	несогласие, нет, отрицание, отрицательно качает головой
🙂‍↕	да, кивок, подтверждение, положительно качает головой, согласие
😌	богу, довольный, испытывает облегчение, облегчение, обошлось, пронесло, слава, улыбка, хорошо
😔	грустный, достало, жаль, задумчивый, мысли, плохо, размышляет, разочарован, скучно, устал
😪	ночи, плакать, плач, пора, сон, спать, сплю, спокойной, устал, хочет спать
🤤	лицо, пускает слюни, слюни
😴	боковую, ночи, пора, сон, спать, спит, спокойной, уснул, устал, храп
🫩	без, глазами, истощение, лицо с мешками под глазами, мешки, под, сил, скучно, сон, спать, устал
😷	болеть, в медицинской маске, вирус, врач, заражение, карантин, маска, медик, микроб, простуда, санитар
🤒	болеть, больной, вирус, градусник, грипп, жар, плохо, простуда, с градусником во рту, температура
